timepoint,BA.2,BA.2.3.20,BA.2.75.5,BA.4.6,BA.5,BA.5.1,BA.5.1.3,BA.5.2,BA.5.2.1,BA.5.2.27,BA.5.2.58,BA.5.2.6,BA.5.9,BE.1.1,BF.14,BF.5,BF.7,BL.1,BM.1.1.3,BN.1,BN.1.3,BR.3,CM.5,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.2.3,BA.2.9,B.1.1.529,BA.1.18,BA.2.75.1,BA.4.1,BA.5.1.22,BA.5.1.23,BE.1,BE.1.1.2,BQ.1,BQ.1.1.23,XBF,BA.2.12.1,BA.5.2.20,BA.5.2.26,BA.5.2.3,BF.11,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3.1,BN.1.3.3,BQ.1.1,CH.1.1,XBB.1,BA.2.56,BA.4,BA.5.3,BE.1.4,BF.1,AY.43,AY.46.6,B.1.617.2,BA.1.20,BA.5.1.5,BQ.1.5,XBB.2,BA.5.5,BF.12,BA.5.1.10,BF.11.3,BF.7.22,BF.7.24,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,XBB,BA.4.1.2,BN.2,BA.2.36,BA.2.75.2,BA.5.1.30,BF.7.19,BQ.1.1.7,BQ.1.10,BA.5.1.2,BM.1.1,BA.2.13,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.03,,,,,,,,,,,,,,,,,,,,,,,0.19,0.16,,,0.09,0.11,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-1,simulation,Ex19_01_realTimecourse_simul-1,2021-12-29,1500.7554760391934,2266.5521062041526,77.1962679329833,59.9998
3,0.15,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,,,,0.08,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.03,0.17,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-3,simulation,Ex19_01_realTimecourse_simul-3,2022-01-12,1480.2038925860281,2399.0259132297633,74.49419790656457,60
5,0.5,,,,,,,,,,,,,,,,,,,,,,,0.11,0.17,0.02,,0.01,0.03,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex19_01_realTimecourse_simul-5,2022-01-26,1464.500785874327,2317.865474748384,78.83155536233822,59.9999
7,0.52,,,,,,,,,,,,,,,,,,,,,,,0.06,0.23,0.02,0.01,0.02,0.03,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex19_01_realTimecourse_simul-7,2022-02-09,1498.9789318797446,2156.625414284438,71.27712938501153,59.9998
9,0.29,,,,,,,,,,,,,,,,,,,,,,,0.09,0.33,0.05,0.01,0.01,0.06,0.02,0.1,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex19_01_realTimecourse_simul-9,2022-02-23,1493.4518275758285,2294.4726568437754,70.992876968866,59.9999
12,0.4,,,,,,,,,,,,,,,,,,,,,,,0.02,0.19,0.02,,,,,0.33,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex19_01_realTimecourse_simul-12,2022-03-16,1490.1725579373308,1818.7439821252808,78.13931712537203,59.9998
14,0.64,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.01,,,,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex19_01_realTimecourse_simul-14,2022-03-30,1504.0099989967562,2332.3756574097256,70.85911112597398,59.9999
16,0.67,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,,0.03,0.21,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex19_01_realTimecourse_simul-16,2022-04-13,1495.07724977427,1786.3050978487022,77.8316556867204,60
18,0.64,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,0.22,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,simul-18,simulation,Ex19_01_realTimecourse_simul-18,2022-04-27,1502.4572450924657,1869.8281221841926,77.15279403404341,59.9998
20,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.19,,,,,,,,,,,,0.11,,,,,,,,,,,,,,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,simul-20,simulation,Ex19_01_realTimecourse_simul-20,2022-05-11,1504.8268401163764,2374.1889050448945,70.76213088987727,60
