timepoint,BA.2,BA.2.3.20,BA.2.75.2,BA.2.75.5,BA.4.6,BA.5,BA.5.1,BA.5.1.30,BA.5.1.5,BA.5.2,BA.5.2.1,BA.5.2.20,BA.5.2.58,BA.5.2.6,BA.5.9,BE.1.1,BF.14,BF.5,BF.7,BM.1.1.3,BN.1,BR.3,B.1.1.529,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.1.18,BA.2.3,BA.2.9,BA.2.75.1,BA.4.1,BA.5.1.22,BA.5.1.23,BE.1,BE.1.1.2,BQ.1,BQ.1.1.23,XBF,BF.11,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1.1,CH.1.1,XBB.1,BA.5.1.3,BA.5.2.27,BL.1,CM.5,BA.2.12.1,BA.4.1.2,BA.5.3,BF.11.3,BF.7.19,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,XBB,BA.2.56,BA.4,BA.5.5,BE.1.4,BF.1,BF.12,B.1.617.2,AY.43,AY.46.6,BA.1.20,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,BA.2.13,XBB.2,BA.5.2.26,BA.5.2.3,BA.5.1.2,BM.1.1,BN.2,BA.2.36,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.03,,,,,,,,,,,,,,,,,,,,,,,0.19,0.16,,,0.09,0.11,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.05,0.03,,,,,,,,,,,,,,,simul-1,simulation,Ex19_02_realTimecourse_simul-1,2021-12-29,1496.413637427683,2096.867620642208,78.31655686720396,59.9999
3,0.15,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,,,,0.08,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.08,0.03,0.02,,,,,,,,,,,,,,simul-3,simulation,Ex19_02_realTimecourse_simul-3,2022-01-12,1469.315821155068,1949.6693044399367,71.58144667759088,59.9999
5,0.5,,,,,,,,,,,,,,,,,,,,,,,0.11,0.17,0.02,,0.01,0.03,,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,simul-5,simulation,Ex19_02_realTimecourse_simul-5,2022-01-26,1497.7174865398122,2363.8699662249746,73.45416847807911,60
7,0.52,,,,,,,,,,,,,,,,,,,,,,,0.06,0.23,0.02,0.01,0.02,0.03,,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex19_02_realTimecourse_simul-7,2022-02-09,1498.055546266261,2076.6955575765533,73.16657191586128,59.9997
9,0.29,,,,,,,,,,,,,,,,,,,,,,0.03,0.09,0.33,0.05,0.01,0.01,0.06,0.02,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex19_02_realTimecourse_simul-9,2022-02-23,1474.7162492057653,2268.5158571807397,69.52479684312611,60
12,0.4,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,0.19,0.02,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex19_02_realTimecourse_simul-12,2022-03-16,1491.12025549276,2061.556100570875,74.36712035581714,60
14,0.64,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.01,,,,,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex19_02_realTimecourse_simul-14,2022-03-30,1498.9231849647192,2081.7832526195966,74.47747717620305,59.9999
16,0.67,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,,,0.03,0.21,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex19_02_realTimecourse_simul-16,2022-04-13,1501.9367956392334,2238.046382662169,74.64134033374577,59.9999
18,0.64,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,0.22,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-18,simulation,Ex19_02_realTimecourse_simul-18,2022-04-27,1497.6496003745444,2190.9822112728643,76.61773066247534,60
20,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.19,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.02,,,,,,,,,,,,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,simul-20,simulation,Ex19_02_realTimecourse_simul-20,2022-05-11,1504.5656623081297,1994.137727254544,80.10233086981239,59.9999
