timepoint,BA.1.1,BA.2,BA.2.9,BA.1,BA.2.23,BA.1.17.2,BA.1.18,B.1.395,B.1,BA.1.17,B.1.1.529,BA.2.16,BA.2.3.13,BA.1.1.1,B,BA.5.2,BF.14,BN.1.3,BF.7.1,BF.7,BA.5.1,BA.5.1.3,BA.5.9,BQ.1.24,BQ.1.1.5,BA.5.2.20,BF.5,XAS,BF.6,BA.5.2.1,BF.4,BF.39,BF.7.6,XBB.2,XBB,XBB.1,BA.5.2.6,BA.4.8,BA.5.2.36,BA.5.2.4,CE.1,BE.1,BQ.1.1,BA.5,BA.2.12.1,BA.4,BF.12,BF.1,BA.5.3,B.11,B.56,BA.2.87,BA.2.9.2,BE.1.1,BA.2.11,XAJ,BE.1.4,BA.2.12,BA.5.1.5,BA.5.1.22,BA.5.1.23,BE.1.1.2,BA.5.2.18,BA.2.3.20,BN.5,BA.2.75.5,BA.2.75.2,BA.5.1.28,BF.41,BA.5.1.30,CM.11,BF.17,BM.1.1.3,BA.5.2.58,BA.5.2.52,BF.3,XBD,B.1.617.2,BA.1.13,AY.43,AY.43.3,BA.1.20,XAH,BA.2.38,BA.4.1.2,BA.5.1.17,BF.18,BA.5.2.3,BA.5.2.26,BA.5.11,BN.1.10,BN.1,BA.5.5,BA.2.75.3,BA.2.75.1,CR.2,BA.4.6,BF.7.23,BF.7.7,BF.7.18,BA.5.2.27,BZ.2,BA.4.1,BA.2.3,BA.2.4,BQ.1.1.6,BQ.1,BF.7.5,BQ.1.1.15,BQ.1.2,BQ.1.1.18,BA.2.73,BQ.1.3,BF.7.4,BQ.1.1.3,XBP,BF.11,BA.5.1.10,BM.4,BA.2.65,XAC,AY.56,BF.8,AY.46,XAR,B.1.617,BQ.1.1.19,CH.1,BQ.1.10,XBF,BA.5.1.11,BN.1.3.4,XBB.1.3,BN.1.9,BN.1.2,BA.1.1.7,BA.1.1.11,BA.2.56,XAP,BN.1.3.3,BQ.1.1.25,BQ.1.22,BM.4.1,BQ.1.31,DS.1,others,sample_name,tool_name
1,0.2,,,0.17,,0.11,0.16,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.03,0.01,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-1,freyja_v1.5.3
3,0.22,,,0.11,,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.11,0.04,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja_v1.5.3-3,freyja_v1.5.3
5,0.19,,0.04,0.08,0.11,0.03,,,0.02,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.42,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-5,freyja_v1.5.3
7,0.26,,,0.06,0.12,0.04,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.07,,,,,,,0.01,freyja_v1.5.3-7,freyja_v1.5.3
9,0.42,0.23,0.11,0.06,0.05,0.05,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-9,freyja_v1.5.3
12,0.06,0.6,,,0.11,,,,,,,,,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,,,,,,,,,0.0,freyja_v1.5.3-12,freyja_v1.5.3
14,0.14,,0.13,,0.12,,,,,,0.01,0.55,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-14,freyja_v1.5.3
16,0.05,0.83,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-16,freyja_v1.5.3
18,,,0.21,,0.02,,,,,,0.01,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-18,freyja_v1.5.3
20,,0.02,0.08,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.03,,,,,,0.6,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-20,freyja_v1.5.3
