timepoint,BA.2,BA.2.75.1,BA.5,BA.5.1,BA.5.1.22,BA.5.1.23,BA.5.1.5,BA.5.2,BA.5.2.1,BA.5.2.20,BE.1,BE.1.1,BE.1.1.2,BF.14,BF.5,BF.7,BN.2,BA.1.1,BA.2.12.1,BA.2.3,BA.2.9,BA.4.1.2,BA.5.3,BA.2.56,BA.4,BA.1.1.1,B.1.1.529,BA.1,BA.4.1,BQ.1,BQ.1.1.23,XBF,AY.43,AY.46.6,B.1.617.2,BA.1.17,BA.1.17.2,BA.1.18,BA.1.20,BA.1.15,BA.2.13,BA.5.5,BE.1.4,BF.1,BA.4.6,BA.5.1.2,BA.5.2.26,BA.5.2.27,BA.5.2.3,BA.5.9,BM.1.1,BA.2.36,BA.2.3.20,BA.2.75.2,BA.2.75.5,BA.5.1.30,BA.5.2.58,BA.5.2.6,BM.1.1.3,BN.1,BR.3,BF.12,BF.11,BF.7.6,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1.1,BQ.1.5,CH.1.1,XBB.1,XBB.2,BA.5.1.3,BL.1,CM.5,BA.5.1.10,BF.11.3,BF.7.22,BF.7.24,BF.7.4,BF.7.5,BN.1.2,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,XBB,BF.7.9,BF.7.19,BQ.1.1.7,BQ.1.10,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.03,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,0.19,,,,,0.05,0.03,0.18,0.09,0.11,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-1,simulation,Ex19_03_realTimecourse_simul-1,2021-12-29,1492.660401966358,2405.875574670616,82.3997592214828,59.9999
3,0.15,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,0.22,,,,,0.08,0.03,0.17,,0.08,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-3,simulation,Ex19_03_realTimecourse_simul-3,2022-01-12,1392.4337357455775,2014.1373987361121,68.29749523459185,59.9998
5,0.5,,,,,,,,,,,,,,,,,0.17,,0.05,0.07,,,,,0.02,,0.11,,,,,,,0.03,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex19_03_realTimecourse_simul-5,2022-01-26,1488.3275591077818,2116.0563103945433,77.23639768585092,60
7,0.52,,,,,,,,,,,,,,,,,0.23,,0.02,0.1,,,,,0.02,,0.06,,,,,,,,0.02,0.03,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex19_03_realTimecourse_simul-7,2022-02-09,1491.0477878473732,1839.1234496437705,74.34371133331103,60
9,0.29,,,,,,,,,,,,,,,,,0.33,,0.02,0.1,,,,,0.05,0.03,0.09,,,,,,,,0.01,0.06,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex19_03_realTimecourse_simul-9,2022-02-23,1492.1458047687522,2408.67025203971,73.50433066916364,60
12,0.4,,,,,,,,,,,,,,,,,0.19,,,0.33,,,,,0.02,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex19_03_realTimecourse_simul-12,2022-03-16,1499.2702404441027,2090.727003754126,76.26993947095609,59.9998
14,0.64,,,,,,,,,,,,,,,,,0.14,,0.02,0.19,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex19_03_realTimecourse_simul-14,2022-03-30,1498.5941544326656,2390.9325612046346,71.63160886867537,59.9999
16,0.67,,,,,,,,,,,,,,,,,0.04,0.04,0.03,0.21,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex19_03_realTimecourse_simul-16,2022-04-13,1496.6846804668428,1655.0869736775664,79.63749456576264,59.9999
18,0.64,,,0.01,,,,,,,,,,,,,,0.01,0.02,0.01,0.22,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-18,simulation,Ex19_03_realTimecourse_simul-18,2022-04-27,1489.5352640203323,2274.509349104565,72.74520951075144,59.9999
20,0.61,,,,,,,,,,,,,,,,,,0.11,0.03,0.19,0.02,,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-20,simulation,Ex19_03_realTimecourse_simul-20,2022-05-11,1498.7834999832792,2304.4302561901072,76.94545697756078,59.9999
23,0.48,,,0.07,0.01,,,,0.03,,0.01,0.02,,,,,,,0.15,,0.14,,0.02,0.03,0.02,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-23,simulation,Ex19_03_realTimecourse_simul-23,2022-06-01,1475.1521586462898,2226.998995698837,76.54081530281243,59.9998
25,0.2,,0.03,0.17,0.03,,,0.05,0.05,,0.02,0.13,,,,,,,0.04,,0.06,,0.02,0.05,0.04,,,,0.04,,,,,,,,,,,,,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-25,simulation,Ex19_03_realTimecourse_simul-25,2022-06-15,1466.3614687489548,2208.164754216323,79.98528575728187,59.9999
27,0.03,,0.11,0.23,0.01,,,0.06,0.08,,0.04,0.13,,0.06,,,,,0.06,,,,,0.03,0.02,,,,0.02,,,,,,,,,,,,,0.02,0.01,0.03,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-27,simulation,Ex19_03_realTimecourse_simul-27,2022-06-29,1503.7270842390396,1984.769581642256,72.10313346486976,60
29,0.01,,0.28,0.17,0.01,0.01,,0.07,0.08,,0.01,0.09,,0.08,0.01,,,,0.01,,,,,0.03,0.02,,,,0.02,,,,,,,,,,,,0.02,0.01,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-29,simulation,Ex19_03_realTimecourse_simul-29,2022-07-13,1503.890011035682,2027.0424949197534,76.3067250777514,59.9999
31,0.06,0.02,0.03,0.22,0.01,0.01,,0.13,0.13,,0.02,0.1,0.02,0.14,0.02,0.02,,0.02,,,0.01,,,,,,,,0.01,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-31,simulation,Ex19_03_realTimecourse_simul-31,2022-07-27,1498.1793799953182,2568.769527644503,74.57445741229976,60
34,0.02,0.02,0.07,0.2,0.02,0.01,0.03,0.19,0.14,0.01,0.02,0.08,0.01,0.12,0.01,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-34,simulation,Ex19_03_realTimecourse_simul-34,2022-08-17,1504.1484466441493,2041.1830618594986,83.48326254890813,59.9999
36,0.02,,0.02,0.19,0.02,,,0.26,0.17,0.02,,0.06,0.02,0.12,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex19_03_realTimecourse_simul-36,2022-08-31,1501.3646791291844,2194.593363268955,75.78503829047253,59.9998
