timepoint,BA.1.6,B.1.617.2,BA.1.18,BA.1.17.2,BA.1.17,BA.1.1,BA.1.1.7,BA.1.1.11,AY.43,AY.46.6,BA.2.16,B.1.143,B.1,BA.2.12.1,BA.2.9,BA.2.9.2,BA.2.29,BA.2.3.5,BA.4,BA.4.1.2,BA.2,BA.4.8,BA.2.43,XQ,BA.1.5,B.1.250,BC.2,BA.1.1.1,BE.1.1.1,BA.5.2,BF.7,BF.14,XBB,BA.5.1.28,BA.5.11,BN.1.3,BF.7.5,BQ.1.1,DT.3,BQ.1.1.47,BQ.1.1.32,BQ.1.1.9,BQ.1.1.1,BQ.1.1.74,BQ.1.1.67,BQ.1.1.6,BQ.1.1.66,BF.11,BF.6,BF.41,BA.5.2.1,BF.39,BQ.1.3.2,BN.1.2,XBD,BE.1.1,BA.5.1.17,BA.5.1.3,BA.5.1,BA.5.3.1,BF.8,BF.4,BF.18,BA.2.75.1,BA.5.3,BA.5,BE.1,BA.5.2.4,BA.5.1.23,BF.7.1,BA.2.23,B.1.153,BA.2.3.20,BN.1,BN.1.10,BA.5.9,BL.1,BM.1.1.3,BA.5.5,BN.3,BF.23,BA.4.1.9,BE.1.2,BA.5.2.52,CR.1,BA.5.2.6,BN.1.3.5,BF.7.27,BR.4,BA.5.2.20,BF.7.6,BN.1.3.3,BQ.1.24,BQ.1.1.45,BQ.1.1.31,CT.1,BQ.1.1.5,BN.1.3.1,XBB.4,BF.7.23,BA.5.1.11,BA.1,AY.55,XAS,B.1.249,BA.2.73,BA.1.7,B.1.91,B.1.134,BA.2.65,BA.2.4,XAP,BA.5.1.22,BA.5.1.24,BF.38,CC.1,BF.5,BE.1.1.2,BA.5.2.2,BA.5.2.22,BA.5.2.44,XW,BF.1,BA.2.13,BF.28,XZ,BA.4.6,BA.2.75.5,BA.2.3.12,BA.2.3,BA.2.55,BA.2.3.9,BA.2.79,BQ.1.1.2,BQ.1.10,BF.7.4,BA.2.74,CH.1.1.3,CH.1.1,BQ.1.1.18,BQ.1.1.3,BF.32,BA.5.1.21,XBF,BA.2.3.10,BA.2.56,BA.2.3.15,BA.2.75.2,BA.5.1.30,BF.2,BA.5.2.58,BA.2.11,BA.2.45,BA.2.47,BA.2.36,BA.2.71,BA.2.14,BA.2.58,XAB,others,sample_name,tool_name
1,0.23,0.16,0.15,0.1,0.06,0.05,0.05,0.05,0.05,0.03,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja-1,freyja
3,,,,0.07,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.17,0.12,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja-3,freyja
5,0.14,0.03,,,,0.06,0.06,0.06,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja-5,freyja
7,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.06,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.02,freyja-7,freyja
9,,,,0.05,,0.14,0.14,0.14,,,,,,,,,,,,,,,0.3,0.09,0.06,0.04,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja-9,freyja
12,,,,,,,,,,,,,0.01,,0.3,,,,,,0.34,,,0.02,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.11,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja-12,freyja
14,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,0.14,,,,,,,,,,,,,,,0.01,,,,0.14,,,,,,,,,,,,,,,0.14,0.14,0.01,,,,,,,,,,,,,0.02,freyja-14,freyja
16,,,,,,,,,,,0.78,,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja-16,freyja
18,,,,,,,,,,,0.62,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.11,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja-18,freyja
20,,,,,,,,,,,0.55,,,0.12,0.09,0.09,0.06,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja-20,freyja
23,,,,,,,,,,,,,,0.15,0.14,,,,,,0.47,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,0.03,0.03,,,0.01,,,,0.02,0.03,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja-23,freyja
25,,,,,,,,,,,,,,0.04,,,,,0.09,,0.02,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.13,,0.08,0.08,0.04,0.02,0.02,,,,,0.05,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,0.03,,,,,,,,,,0.01,,,,,,0.04,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja-25,freyja
27,,,,,,,,,,,,,,,,,,,0.04,,0.05,,,,,,,,,0.08,,0.06,,,,,,,,,,,,,,,,,,,0.05,,,,,0.1,0.09,0.09,0.09,,,0.05,0.05,,,0.02,0.08,,,,,,,,,0.06,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja-27,freyja
29,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.07,,0.08,,,,,,,,,,,,,,,,,0.03,,0.03,0.03,,,,0.09,,0.09,0.09,,,0.03,,,,,0.01,,0.01,,0.05,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja-29,freyja
31,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.16,,0.13,,,,,,,,,,,,,,,,,0.02,,0.02,0.02,,,0.02,0.11,,0.06,0.06,,0.02,0.02,,,,0.01,0.02,,0.02,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,freyja-31,freyja
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.12,,,,,,,,,,,,,,,,,,,0.05,,,,,0.09,0.08,0.08,0.08,0.06,0.05,0.05,0.05,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja-34,freyja
36,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.25,0.01,0.14,,,0.02,,,,,,,,,,,,,,,,0.08,,,,,0.04,,0.1,0.1,0.02,,0.08,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja-36,freyja
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,0.11,,,,,,,,,,,,,,,,,,,0.06,,,,,0.04,,0.11,0.11,,,0.06,,,0.03,,0.02,,,,,,,,,,,,,,0.02,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,freyja-38,freyja
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,0.04,,,,,,,,,,,,,,,,,0.02,,0.02,0.02,,,,0.02,0.06,0.06,0.06,,0.02,0.02,0.02,,0.07,,,,,,0.02,,0.06,0.02,0.02,,,0.02,,,,,,,,0.01,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,0.04,0.02,0.01,0.01,,,,,,,,,0.06,freyja-40,freyja
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.05,,,,,,,,,,,,,,,,,0.03,,0.03,0.03,,,,0.03,,0.03,0.03,,,0.03,,,,,,,0.03,,,,0.14,0.05,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja-42,freyja
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.02,0.08,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,,,,,0.03,0.03,0.03,0.02,,0.02,0.02,,,0.06,,,0.03,0.02,,,,,,0.05,,,,,,,,0.03,,,0.04,0.03,0.03,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,freyja-45,freyja
