timepoint,BA.1,BA.1.1,AY.55,XAS,AY.43,BA.1.17.2,BA.2.23,B.1.249,BA.1.17,AY.46.6,BA.2.87,BA.2.12.1,BA.2.9,BA.2.9.2,BA.2.29,BA.2.3.5,BA.4,BA.4.1.2,BA.2,BA.4.8,B.1.1.529,B.1,BA.5,BA.5.5,BE.1.1,BA.5.1,BA.5.1.3,BF.14,BA.5.2,XAR,BF.1,BF.39,BF.6,BF.4,BA.5.2.1,BA.2.13,BF.28,BE.1,BA.5.1.23,BA.2.16,XAP,BA.2.3.9,BF.30,BA.5.3,BA.4.6,CP.2,BA.5.2.20,BF.23,BE.1.1.2,BF.7,BF.7.1,XBD,BA.2.75.5,BA.2.3.12,BA.5.3.1,BA.5.1.22,BF.8,BA.5.1.24,BF.35,BF.3.1,BF.38,BQ.1.15,BQ.1,BF.7.6,BA.5.11,BQ.1.1.2,BQ.1.1.31,BQ.1.1.44,BQ.1.1.45,BQ.1.1,BQ.1.10,BF.7.4,BA.2.74,XBU,BF.32,CH.1.1,CH.1.1.3,BQ.1.1.18,BN.1.3.1,BQ.1.1.3,BA.5.1.21,BY.1.1,BQ.1.24,BF.11,BN.1,BA.2.4,BF.5,BA.5.2.2,BA.5.2.22,BA.5.2.44,XW,BA.2.65,BA.1.6,BA.1.1.7,BA.1.1.11,B.1.617.2,BA.1.1.1,XQ,BA.1.18,B.1.143,BA.5.1.28,BA.2.73,BE.1.1.1,XBB,BN.1.3,BF.7.5,BQ.1.1.47,BQ.1.1.32,DT.3,BQ.1.1.46,BQ.1.1.6,BQ.1.1.66,BQ.1.1.1,BQ.1.1.9,BQ.1.1.67,BQ.1.1.26,BQ.1.1.74,BF.41,BQ.1.3.2,BA.5.9,BQ.1.1.34,BN.1.3.3,XBB.4,XBB.1,XBB.2,BA.5.1.11,BQ.1.19,BQ.1.14,CT.1,BF.7.23,BA.5.1.17,BF.18,BA.2.75.1,BA.5.2.4,BA.2.3.20,BA.2.75.2,BN.1.10,BA.5.1.30,BM.1.1.3,BF.7.27,BF.2,BA.5.2.58,BA.5.2.6,B.1.250,BA.1.5,BC.2,BN.1.3.5,BA.5.2.52,BR.4,XBS,BA.1.7,BA.2.3,BA.2.56,BA.2.3.10,BA.2.3.15,BA.2.47,BA.2.45,BA.2.11,BA.2.14,BA.2.36,BA.2.71,BA.2.58,XAB,BL.1,BN.3,BA.4.1.9,CP.1,CR.1,others,sample_name,tool_name
1,0.23,0.05,,,0.05,0.1,,,0.06,0.03,0.03,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.16,,,0.15,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-1,freyja_v2.0.0
3,0.25,0.23,0.17,0.12,0.08,0.07,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-3,freyja_v2.0.0
5,0.07,0.06,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,0.29,0.07,0.06,0.06,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-5,freyja_v2.0.0
7,0.17,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,0.02,0.06,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,,,,,,0.02,freyja_v2.0.0-7,freyja_v2.0.0
9,0.03,0.14,,,,0.05,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-9,freyja_v2.0.0
12,0.08,,,,,,0.05,,,,,,0.3,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,0.08,,,,,,,,,,,,,,,,,,0.07,freyja_v2.0.0-12,freyja_v2.0.0
14,0.14,,,,,,0.14,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,0.14,0.01,,,,,,,,,,,,,,0.04,freyja_v2.0.0-14,freyja_v2.0.0
16,0.05,,,,,,0.06,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-16,freyja_v2.0.0
18,,,,,,,0.14,,,,0.63,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-18,freyja_v2.0.0
20,,,,,,,,,,,0.55,0.12,0.09,0.09,0.07,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-20,freyja_v2.0.0
