timepoint,B.1.1.529,BA.1,BA.1.1,BA.1.1.1,BA.2,BA.2.9,BA.1.15,BA.1.17,BA.1.17.2,BA.1.18,BA.2.3,BA.2.12.1,BA.2.56,BA.4,BA.4.1,BA.5,BA.5.1,BA.5.1.22,BA.5.2,BA.5.2.1,BA.5.5,BE.1,BE.1.1,BE.1.4,BF.1,BF.12,BF.14,AY.43,AY.46.6,B.1.617.2,BA.1.20,BA.2.3.20,BA.4.6,BA.5.1.5,BA.5.2.20,BA.5.2.27,BA.5.2.6,BA.5.9,BF.11,BF.5,BF.7,BF.7.6,BN.1,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,BQ.1.5,CH.1.1,XBB.1,XBB.2,BF.7.5,BF.7.9,BN.1.2,BA.2.75.1,BA.5.1.23,BE.1.1.2,BQ.1.1.23,XBF,BA.4.1.2,BF.11.3,BF.7.19,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,XBB,BA.5.1.2,BA.5.2.26,BA.5.2.3,BM.1.1,BA.2.75.5,BA.5.1.3,BA.5.2.58,BL.1,BM.1.1.3,BR.3,CM.5,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,BN.2,BA.2.36,BA.5.3,BA.2.75.2,BA.5.1.30,BA.2.13,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,0.19,0.16,,0.03,,,0.09,0.11,0.16,,,,,,,,,,,,,,,,,,0.05,0.03,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-1,simulation,Ex20_01_realTimecourse_simul-1,2021-12-29,1502.894024010969,2352.1224825684317,66.83944754706886,59.9999
3,,0.22,0.22,,0.15,,,,0.08,0.03,,,,,,,,,,,,,,,,,,0.08,0.03,0.17,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-3,simulation,Ex20_01_realTimecourse_simul-3,2022-01-12,1500.951810855098,2588.856191905552,61.21124970738722,60
5,,0.11,0.17,0.02,0.5,0.07,,0.01,0.03,,0.05,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex20_01_realTimecourse_simul-5,2022-01-26,1488.3333110390263,2495.202466863506,65.6489315453299,59.9999
7,,0.06,0.23,0.02,0.52,0.1,0.01,0.02,0.03,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex20_01_realTimecourse_simul-7,2022-02-09,1414.1182824465773,2435.6095015673814,61.42527505601445,59.9999
9,0.03,0.09,0.33,0.05,0.29,0.1,0.01,0.01,0.06,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex20_01_realTimecourse_simul-9,2022-02-23,1476.0826338494464,2793.4360973740013,64.1775072735177,59.9998
12,0.05,0.02,0.19,0.02,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex20_01_realTimecourse_simul-12,2022-03-16,1504.880981841287,2857.06458860391,67.06350533391299,59.9999
14,,,0.14,0.01,0.64,0.19,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex20_01_realTimecourse_simul-14,2022-03-30,1492.9510417015015,2342.878209968714,63.04718590108016,60
16,,,0.04,0.01,0.67,0.21,,,,,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex20_01_realTimecourse_simul-16,2022-04-13,1490.4359094405243,2720.798794574952,63.762833160552454,59.9999
18,,,0.01,,0.64,0.22,,,,,0.01,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,simul-18,simulation,Ex20_01_realTimecourse_simul-18,2022-04-27,1496.2270340768484,2498.4584088654015,63.354847339731805,59.9999
20,,,,,0.61,0.19,,,,,0.03,0.11,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-20,simulation,Ex20_01_realTimecourse_simul-20,2022-05-11,1481.7038089823764,3076.890171064859,64.46844798180784,59.9999
