timepoint,AV.1,B.1.1.7,B.1.1,B.1.1.318,B.1.177,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.525,P.1,C.37,P.3,others,sample_name,tool_name
1,0.01,0.02,0.31,,,,0.06,0.05,0.02,0.3,,0.03,0.17,0.01,0.02,lcs-1,lcs
12,0.08,0.03,0.57,,0.01,,,,,0.02,0.02,0.01,0.22,,0.03,lcs-12,lcs
14,0.19,,0.63,,,,0.01,,,,0.02,0.01,0.09,0.01,0.02,lcs-14,lcs
16,0.04,0.02,0.62,0.01,,0.02,,0.11,,,,0.02,0.12,0.02,0.02,lcs-16,lcs
18,0.04,0.02,0.59,0.01,,0.01,,0.04,0.02,0.02,,0.02,0.22,0.02,0.01,lcs-18,lcs
20,0.08,0.03,0.29,0.01,,0.02,,0.01,0.04,0.09,,0.06,0.34,0.01,0.01,lcs-20,lcs
23,0.02,0.03,0.32,0.02,,,0.05,0.03,,0.06,,0.03,0.35,0.08,0.02,lcs-23,lcs
25,,,0.34,0.01,,0.03,,0.02,0.11,0.05,,0.02,0.38,,0.03,lcs-25,lcs
27,0.38,0.04,0.31,,,,,0.02,0.09,0.01,0.02,0.03,0.06,,0.03,lcs-27,lcs
29,0.16,0.01,0.29,,,,,0.09,0.02,0.08,,0.07,0.24,0.02,0.02,lcs-29,lcs
3,0.1,,0.31,,,,0.05,,,0.25,0.04,0.01,0.21,,0.03,lcs-3,lcs
31,0.02,0.11,0.48,,,,,,0.18,0.04,,0.01,0.14,,0.01,lcs-31,lcs
34,0.15,0.19,0.39,,,,,,0.11,0.02,,0.02,0.09,,0.04,lcs-34,lcs
36,0.08,0.12,0.37,,,,0.01,,,0.1,,0.03,0.27,,0.03,lcs-36,lcs
38,0.04,,0.7,,,,,,0.03,0.02,,,0.18,0.02,0.02,lcs-38,lcs
40,0.13,0.12,0.43,,,,,0.02,,0.07,,0.02,0.12,0.07,0.02,lcs-40,lcs
42,0.09,,0.27,,,,,0.03,0.1,0.07,,0.02,0.4,0.01,0.02,lcs-42,lcs
45,0.16,0.01,0.4,,,,,0.2,0.03,,,,0.16,,0.03,lcs-45,lcs
47,0.02,0.04,0.56,,,,,,0.22,,,0.01,0.13,,0.03,lcs-47,lcs
49,,,0.43,,,,,0.06,,0.08,,0.03,0.35,0.02,0.03,lcs-49,lcs
5,,0.17,0.52,,,,,,,0.17,0.03,0.02,0.05,0.04,0.02,lcs-5,lcs
51,0.06,,0.51,,,,,,0.2,0.02,,0.01,0.12,0.05,0.02,lcs-51,lcs
7,0.43,0.01,0.31,,,,,0.01,,0.03,,0.03,0.12,0.03,0.02,lcs-7,lcs
9,0.11,0.09,0.39,,,0.01,,0.1,0.05,0.12,0.03,,0.07,,0.03,lcs-9,lcs
