timepoint,BA.5.9,BA.4,XAG,BA.5.1.4,BA.2.19,BA.5.1.24,XAR,BA.2.28,BM.2.1,CM.7,BW.1.1.1,DL.1,BE.1,BQ.1.1.26,BQ.1.1.21,BM.5,CV.1,DE.2,BA.1.1.14,CU.1,BN.1.2.1,BR.3,DC.1,BA.5.6.4,BA.5.2.53,BA.5.1.18,BF.28,XZ,BG.5,BF.23,BA.2.13.1,BA.5.3.4,BA.5.3,BA.2.60,BA.2.73,BA.4.1.1,BA.2.3.6,BA.2.12.2,BA.2.20,BA.2.10.3,BA.2.12.1,BA.1.17,BA.2.57,BA.2.3.10,BA.2.9.4,BA.1.1.15,BA.2.17,BA.2.52,BA.2.68,XAB,BA.2.3.5,BA.2.9.2,BA.2.9,BA.1,BA.1.16,BA.2.12,BA.2,BA.2.8,BA.1.22,BA.5.7,BA.5.1.7,BA.2.18,BK.1,BN.1.3.10,XBB.1.24,XBB.1.28,XBB.2.3.6,XBB.1.28.1,XBB.1.19.1,XBB.1.5.59,GA.2,BY.1.1,FK.1.2,BQ.1.25.1,CN.2,BQ.1.1.64,CM.5.1,BA.2.38.2,BA.5.1.33,BE.1.4.4,BA.5.1.1,BA.5.1.25,BF.5,B.1.1.529,BA.5.1.30,BF.7.17,XBB.2.2,BA.5.1.28,BA.4.6.2,BF.11.2,BQ.1.1.15,BM.3,BF.7.13.1,BF.7.12,BQ.1.1.4,BF.7.24,BA.5.6.1,BF.7.1,BA.2.9.7,XU,BA.5.1.23,BA.5.1.3,BA.1.1.11,BA.1.10,BA.2.47,BA.5.1.31,BF.7.20,BQ.1.27,BQ.1.1.49,BF.41.1,BA.5.1.21,CC.1,BF.14,BF.26,BF.7.6,BA.5.1.26,BF.24,BF.12,BT.1,BF.20,BF.39,BA.5.1.16,BF.36,BF.21,BA.2.80,BQ.1.26.2,BQ.1.33,BQ.1.1.47,BN.1.3.3,ER.1,BF.11.3,BN.1.3.1,BF.7.9,BQ.1.16,BA.2.10.4,BA.2.38.4,BF.7.10,XAL,BF.1,BA.1.15.1,BA.2.23.1,BA.1.1.16,AY.11,BA.1.18,BN.1.4.3,BA.1.20,BA.5.2.28,BA.2.58,AY.43.3,BA.1.1.18,BA.2.3.12,BA.2.29,BA.1.17.1,XP,BA.1.1.17,BA.1.9,BA.1.1.1,BA.1.13,BA.1.5,BA.2.16,BA.2.25,BA.1.6,XBB.1.22.2,BD.1,BA.2.40,XM,CP.2,BQ.1.1.10,BQ.1.15,BE.6,BA.5.2.1,BA.5.1.22,BA.4.1.2,BF.18,BQ.1.1.38,BQ.1.1.58,BN.1.4.1,BA.2.75.5,BA.1.19,BA.1.17.2,BA.2.2.1,BC.2,BA.5.12,BQ.1.3.1,A.21,BA.5.2.29,BA.4.4,BA.1.21,B.1.1.107,XBB.3.4,B.1.240.2,CM.5,BA.5.2.34,BA.5.2.21,BE.1.4,BE.1.1,BQ.1.5,BA.4.1.4,AY.46.6.1,AY.43.5,BA.1.1.6,BA.1.1,BE.4,BL.4,BA.5.8,CH.1.1.2,DG.1,BA.2.75.6,BQ.1.1.57,BQ.1.3.2,BQ.1.1.3,B.1.362,B.1.1.209,EU.1.1,BQ.1.1.63,BA.2.69,BA.2.5,B.1.1.398,EF.1.3,BQ.1.1.18,DU.1,BN.1.5,BA.1.15,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.03,,,,,,,,0.01,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.07,,0.01,,,,0.01,,,,0.01,0.07,,0.06,,,,,0.01,,0.02,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,0.01,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.31,vlq-1,vlq
3,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,0.02,,,,,,,,,0.04,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,0.01,0.03,,0.05,,,,0.02,,,0.03,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.01,,,0.03,,,,,,,,,,,,,,,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,0.46,vlq-3,vlq
5,,,0.01,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,0.02,,,0.01,,,,,0.01,,,0.01,0.01,0.02,,0.02,0.01,,0.02,,,,0.02,,,,0.04,,0.01,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,0.02,,,,,,,0.02,0.01,,,0.04,,,0.04,,0.02,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,vlq-5,vlq
7,,,,,,,0.01,0.02,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,0.01,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,0.08,,,,0.1,,,,,,,,,,,0.01,,0.02,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,vlq-7,vlq
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,0.02,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,0.03,0.08,0.04,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,0.03,0.02,0.59,vlq-9,vlq
12,,,,0.01,,,,,,,,,,,0.01,,,,0.04,,,,,0.01,,,,,,,,,,,0.02,,0.02,,,,,0.03,0.01,,,0.03,,,,,,0.09,,0.07,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.02,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,vlq-12,vlq
14,,,0.02,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,0.03,,,,,,0.02,,,0.03,,,,,,,,,,,,,0.01,0.01,,,,0.02,,0.01,,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,vlq-14,vlq
16,,,,,,,,,,,,0.01,,,,,,,,,,0.02,0.01,,,,,,,,,,,0.01,,,0.01,,0.03,,0.02,,,0.03,,,,,,,,,,,,,,0.02,,,,0.01,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,vlq-16,vlq
18,0.02,,,,,,,,,,,,,,0.01,,,,,,0.01,,0.01,0.02,,,,,,,,0.02,,0.03,,,,,,,,,,,,,,0.02,,,,,0.02,,,,0.01,,,,,,,,,,,,0.01,,,,0.01,0.01,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.08,,,0.03,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,vlq-18,vlq
20,0.01,,,,0.01,,,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0.02,0.02,,,,,,0.05,0.05,,,,,,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.04,,,,,,,,0.02,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.02,0.04,0.01,,,,,,0.51,vlq-20,vlq
