timepoint,BA.5.9,BA.5.1.4,BE.1.3,BA.2.28,BU.2,BQ.1.26.2,BM.2.1,BQ.1.33,BW.1.1.1,DL.1,BQ.1.1.47,BN.1.3.3,CT.1,BQ.1.1.21,BN.3,CP.3,BQ.1.1.10,CU.1,BF.7.13.1,BR.3,BN.1.3.1,DC.1,BF.11.4,BQ.1.2.1,BF.16,BA.5.2.53,BQ.1.5,BQ.1.1.3,BA.2.38.4,BF.7.10,BA.5.1.18,BA.5.2.29,BA.2.75.10,BF.7.1,BF.28,BA.2.9.7,XU,BF.23,BA.5.1.24,BA.5.2.1,BA.2.12.1,BA.1.17.2,BA.5.2.28,BA.4.1,BA.2.53,BA.1.1.4,BA.1.1.16,BA.2.16,BA.5.1.3,BF.18,BA.5.1.8,BA.5.7,BF.14,BK.1,B.1.1.10,B.1.1.420,XBB.1.28,FE.1.2,GA.2,FN.1,BY.1.1,XBB.1.5.57,BQ.1.25.1,CN.2,XBT,BQ.1.1.49,CH.1.1.9,BF.41.1,BA.5.1.5,BA.2.38.2,BF.26,BA.5.1.26,BF.5.5,BF.24,BF.20,BF.39,BA.5.1.25,BA.5.1.16,B.1.1.529,BQ.1.1.62,BQ.1.1.26,DM.1,BA.5.12,BQ.1.3,DE.2,BA.5.2.39,BQ.1.15,BA.5.6.4,BF.13,BA.5.2.32,BA.5.2.57,BF.7.24,XZ,BA.5.1.22,BA.2.13.1,BA.5.3,BD.1,BA.5.3.1,BA.1,BA.2.3.10,XAB,BA.2.8,BA.2.9,BA.2.47,BA.1.1.14,BQ.1.2.2,BQ.1.27,EP.2,BA.5.1.33,BA.5.2.34,BF.10,BA.5.6,XAG,BA.5.1.30,BM.5,CM.5,BA.4.6.4,BA.4.1.2,BA.2.3.14,BA.2.9.4,BA.2.18,BA.2.39,BA.1.22,BF.29,EK.4,XBF.7,CR.1.3,BA.5.2.44,BA.5.1.2,XAR,BA.5.6.1,BA.2.60,BA.2.20,BA.2.10.3,BA.2.42,BA.1.18,BA.2.41,BA.1.1.15,BA.1.1.18,BA.2.3.13,BA.2.31.1,BA.2.44,BA.2.62,BA.2.29,BA.2.9.1,BA.2.63,BA.1.10,BA.2.27,BA.2.9.2,BA.1.9,BA.1.13,BA.2.10.1,BA.2.5,BA.1.16.1,BA.2.9.3,BA.2.40,BA.5.2.19,BF.5,BQ.1.16,BA.2.75.3,BG.1,BA.5.2.3,BF.4,BA.1.19,BA.2.52,BF.7.5,FR.1,BF.7.14,CH.1.1.7,BA.5.2.30,BE.1.4.4,BE.1.1.2,BA.5.2.46,BQ.1.13,BG.5,BA.2.12.2,BF.1,BQ.1.1.34,BE.1.1,BN.1.4,B.1.1.91,BA.5.1.17,Q.6,BA.1.15,BF.27,BA.2.73,BA.1.20,BA.1.17,BA.1.1,BA.1.17.1,BA.1.1.13,BA.1.6,XM,BA.2.3.2,AY.24,B.1.1.355,AY.11,BE.6,BA.2.3.9,CM.6.1,BA.5.1.15,BQ.1.1.18,BQ.1.2,BL.4,DN.3.1,BA.2.33,BC.2,BQ.1.1.13,BA.5.8,XBC.1,BA.5.1.23,XBB.1.16.6,BE.1.2.1,BE.1.2,BQ.1.1.28,BA.1.15.2,BA.1.16.2,B.1.1.318,BA.5.2.23,BA.2.26,BA.2.21,BG.6,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.02,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,,0.04,0.02,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,vlq_vd04ad36-1,vlq_vd04ad36
12,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,0.02,,,,,,,,,,0.04,0.02,0.02,,,,,,,,,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.56,vlq_vd04ad36-12,vlq_vd04ad36
14,,,,0.02,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,0.02,0.02,0.02,,0.02,,,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,vlq_vd04ad36-14,vlq_vd04ad36
16,,,,0.02,,,,,0.01,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.02,,,,,0.01,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.03,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.66,vlq_vd04ad36-16,vlq_vd04ad36
18,,,,,0.01,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.05,,,,,,,,,,,,0.01,0.01,,,,,,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,,0.02,,,,,,,,,,,,0.01,,,0.04,,,0.01,0.02,,,,,,0.03,,0.02,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,vlq_vd04ad36-18,vlq_vd04ad36
20,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.02,,,0.02,,,,0.02,,,,,,,,,,,,,0.02,,,,,,,,,,,0.01,,0.02,,,0.01,,,0.02,,,,,,,,0.01,,,,0.03,0.02,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.02,,0.1,0.5,vlq_vd04ad36-20,vlq_vd04ad36
23,,,,,,,,,,,,,,,,,,,,0.02,,,0.03,0.02,,,,,,,,,0.02,,,,,0.04,,,,,,,,,,0.02,,,,0.01,0.03,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.6,vlq_vd04ad36-23,vlq_vd04ad36
25,,,,,,,,,,0.02,,,,,,,,0.01,,0.02,,0.01,,,,,,,,,,,,,,,0.02,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,vlq_vd04ad36-25,vlq_vd04ad36
27,,,,0.02,,,,,,,,,,,,,,0.01,,,,,0.01,0.01,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.04,,,,,0.03,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.02,,0.01,0.01,0.06,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,vlq_vd04ad36-27,vlq_vd04ad36
29,,0.02,0.02,,0.01,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.01,,,,,0.03,,,,0.11,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,0.01,,,,,,,,,,0.01,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.56,vlq_vd04ad36-29,vlq_vd04ad36
