timepoint,BF.28,BA.5.2,BA.5.1.28,BF.14,BQ.1.1.34,BF.7.1,BF.7,BA.5.9,CT.1,BF.5,BN.1,BA.2.23,BN.1.3.1,BQ.1.5,BA.5.2.36,XBB.2,XBB,XBB.1,XBB.2.8,BA.5.2.27,BM.2,XAS,BE.1.2,BQ.1.24,BA.5.3.1,XBU,BQ.1.1.46,BA.5.1.3,BA.5.1,BE.1.1,BA.5,BF.39,BA.5.2.1,BF.6,BF.4,BA.5.1.5,BA.2.75.1,BE.1,BA.5.1.22,BF.7.12,BA.5.1.23,BF.12,BA.5.11,BA.2.3.20,BA.2.75.2,BA.5.1.34,BA.5.1.12,BA.5.1.30,BA.2.75,BM.1.1.3,BA.2.75.4,BA.4,BA.5.3,BA.5.1.11,BA.2,BA.1.1,BA.2.9.2,BA.2.9,BA.2.3.5,B.1.1.529,BA.5.2.3,BF.2,BE.3,BA.5.2.20,BE.1.1.2,XT,BA.5.2.26,BF.7.23,BA.2.24,BA.2.27,BA.2.3,BA.2.12,BA.4.8,BF.1,BE.1.4,BA.4.1,BA.4.1.9,BF.38,BF.18,BA.5.5,XAP,BA.2.87,BA.2.29,BA.1.17.2,BA.2.3.18,BA.1.18,BA.1.13,BA.1,BA.3,BA.1.17,BA.1.19,B.1.617.2,AY.43,AY.102,BE.1.1.1,BQ.1.1.44,BQ.1.1,BQ.1.1.31,BQ.1.1.45,BQ.1.1.6,BQ.1.2,BQ.1.23,BQ.1.1.18,XBB.2.7,BF.11,BM.4,BA.5.1.35,XAJ,BA.2.37,BA.2.11,BA.4.1.2,BA.2.16,BA.1.1.1,BA.2.6,BA.2.9.5,BA.2.4,BA.2.56,BA.2.8,BA.2.75.5,CR.1,BF.17,BA.4.6,BA.5.5.1,BA.5.2.32,BA.5.2.61,BF.7.7,BF.7.18,XBD,BQ.1.27,BF.7.6,BF.7.15,BQ.1.10,BF.7.5,BA.2.79,BF.7.4,BQ.1.1.9,BQ.1.1.53,BQ.1.1.67,BQ.1.1.76,DT.3,BQ.1.1.3,BQ.1.1.32,BQ.1.1.37,DR.1,BQ.1.1.66,BQ.1.1.47,BQ.1.1.74,CH.1.1.3,CH.1.1.1,CH.1.1,BN.1.3,BN.1.10,BQ.1.1.25,BN.1.3.3,XBS,BA.2.79.1,BA.1.1.7,BA.1.1.10,BA.1.1.11,BA.1.20,AY.113,BA.5.1.21,BF.41,BF.8,CE.1,BA.2.75.7,BA.2.12.1,BA.2.3.10,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,0.11,,0.02,,0.04,0.4,0.18,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-1,freyja_v2.0.0
3,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.03,0.15,0.15,,,,0.17,0.07,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.04,0.02,0.01,,,,,,,,0.03,freyja_v2.0.0-3,freyja_v2.0.0
5,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja_v2.0.0-5,freyja_v2.0.0
7,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,0.15,0.15,,0.05,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-7,freyja_v2.0.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.09,0.06,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,freyja_v2.0.0-9,freyja_v2.0.0
12,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.02,0.02,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.03,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,freyja_v2.0.0-12,freyja_v2.0.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.14,0.11,0.11,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-14,freyja_v2.0.0
16,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.2,,,,,,,,,,,,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-16,freyja_v2.0.0
18,,,,,,,,,,,,0.01,,,,,,,,,,0.04,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-18,freyja_v2.0.0
20,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,0.02,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.02,0.02,freyja_v2.0.0-20,freyja_v2.0.0
23,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,0.08,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,0.11,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-23,freyja_v2.0.0
25,,0.05,,,,,,,,,,0.15,,,,,,,,,,0.02,,,,,,,,,0.26,,0.01,,0.01,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-25,freyja_v2.0.0
27,,0.08,,0.05,,,,,,,,0.05,,,,,,,,,,,,,,,,,0.25,,0.07,,0.04,,,,,0.18,,,,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.05,0.03,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-27,freyja_v2.0.0
29,,0.07,,0.07,,,,,,,,0.05,,,,,,,,,,,,,,,,,0.26,,0.26,,0.03,,,,,0.11,,,,0.06,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.04,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-29,freyja_v2.0.0
31,,0.09,,0.12,,0.01,0.01,,,0.02,,0.06,,,,,,,,,,,,,,,,,,0.1,0.29,0.03,0.03,0.03,0.03,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.02,,,,,0.02,,,,,,,,0.01,,,,,,0.03,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-31,freyja_v2.0.0
34,,0.21,,0.12,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.09,0.08,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-34,freyja_v2.0.0
36,,0.25,,0.12,,,,,,0.04,,,,,,,,,,,,,,,0.01,,,0.07,0.07,,,,0.07,,0.07,,,0.06,,,,,,,,0.07,,,,,,,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v2.0.0-36,freyja_v2.0.0
38,,0.26,0.03,0.12,,0.01,0.01,,,,,,,,,,,,,,,0.02,,,,,,0.08,0.08,0.06,0.03,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,0.02,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.01,,,0.05,freyja_v2.0.0-38,freyja_v2.0.0
40,,0.22,,0.03,,0.02,0.02,,,0.03,0.05,0.03,,,,,,,,,,,,,,,,0.04,0.04,0.02,0.03,,0.05,,0.05,,,,,,,0.01,,0.07,0.05,0.04,0.04,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja_v2.0.0-40,freyja_v2.0.0
42,,0.21,0.06,0.05,,,,,,0.01,0.07,,0.02,,,,,,,,,,,,,,,,0.04,,0.02,,0.07,,,,,0.04,,,,,,0.15,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v2.0.0-42,freyja_v2.0.0
