timepoint,BA.5,BA.5.1,BA.5.1.10,BA.5.2,BA.5.2.1,BA.5.9,BE.1.1,BF.11.3,BF.14,BF.5,BF.7,BF.7.22,BF.7.24,BF.7.4,BF.7.5,BF.7.6,BN.1.2,BN.1.3,BN.1.3.1,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,BQ.1.5,CH.1.1,XBB,XBB.1,XBF,BA.2.75.1,BA.4.6,BA.5.1.2,BA.5.1.23,BA.5.2.20,BA.5.2.26,BA.5.2.27,BA.5.2.3,BE.1,BE.1.1.2,BE.1.4,BM.1.1,BA.1.1,BA.1.1.1,BA.2,BA.2.12.1,BA.2.3,BA.2.9,BA.5.1.22,BA.5.1.5,BN.2,B.1.617.2,BA.1,BA.1.17,BA.1.17.2,B.1.1.529,BA.2.3.20,BA.2.75.2,BA.2.75.5,BA.5.1.30,BA.5.2.58,BA.5.2.6,BM.1.1.3,BN.1,BR.3,BA.4.1,BQ.1.1.23,BF.11,BN.1.3.3,XBB.2,BA.5.1.3,BL.1,CM.5,BF.7.19,BF.7.9,BQ.1.1.7,BQ.1.10,BA.1.15,BA.1.18,AY.43,AY.46.6,BA.2.56,BA.4,BA.4.1.2,BA.5.5,BF.1,BF.12,BA.2.36,BA.5.3,BA.2.13,BA.1.20,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,0.03,,,,,,,0.18,0.19,0.09,0.11,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.05,0.03,,,,,,,,,,,simul-1,simulation,Ex20_02_realTimecourse_simul-1,2021-12-29,1497.5180082265992,3114.2296365796415,67.70558137979467,60
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,0.15,,,,,,,0.17,0.22,,0.08,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.08,0.03,,,,,,,,,,0.02,simul-3,simulation,Ex20_02_realTimecourse_simul-3,2022-01-12,1477.4821589807043,2363.938747794717,68.6753837407618,60
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.02,0.5,,0.05,0.07,,,,0.03,0.11,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex20_02_realTimecourse_simul-5,2022-01-26,1498.8699461592482,2602.982004343508,62.204461090860455,59.9999
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.02,0.52,,0.02,0.1,,,,,0.06,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,simul-7,simulation,Ex20_02_realTimecourse_simul-7,2022-02-09,1503.994816573588,2616.809442896182,59.231515232585366,59.9998
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.05,0.29,,0.02,0.1,,,,,0.09,0.01,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,simul-9,simulation,Ex20_02_realTimecourse_simul-9,2022-02-23,1485.1690800254155,2455.237819388088,69.4311607531017,59.9999
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.02,0.4,,,0.33,,,,,0.02,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex20_02_realTimecourse_simul-12,2022-03-16,1503.7432364645688,2536.829622823355,60.06420760458817,60
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.01,0.64,,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex20_02_realTimecourse_simul-14,2022-03-30,1500.8357689863892,2823.8405149686446,65.24094572450925,59.9999
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,0.67,0.04,0.03,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex20_02_realTimecourse_simul-16,2022-04-13,1501.8086814032038,2803.710727071618,60.789887302277364,59.9999
18,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.64,0.02,0.01,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,0.01,,,simul-18,simulation,Ex20_02_realTimecourse_simul-18,2022-04-27,1484.6865531886433,3230.3884975954625,70.68855967628666,59.9997
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.11,0.03,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.02,,,,,,,,simul-20,simulation,Ex20_02_realTimecourse_simul-20,2022-05-11,1483.9640838711834,2717.016424671959,63.59897000300974,59.9999
23,,0.07,,,0.03,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,0.48,0.15,,0.14,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,,0.01,0.02,,,simul-23,simulation,Ex20_02_realTimecourse_simul-23,2022-06-01,1496.8269069992978,3947.0626702266204,59.693007390562826,59.9999
25,0.03,0.17,,0.05,0.05,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,0.2,0.04,,0.06,0.03,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,0.05,0.04,,,0.03,,,0.02,,,simul-25,simulation,Ex20_02_realTimecourse_simul-25,2022-06-15,1498.843293315052,3172.468719276318,61.41524261779755,59.9999
27,0.11,0.23,,0.06,0.08,,0.13,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.01,,,,0.03,0.06,,,0.01,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.03,0.02,,0.02,0.03,0.04,,,,,simul-27,simulation,Ex20_02_realTimecourse_simul-27,2022-06-29,1501.289636491322,2474.8757827156082,64.45172725144634,59.9999
29,0.28,0.17,,0.07,0.08,,0.09,,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,0.01,,,,0.01,0.01,,,0.01,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.03,0.02,,0.01,0.04,,,,0.02,,simul-29,simulation,Ex20_02_realTimecourse_simul-29,2022-07-13,1501.4719927766446,2674.1003529327663,65.15734207270174,60
31,0.03,0.22,,0.13,0.13,,0.1,,0.14,0.02,0.02,,,,,,,,,0.02,,,,,,,,,,,0.01,0.02,,,0.01,,,,,0.02,0.02,,,0.02,,0.06,,,0.01,0.01,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,simul-31,simulation,Ex20_02_realTimecourse_simul-31,2022-07-27,1502.2260977159483,2608.383238483152,68.33428084138716,59.9999
34,0.07,0.2,,0.19,0.14,,0.08,,0.12,0.01,0.03,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,0.01,,,,0.02,0.01,,,,,0.02,,,,0.02,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-34,simulation,Ex20_02_realTimecourse_simul-34,2022-08-17,1498.029194395211,2294.1755981301053,64.30124067819283,59.9999
36,0.02,0.19,,0.26,0.17,,0.06,,0.12,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,0.02,,0.03,,0.02,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex20_02_realTimecourse_simul-36,2022-08-31,1505.5499448215899,2611.748977331573,64.06715045313179,59.9999
38,0.02,0.18,,0.26,0.1,0.03,0.05,,0.13,0.01,0.03,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-38,simulation,Ex20_02_realTimecourse_simul-38,2022-09-14,1498.2617128716183,3598.2126238188666,59.38869009798348,59.9999
40,0.01,0.17,,0.21,0.1,0.02,0.02,,0.03,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,0.02,,,,,0.01,,,,,,,0.07,0.04,0.07,0.02,0.01,0.01,0.02,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-40,simulation,Ex20_02_realTimecourse_simul-40,2022-09-28,1495.8487108316892,2400.1915075838524,69.35424539343879,59.9997
42,0.02,0.09,,0.2,0.09,0.03,0.04,,0.06,0.02,0.03,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,,0.14,,0.02,,0.01,0.02,0.03,0.08,0.01,,,,,,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,simul-42,simulation,Ex20_02_realTimecourse_simul-42,2022-10-12,1496.3118081797813,3155.729857238647,64.37815603785573,60
45,,0.11,,0.14,0.08,0.04,,,0.09,0.03,0.1,,,,,0.02,,0.03,0.02,0.03,0.05,,,,,,0.02,0.02,,0.05,,,0.01,,,0.03,,0.02,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,0.02,,0.02,,,,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,simul-45,simulation,Ex20_02_realTimecourse_simul-45,2022-11-02,1502.6918369394375,2616.708314101159,63.47858074440692,59.9999
47,0.03,0.04,,0.14,0.06,0.08,,,0.03,,0.06,,,,0.02,0.02,0.04,0.04,0.04,0.07,0.06,,,,,,,0.02,,0.13,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.02,0.05,,,,,,0.02,,,,,,,,,,,,,,,,,simul-47,simulation,Ex20_02_realTimecourse_simul-47,2022-11-16,1482.9473965822826,2551.2022604757203,65.94656054576464,59.9999
49,0.02,0.02,0.01,0.12,0.01,0.01,0.01,0.02,0.06,0.01,0.11,0.01,0.01,0.01,0.03,0.01,0.02,0.02,0.01,0.07,0.18,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-49,simulation,Ex20_02_realTimecourse_simul-49,2022-11-30,1495.3713005384075,2853.69351322022,61.940273551148714,60
51,0.03,0.02,,0.05,,0.01,,0.02,0.05,,0.11,,,0.02,0.02,0.01,0.02,0.01,,0.04,0.27,0.02,0.02,0.02,,,0.02,0.05,0.01,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.01,,,,,0.02,0.01,0.02,0.04,,,,,,,,,,,,,,,simul-51,simulation,Ex20_02_realTimecourse_simul-51,2022-12-14,1503.3614353074943,2372.627404052706,72.96257900545096,60
