timepoint,AV.1,B.1.1.7,B.1.1,B.1.1.318,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.525,P.1,C.37,P.3,P.2,others,sample_name,tool_name
1,0.07,0.01,0.41,,0.02,,,,0.25,0.03,,0.19,,,0.03,lcs-1,lcs
12,0.24,0.08,0.41,,,0.01,0.09,,0.07,0.05,0.01,0.02,0.01,,0.01,lcs-12,lcs
14,,0.01,0.47,,,0.01,,,0.08,,0.02,0.27,0.12,,0.02,lcs-14,lcs
16,0.06,,0.39,0.01,,0.01,0.02,,0.05,,0.01,0.36,0.05,0.01,0.02,lcs-16,lcs
18,0.21,0.01,0.52,,0.04,,,0.03,0.05,,0.04,0.02,0.07,,0.01,lcs-18,lcs
20,0.17,,0.27,,0.1,,0.07,0.02,0.06,,0.02,0.26,,,0.03,lcs-20,lcs
23,0.06,,0.74,,,0.01,,0.04,0.08,,,0.02,,,0.03,lcs-23,lcs
25,0.08,0.04,0.69,,,,,,,,0.01,0.13,0.02,,0.03,lcs-25,lcs
27,0.14,0.04,0.48,,,,,,,,,0.29,0.01,,0.03,lcs-27,lcs
29,0.05,0.05,0.64,,,,,,,,0.02,0.2,0.01,,0.02,lcs-29,lcs
3,0.09,0.02,0.38,,,,,,0.24,0.07,,0.16,,,0.03,lcs-3,lcs
31,0.02,0.12,0.51,,,,,,0.02,,,0.27,,,0.04,lcs-31,lcs
34,0.09,0.04,0.36,,,,,0.06,0.02,,0.01,0.37,,,0.05,lcs-34,lcs
36,0.2,0.14,0.22,,,,,0.14,0.07,,,0.15,0.04,,0.03,lcs-36,lcs
38,0.31,0.09,,,0.01,,0.19,0.04,0.12,,,0.23,,,0.02,lcs-38,lcs
40,0.01,0.06,0.43,,,,0.12,0.02,0.14,,0.03,0.15,,,0.03,lcs-40,lcs
42,0.37,,0.16,,0.03,,,0.08,0.04,,,0.28,,,0.04,lcs-42,lcs
45,,0.09,0.72,,,,0.01,0.02,,,,0.12,,,0.05,lcs-45,lcs
47,0.03,0.01,0.46,0.02,,,,0.19,0.05,,,0.19,,,0.04,lcs-47,lcs
49,0.03,,0.57,,,,,,0.04,,0.01,0.3,,,0.04,lcs-49,lcs
5,0.28,,0.43,,0.05,,0.02,,0.03,,0.01,0.16,,,0.02,lcs-5,lcs
51,0.07,0.05,0.56,,0.01,,,0.08,0.02,,0.04,0.14,0.01,,0.02,lcs-51,lcs
7,0.26,0.13,0.38,,,,,,0.04,0.05,,0.13,,,0.02,lcs-7,lcs
9,0.24,0.03,0.18,,,,0.03,0.02,0.05,0.03,,0.24,0.16,,0.03,lcs-9,lcs
