timepoint,B.1.617.2,BA.1,BA.2,BA.2.3.20,BA.2.75,BA.2.9,BA.5,BA.5.1,BF.7,BN.1,BQ.1,XBB,XBB.1.9,others,sample_name,tool_name
1,0.27,0.7,,,,,,,,,,,,0.03,vaquero-1,vaquero
3,0.31,0.65,,,,,,,,,,,,0.05,vaquero-3,vaquero
5,,0.37,0.59,,,,,,,,,,,0.04,vaquero-5,vaquero
7,,0.41,0.31,,,0.11,0.17,,,,,,,0.0,vaquero-7,vaquero
9,,0.54,0.42,,,,,,,,,,,0.04,vaquero-9,vaquero
12,,0.24,0.7,,,,,,,,,,,0.06,vaquero-12,vaquero
14,,0.15,0.62,,,0.21,,,,,,,,0.02,vaquero-14,vaquero
16,,,0.49,,,0.2,0.31,,,,,,,0.0,vaquero-16,vaquero
18,,,0.62,,,,0.38,,,,,,,0.0,vaquero-18,vaquero
20,,,0.54,,,,0.46,,,,,,,0.0,vaquero-20,vaquero
23,,,0.48,,,,0.52,,,,,,,0.0,vaquero-23,vaquero
25,,,0.36,,,,0.63,,,,,,,0.0,vaquero-25,vaquero
27,,,0.16,,,,0.58,,0.26,,,,,0.01,vaquero-27,vaquero
29,,,0.15,,,,0.45,,0.37,,,,,0.02,vaquero-29,vaquero
31,,,0.13,,,,0.35,,0.49,,,,,0.03,vaquero-31,vaquero
34,,,0.09,,,,0.47,,0.44,,,,,0.0,vaquero-34,vaquero
36,,,0.02,,,,0.41,,0.55,,,,,0.02,vaquero-36,vaquero
38,,,0.04,,,,0.23,0.23,0.49,,,,,0.02,vaquero-38,vaquero
40,,,0.1,,0.16,,0.33,,0.41,,,,,0.0,vaquero-40,vaquero
42,,,,0.17,0.18,,0.27,,0.38,,,,,0.0,vaquero-42,vaquero
45,,,,,0.17,,0.13,0.28,0.41,,,,,0.02,vaquero-45,vaquero
47,,,,,,,0.24,,0.31,0.16,0.18,0.11,,0.0,vaquero-47,vaquero
49,,,,,0.02,,0.13,,0.36,,0.35,0.07,0.07,0.0,vaquero-49,vaquero
51,,,,,0.03,,0.04,,0.34,,0.42,0.08,0.1,0.0,vaquero-51,vaquero
