timepoint,BA.1.18,BA.5.9,XAG,B.1.1.529,BA.2.28,BQ.1.26.2,BW.1.1.1,DL.1,BQ.1.1.47,CT.1,DM.1,CP.3,BA.1.1.14,BN.1.4,BA.5.2.53,BA.5.1.18,BA.2.75.10,BA.2.9.7,XZ,BF.23,BA.2.73,BA.1.20,BA.5.2.28,BA.1.1.11,BA.1.17,AY.24,BA.1.1.18,BA.1.19,BA.1.15.1,BA.1.1.15,BA.2.33,XAB,BA.1.17.2,BA.1.10,BA.1.9,BA.1.21,BA.1,BA.1.16,BA.1.1.1,BA.1.22,AY.11,BK.1,B.1.473,B.1.1.222,B.1.1.286,B.1.1.420,B.1.1.318,XBB.1.28,XBB.1.5.57,BQ.1.27,BQ.1.1.49,CH.1.1.9,XAR,BM.2.1,XBB.2.2,BE.1,BM.5,BR.3,CM.5,DC.1,BQ.1.16,BA.5.2.32,BG.5,BA.5.3,BA.2.60,BA.2.3.6,BA.2.20,BA.2.10.3,BA.2.42,BA.2.12.1,BA.2.3.14,BA.2.3.10,BA.2.53,BA.2.9.4,BA.2.62,BA.2.9.1,BA.1.1.4,BA.2.3.9,BA.2.9,BA.2.47,BA.2.39,BA.2.16,BA.2.18,FE.1.2,CM.8.1.1,EK.4,BY.1.1,XBT,XBF.7,CM.6.1,BF.24,BA.5.1.2,BA.5.1.30,CM.8.1.2,BQ.1.1.62,BQ.1.33,BA.5.12,CU.1,EQ.1,XAY.2,BQ.1.5,BA.5.6.4,BA.2.38.4,BA.2.75.3,BA.5.6.1,BG.1,BA.2.61,BA.2.13.1,BA.5.1.3,BA.4.1,BA.2.12.2,BA.2.31.1,BA.2.44,XJ,BA.2,BA.2.8,BA.5.7,GA.2,BQ.1.25.1,BA.2.38.2,BF.26,BA.5.1.26,BA.5.2.19,BA.5.1.15,BA.5.1.1,BA.5.1.16,BA.5.1.4,BU.2,BN.1.3.3,BQ.1.1.26,BQ.1.1.21,BQ.1.1.13,BQ.1.3,DE.2,BA.5.2.39,BQ.1.2,BN.1.3.1,BF.7.12,BF.11.4,BQ.1.2.1,BQ.1,BF.13,BF.7.10,BF.7.11,BA.5.2.57,XU,BF.2,BA.5.1.17,BA.4.1.2,BA.2.10.1,BF.29,FR.1,FN.1,CN.2,CR.1.3,CH.1.1.7,BF.41.1,BF.14,BF.7.6,BE.1.4.4,BF.39,BF.27,BA.5.1.25,BF.10,BQ.1.15,BA.5.3.1,BA.2.57,BA.1.17.1,BA.1.1.16,BA.1.6,FB.1,BQ.1.2.2,BA.5.2.34,XM,BF.16,BG.2,BA.2.9.6,BA.2.29,BA.2.63,BA.2.40,BF.5,BA.2.3.2,BF.7.13.1,BE.1.2.1,BF.7.1,BA.5.2.26,BF.28,BA.5.1.22,BE.1.2,BA.5.1.8,BE.1.1.2,BE.1.3,XBC.1,BQ.1.13,BF.4,BA.5.1.23,BA.5.10,BF.1,XBB.1.16.6,BQ.1.1.10,BQ.1.1.15,BQ.1.1.4,BQ.1.1.3,BA.5.2.29,BA.5.2.1,BF.18,BF.7.19,BF.7.4,BA.5.2.21,BL.4,BA.5.2.44,BQ.1.1.28,BQ.1.1.18,BA.2.26,EP.2,BA.5.2.30,B.1.1.355,BA.5.8,BA.5.2.46,DN.3.1,BA.2.21,BA.4.6.4,Q.6,B.1.1.91,B.1.1.422,BA.1.16.2,others,sample_name,tool_name
1,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.01,0.27,0.01,0.03,,,0.04,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,0.45,vlq-1,vlq
3,0.04,,,0.02,,,,,,,,,0.01,,,,,,,,,0.02,,,0.02,,0.07,,0.02,0.02,0.04,,0.14,,0.02,0.01,0.01,0.02,0.08,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,vlq-3,vlq
5,0.03,,,,0.02,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.04,,,0.01,0.03,,,0.01,,,0.04,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.53,vlq-5,vlq
7,0.01,,0.02,,,,,,,,0.01,,,,,,,,,,,,0.01,0.03,0.03,,0.01,,,,,,0.07,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,0.02,,,,0.01,,,,0.01,0.09,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.01,0.52,vlq-7,vlq
9,0.02,,,,0.03,,,,,,,,0.04,,,,,,,,,,,,,,0.06,,0.01,0.05,,,0.07,0.03,,,0.03,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,0.02,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,vlq-9,vlq
12,,,,,0.01,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,0.03,,0.02,0.02,,,0.01,,,0.01,0.01,,,0.02,0.03,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,vlq-12,vlq
14,,,,,0.02,0.21,,,,,,,,,,,,,0.02,,,,,,,,0.04,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,vlq-14,vlq
16,,,,,0.02,,0.01,,,,,,,,,,,,0.01,,0.01,,0.09,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.03,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.07,,0.02,,,,,0.01,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,vlq-16,vlq
18,,,,,,,,,,0.01,,0.02,,,,,0.01,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,,0.01,,,0.02,0.02,,,,0.01,,,,,,,,,,0.02,,,,,0.02,,,,,,,0.08,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,0.59,vlq-18,vlq
20,,,,,0.01,,,,,,,,,,,,,0.01,,,0.03,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,0.12,,,,,,,,,,0.01,,0.01,0.03,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.05,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.04,,,,,,,,,,,0.54,vlq-20,vlq
