timepoint,BA.5,BE.1,BA.5.1,BA.5.1.3,BA.5.2,BF.14,BA.4,BF.1,BA.2.23,BA.2.11,BF.6,BA.5.2.1,BF.2,BF.4,BF.39,BA.5.3.1,XAS,BA.2,BQ.1.24,XBB,BF.41,BN.1.3.9,BF.7,BQ.1.2,BA.5.11,BF.11,BA.5.1.28,BQ.1.3,BQ.1.1.47,DT.3,BQ.1.1.46,BQ.1.1.1,BQ.1.1.66,BQ.1.1.32,BQ.1.1,BQ.1.1.67,BQ.1.1.74,BQ.1.1.9,BQ.1.1.25,BF.7.22,BQ.1.1.18,ED.3,BE.1.1.1,BF.7.6,XBD,BN.1.3,BA.5.3,BA.2.16,BA.1.1,BA.1.13,BA.3,BA.1.17.2,BA.2.3.13,BA.1.17,BA.2.13,BA.2.4,BA.2.65,BA.2.3,BA.2.56,BA.2.51,BA.1.9,BA.2.3.6,BA.2.9,BA.2.9.2,XAP,B.1,BA.1.12,BA.1.1.7,BA.1.1.11,BA.1.5,BA.1.1.1,B.1.91,B.1.8,BA.2.12.1,BA.2.44,BA.2.12,BE.1.1,BA.5.1.5,BN.2,BA.5.2.54,BF.32,BA.5.1.23,BA.2.75.4,BE.1.2,XAJ,BA.4.1,BA.5.1.33,BF.7.1,BA.5.2.20,BA.5.9,BN.1.3.8,EN.1,BF.5,CT.1,DS.3,BF.8,BF.18,BA.5.2.8,CH.1.1.3,CH.1.1,BQ.1.1.6,BQ.1.1.45,BQ.1.1.31,BQ.1.1.3,B.1.383,BA.2.3.20,BN.1.10,BN.1,BM.1.1.3,BL.1,BA.5.2.52,BF.16,BA.5.1.11,BF.15,BA.4.6.1,BA.2.75.5,CP.1,BA.5.2.6,BA.2.76,BA.5.1.16,BE.1.1.2,BA.5.5,BA.5.2.2,BA.4.1.5,BA.4.8,BA.4.1.2,XQ,BA.1.18,BA.2.3.11,B.1.163,BA.5.1.17,BA.5.1.12,BF.12,BF.31,XN,BA.2.45,BA.2.6,B.1.617.2,AY.43,AY.46,AY.79,XBU,BQ.1.1.68,BQ.1.22,BQ.1.31,BF.7.4,BQ.1.5,XBB.4,XBP,BN.1.3.1,BA.2.32,BA.2.24,BA.5.2.26,BA.5.1.2,BA.2.75.3,BA.2.75,XV,CM.5,BA.2.75.2,CE.1,XBH,BA.5.2.58,BN.1.3.3,BF.7.12,BF.7.8,BF.7.10,BQ.1.14,BQ.1,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,0.11,,0.09,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,0.18,0.05,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.04,freyja-1,freyja
3,,,,,,,,,0.02,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.26,,,,0.06,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.16,0.08,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja-3,freyja
5,,,,,,,,,0.07,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.02,,0.02,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.03,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja-5,freyja
7,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.27,0.04,0.04,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja-7,freyja
9,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,0.15,,0.15,,,,,,,,0.01,,,,0.47,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja-9,freyja
12,,,,,,,,,0.07,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,0.33,,,0.02,0.04,0.04,0.04,0.04,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja-12,freyja
14,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.15,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja-14,freyja
16,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,0.43,,,0.43,,,,,,,,,,,,0.01,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja-16,freyja
18,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja-18,freyja
20,,,,,,,0.04,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,0.02,,,0.02,,,,0.02,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,0.02,freyja-20,freyja
