timepoint,BA.5.2,BF.14,BA.5.1.3,BA.5.1.16,BA.5.1,BE.1.1,BF.39,BA.5.2.1,BF.4,BF.6,BF.5,BE.1.1.2,BA.5.5,BA.5.2.20,BA.2.11,BA.5.2.2,BA.5.2.54,BA.5.2.52,BA.5,BF.7,BF.7.1,BA.5.1.28,BA.5.2.6,CP.1,XBB,BN.1.3,BA.5.9,XAS,BN.1.3.3,BF.7.12,BF.7.8,BF.7.10,BA.5.1.33,BQ.1.14,BQ.1,BQ.1.31,XBU,BA.5.3.1,BQ.1.1.25,BQ.1.22,BN.1.10,BN.1,BF.18,BF.31,BF.41,BF.11,EN.1,BQ.1.1.67,BQ.1.1.32,DT.3,BQ.1.1.9,BQ.1.1.1,BQ.1.1.74,BQ.1.1,BQ.1.1.47,BQ.1.1.66,BE.1.1.1,BA.5.1.17,BA.2,BA.2.23,BE.1,BA.5.3,BA.4.8,BA.2.9,BA.1.12,BA.1.1.7,BA.1.1.11,BA.1.1,BA.1.5,BA.1.1.1,B.1.91,B.1.8,B.1,XAP,BA.5.11,BN.1.3.8,XBD,BQ.1.24,CT.1,DS.3,BF.8,BE.1.2,BA.5.2.8,CH.1.1.3,CH.1.1,BQ.1.1.6,BQ.1.1.45,BQ.1.1.31,BQ.1.1.3,B.1.383,BA.4.1.2,BA.2.12,BA.2.13,BA.2.4,BA.2.65,BA.2.3,BA.2.56,BA.2.51,BA.1.9,BA.2.3.6,BA.2.9.2,BA.1.17.2,BA.1.17,BA.2.16,BA.2.12.1,BA.4,BA.2.45,BA.2.32,BA.2.6,BA.2.24,XN,BQ.1.1.46,BQ.1.1.68,BF.32,BF.7.4,BQ.1.5,BA.5.1.11,XBB.4,XBP,BN.1.3.1,BQ.1.1.18,BF.1,BA.4.1.5,BA.4.1,XAJ,BN.1.3.9,BQ.1.2,BQ.1.3,BF.7.22,ED.3,BF.7.6,XQ,BA.1.18,BA.2.3.11,B.1.163,BA.5.1.5,BN.2,BA.5.1.23,BA.2.75.4,BF.2,BA.1.13,B.1.617.2,AY.43,AY.46,AY.79,BA.5.2.26,BA.5.1.2,BA.2.75.3,BA.2.75,BA.2.3.20,BM.1.1.3,BL.1,BF.16,BF.15,BA.4.6.1,BA.2.75.5,BA.2.76,CM.5,BA.2.75.2,CE.1,XBH,BA.5.2.58,BA.3,BA.2.3.13,BA.2.44,BA.5.1.12,BF.12,XV,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.17,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,0.18,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.04,freyja_v1.4.3-1,freyja_v1.4.3
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.02,,,,,,,,0.21,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,0.26,0.16,0.08,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-3,freyja_v1.4.3
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.07,,,,0.03,,,,0.25,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.4.3-5,freyja_v1.4.3
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,,,,,0.01,freyja_v1.4.3-7,freyja_v1.4.3
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.47,,0.01,,0.01,,,,,,,,,,,,,,,,,0.01,,,,0.15,,0.15,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-9,freyja_v1.4.3
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.07,,,,0.33,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-12,freyja_v1.4.3
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.15,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.4.3-14,freyja_v1.4.3
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.04,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,0.43,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-16,freyja_v1.4.3
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-18,freyja_v1.4.3
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,,0.02,,,,,,,0.58,0.1,0.04,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-20,freyja_v1.4.3
23,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.64,0.15,0.04,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.4.3-23,freyja_v1.4.3
25,0.06,,0.1,,0.1,0.14,,0.02,0.02,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,0.05,,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-25,freyja_v1.4.3
27,0.05,0.06,0.12,,0.12,0.14,0.03,0.03,0.03,0.03,,,0.03,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-27,freyja_v1.4.3
29,0.09,0.08,0.1,,0.1,,0.02,0.02,0.02,0.02,,,,,0.03,,,,0.28,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.03,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-29,freyja_v1.4.3
31,0.17,0.12,0.06,,0.06,0.12,,0.02,0.02,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.06,0.04,,0.04,freyja_v1.4.3-31,freyja_v1.4.3
34,0.2,0.1,,,,0.09,,0.09,0.09,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-34,freyja_v1.4.3
36,0.27,0.1,0.07,0.07,0.07,0.06,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja_v1.4.3-36,freyja_v1.4.3
38,0.23,0.13,,,0.15,0.06,,0.09,,,,0.01,,,,,,,0.03,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.05,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.4.3-38,freyja_v1.4.3
40,0.25,0.02,0.1,,0.1,0.02,,0.03,0.03,,0.03,,0.03,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.04,0.02,,,,,0.04,,0.04,0.03,0.02,0.01,0.01,,,,,,,0.07,freyja_v1.4.3-40,freyja_v1.4.3
42,0.21,0.05,0.04,,0.04,0.04,0.02,0.02,0.02,0.02,,,,,,,,0.02,,,,,0.01,0.01,,0.02,0.03,,,,,,,,,,,,,,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.03,0.03,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,0.04,freyja_v1.4.3-42,freyja_v1.4.3
45,0.11,0.08,,,,,,0.02,0.02,,0.03,,,0.04,,,,,0.09,0.06,0.06,0.02,,,,,0.03,,,,,,0.07,,,,,,,,,,0.02,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,freyja_v1.4.3-45,freyja_v1.4.3
47,0.15,0.03,,,,,,,,,,,,,,,,,,0.04,,,,,0.12,0.08,0.08,0.06,0.05,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,freyja_v1.4.3-47,freyja_v1.4.3
49,0.15,0.05,,,,,0.03,0.03,,0.03,,,,,,,,,0.01,0.03,,0.02,,,0.07,,,0.01,,,,,,,,,,,0.02,,,,,,0.03,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,0.02,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.01,,,,,0.03,0.03,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-49,freyja_v1.4.3
