timepoint,BA.2,BA.2.12.1,BA.2.3,BA.2.56,BA.2.9,BA.4,BA.4.1.2,BA.2.3.20,BA.2.75.5,BA.4.6,BA.5,BA.5.1,BA.5.1.3,BA.5.2,BA.5.2.1,BA.5.2.27,BA.5.2.58,BA.5.2.6,BA.5.9,BE.1.1,BF.14,BF.5,BF.7,BL.1,BM.1.1.3,BN.1,BN.1.3,BR.3,CM.5,BA.5.1.22,BA.5.2.20,BA.5.2.26,BA.5.2.3,BE.1.1.2,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.4.1,BA.5.3,BE.1,BE.1.4,BF.1,AY.43,AY.46.6,B.1.617.2,BA.1.18,BA.1.20,BA.2.75.1,BA.5.1.23,BA.5.1.5,BN.2,BA.2.75.2,BA.5.1.30,BA.5.5,BF.12,BA.2.36,B.1.1.529,BA.2.13,BQ.1,BQ.1.1.23,XBF,BA.5.1.10,BF.11.3,BF.7.22,BF.7.24,BF.7.4,BF.7.5,BF.7.6,BN.1.2,BN.1.3.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,BQ.1.5,CH.1.1,XBB,XBB.1,BF.7.19,BF.7.9,BN.1.3.3,BQ.1.1.7,BQ.1.10,BF.11,BA.5.1.2,BM.1.1,XBB.2,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.16,,,0.09,0.11,,,,,,0.05,0.03,0.18,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-1,simulation,Ex20_03_realTimecourse_simul-1,2021-12-29,1499.1738621542988,2415.038197210008,64.1841955656623,59.9998
3,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,,,,0.08,,,,,,0.08,0.03,0.17,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-3,simulation,Ex20_03_realTimecourse_simul-3,2022-01-12,1501.5387753737084,2930.8292844498214,62.6157910577534,59.9999
5,0.5,,0.05,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.17,0.02,,0.01,0.03,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex20_03_realTimecourse_simul-5,2022-01-26,1489.5590408989065,3046.2112961133043,61.74296893288299,59.9998
7,0.52,,0.02,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.23,0.02,0.01,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex20_03_realTimecourse_simul-7,2022-02-09,1492.1201551683778,2658.9049755670335,67.9329833127111,60
9,0.29,,0.02,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.33,0.05,0.01,0.01,0.06,,,,,,,,,0.02,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex20_03_realTimecourse_simul-9,2022-02-23,1475.494632645554,2304.611958256358,68.12025549275992,59.9999
12,0.4,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.19,0.02,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex20_03_realTimecourse_simul-12,2022-03-16,1500.570076580945,2691.5689885994175,63.438450991539305,59.9999
14,0.64,,0.02,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex20_03_realTimecourse_simul-14,2022-03-30,1502.4687489549544,3796.5361867816,60.836705347289566,60
16,0.67,0.04,0.03,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex20_03_realTimecourse_simul-16,2022-04-13,1490.9419790656457,2491.4885104565633,63.80296291342006,60
18,0.64,0.02,0.01,,0.22,,0.08,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-18,simulation,Ex20_03_realTimecourse_simul-18,2022-04-27,1454.9638163394977,2647.8252670701477,66.71571414239375,59.9999
20,0.61,0.11,0.03,0.01,0.19,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-20,simulation,Ex20_03_realTimecourse_simul-20,2022-05-11,1501.1298866334482,2411.4042693240767,70.2404441025984,59.9999
23,0.48,0.15,,0.03,0.14,0.02,,,,,,0.07,,,0.03,,,,,0.02,,,,,,,,,,0.01,,,,,,,,,,,,0.02,0.01,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-23,simulation,Ex20_03_realTimecourse_simul-23,2022-06-01,1487.211015617162,2497.024175161057,62.6492325184764,59.9999
