timepoint,AY.4,B.1.617.2,BA.1,BA.2,BA.2.3.20,BA.2.75,BA.2.9,BA.4,BA.5,BA.5.1,BA.5.2,BF.7,BN.1.3,BQ.1,BQ.1.1,XBB,others,sample_name,tool_name
1,0.15,0.11,0.72,,,,,,,,,,,,,,0.01,vaquero_v24d9211_oldref-1,vaquero_v24d9211_oldref
3,0.13,0.12,0.45,,,,,0.26,,,,,,,,,0.04,vaquero_v24d9211_oldref-3,vaquero_v24d9211_oldref
5,,,0.35,0.62,,,,,,,,,,,,,0.03,vaquero_v24d9211_oldref-5,vaquero_v24d9211_oldref
7,,,0.37,0.61,,,,,,,,,,,,,0.01,vaquero_v24d9211_oldref-7,vaquero_v24d9211_oldref
9,,,0.57,0.4,,,,,,,,,,,,,0.03,vaquero_v24d9211_oldref-9,vaquero_v24d9211_oldref
12,,,0.24,0.38,,,0.34,,,,,,,,,,0.05,vaquero_v24d9211_oldref-12,vaquero_v24d9211_oldref
14,,,0.16,0.83,,,,,,,,,,,,,0.01,vaquero_v24d9211_oldref-14,vaquero_v24d9211_oldref
20,,,,0.99,,,,,,,,,,,,,0.01,vaquero_v24d9211_oldref-20,vaquero_v24d9211_oldref
23,,,,,,,,,0.87,,,,,0.13,,,0.0,vaquero_v24d9211_oldref-23,vaquero_v24d9211_oldref
25,,,,,,,,,0.67,0.19,,,,0.14,,,0.0,vaquero_v24d9211_oldref-25,vaquero_v24d9211_oldref
27,,,,,,,,,0.34,0.24,0.06,0.21,,0.15,,,0.0,vaquero_v24d9211_oldref-27,vaquero_v24d9211_oldref
29,,,,,,,,,0.25,0.28,0.13,0.19,,0.14,,,0.0,vaquero_v24d9211_oldref-29,vaquero_v24d9211_oldref
31,,,,,,,,,0.16,0.25,0.16,0.28,,0.14,,,0.0,vaquero_v24d9211_oldref-31,vaquero_v24d9211_oldref
34,,,,,,,,,0.25,,0.29,0.3,,0.16,,,0.0,vaquero_v24d9211_oldref-34,vaquero_v24d9211_oldref
36,,,,,,,,,0.05,0.21,0.32,0.34,,0.07,,,0.0,vaquero_v24d9211_oldref-36,vaquero_v24d9211_oldref
38,,,,,,,,,0.18,0.2,0.27,0.33,,,,,0.02,vaquero_v24d9211_oldref-38,vaquero_v24d9211_oldref
40,,,,0.14,,0.16,,,,0.24,0.3,0.16,,,,,0.01,vaquero_v24d9211_oldref-40,vaquero_v24d9211_oldref
42,,,,0.01,0.16,0.14,,,0.09,,0.25,0.19,,0.12,,0.03,0.0,vaquero_v24d9211_oldref-42,vaquero_v24d9211_oldref
45,,,,,,0.13,,,0.17,,0.32,0.24,,0.13,,,0.0,vaquero_v24d9211_oldref-45,vaquero_v24d9211_oldref
47,,,,,,0.03,,,0.23,,0.13,0.22,0.12,0.15,,0.12,0.0,vaquero_v24d9211_oldref-47,vaquero_v24d9211_oldref
49,,,,,,,,,0.12,,0.15,0.25,,0.12,0.22,0.14,0.0,vaquero_v24d9211_oldref-49,vaquero_v24d9211_oldref
51,,,,,,0.12,,,0.14,,0.05,0.25,,0.02,0.36,0.06,0.0,vaquero_v24d9211_oldref-51,vaquero_v24d9211_oldref
