timepoint,BA.5.9,BA.2.80,BA.5.1.4,BA.5.1.24,XAR,BA.2.28,CL.1.2,DJ.1.1,BN.1.3.3,BE.1,BQ.1.1.26,BQ.1.1.21,BQ.1.1.72,CU.1,BN.1.4,BR.3,BF.7.13.1,BQ.1.2,BQ.1.13,BQ.1.5,BF.11.4,BF.7.9,BQ.1.12,BA.5.2.53,BF.13,CD.1,BA.5.2.36,BA.2.38.4,BF.7.10,BF.7.24,BG.5,BF.4,BF.23,BA.5.3,BA.5.3.2,BA.4.4,BA.4.1.1,BA.2.10.3,BA.2.57,BA.2.67,BA.2.3.1,BA.2.23.1,BA.1.1.16,BA.2.9,BA.2.39,BA.5.1.31,BA.5.7,BA.5.1.7,BA.2.18,BK.1,BN.1.3.10,XBB.1.19.1,EK.4,XBB.2.3.1,BN.1.3.2,XBB.1.5.62,CN.2,XBF.9,CH.1.1.12,BQ.1.1.38,CM.5.1,BQ.1.1.60,BF.41.1,BF.14,BA.5.1.33,BF.7.6,BF.24,BE.1.4.4,BF.39,BF.5,EA.2,BU.2,BF.7.17,BN.1.3.7,XBJ.2,DL.1,CT.1,BA.5.1.28,CP.3,BF.11.3,DE.2,CM.1,BA.5.6.4,BQ.1.2.1,CB.1,BM.1.1.3,XU,BA.2.54,BA.2.3.10,BA.2.9.4,BA.1.15.1,B.1.151,BA.2,BA.2.8,BF.3.1,BA.5.2.5,BA.5.1.8,BF.29,CM.5.2,BF.7.18,BN.1.3.4,CH.1.1.9,CM.6.1,BA.5.1.26,BA.5.1.25,BF.36,BA.5.1.5,BA.1.18,BA.2.19,B.1.1.529,BQ.1.1.47,BA.1.1.14,BL.4,BA.5.1.18,BA.2.9.7,BA.2.13.1,XAL,BA.2.73,BA.2.3.6,BA.1.20,BA.1.1.11,AY.71,BA.1.1.18,BA.1.19,BA.1.1.15,BA.2.17,BA.2.62,XAB,BA.2.9.3,BA.1.10,XP,BA.2.9.2,XJ,BA.1.21,BA.1,BA.2.47,BA.1.16,BA.1.1.1,BA.2.16,BA.1.22,BA.1.6,BC.2,XBB.2.3.5,FN.1,BQ.1.27,BA.5.1.16,BQ.1.1.36,BS.1.1,BQ.1.33,BQ.1.10.2,ER.1,DM.1,BQ.1.1.10,BQ.1.3,CZ.1,BQ.1.1.12,BQ.1.1.17,BQ.1.1.18,BQ.1,BQ.1.1.3,BA.2.20,BQ.1.1.37,BQ.1.1.25,BF.7.4,BF.20,BE.1.4.1,BQ.1.1.45,BF.30,BA.5.2.26,BA.5.3.4,BA.2.60,BF.1,BA.1.17,BF.17,CC.1,BA.2.38.2,BA.5.2.7,BF.12,BA.5.1.30,BA.4.8,BA.5.1.22,BA.5.1.3,BA.4.3,BA.4.1.2,BA.2.12.1,BA.2.52,AY.4.1,AY.101,BA.2.12,BA.2.32,BA.1.17.1,AY.87,DY.1,CR.1.3,BA.1.8,AY.45,AY.99.2,BA.1.17.2,AY.46.5,BA.1.9,BA.1.4,AY.59,AY.57,BA.1.1.8,BA.5.2.32,B.1.609,B.1.1.316,BA.1.14.1,BD.1,BF.18,CW.1,BA.5.2.54,BQ.1.1,AY.43.7,BA.1.5,BA.1.1,BA.4,BA.4.1.6,BE.1.4,BE.1.1,XAJ,BA.2.45,B.1.1.341,XBB.1.5.69,XM,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,0.01,,,,,,,,,,0.02,,0.01,0.03,0.01,0.02,,,,,0.01,,,,,0.01,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,0.01,,,,0.01,,,,0.01,,,0.16,0.01,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,0.39,vlq-1,vlq
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.01,,,,,,,,0.02,,,0.02,,0.02,,,,,0.02,0.01,,,,0.03,,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,0.06,,0.01,0.02,,,,,,0.02,,,,,0.04,0.02,0.05,,,,,,,,,,0.41,vlq-3,vlq
5,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,0.07,,,0.01,,0.01,,,,,,0.02,,0.02,,,,,0.01,,,,,0.01,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,,,0.01,,,,,0.04,,,,,,,,,,,,,,,,,,,0.03,0.63,vlq-5,vlq
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.04,,,,0.03,,,,,,0.11,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.55,vlq-7,vlq
9,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,,,,0.09,,,,,0.01,0.01,,0.04,0.05,,0.03,0.02,0.03,,,,,0.01,,,,,0.02,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,vlq-9,vlq
12,,0.01,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,,0.01,,,,,,,,,0.11,0.03,0.01,0.05,0.04,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,vlq-12,vlq
14,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,0.32,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,vlq-14,vlq
16,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01,,,0.13,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.02,,,0.57,vlq-16,vlq
18,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.03,,,,,,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,0.63,vlq-18,vlq
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.02,,,0.01,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,vlq-20,vlq
