timepoint,BA.2.72,BA.2.51,BA.2.4,BA.2.29,BA.2.65,BA.2.24,BA.2.64,BA.2.8,BA.2.62,BA.2.40,BA.2.26,BA.2,BA.2.69,BA.2.25,BA.2.6,BA.2.9,BA.2.32,BA.2.40.1,BA.2.45,BA.2.9.6,BA.2.13,BA.2.56,BA.1.19,BA.1.21,BA.1.9,BA.1.13,BA.1.1,BA.1.5,BA.1.6,BA.1.18,BA.1.4,BA.1.1.1,BA.1.13.1,BC.1,BA.1.7,BA.1.12,AY.57,BA.2.3.1,BA.2.3.14,BA.2.3.11,XG,BA.1,BA.5,BF.14,CM.8,BA.2.3.20,CM.5,BA.5.9,BE.1,BN.1.7,BN.1.10,BN.1.5,BN.1,BA.4.8,BN.1.3,BF.5.5,BF.5,BL.1,BA.2.75.1,BN.5,BA.2.75.6,BA.2.75.5,BA.2.75,BA.5.3.1,BE.3,BA.2.19,XAH,BA.2.12.1,BA.2.23,BA.4,BF.1,BF.12,BA.5.1.15,BA.5.1.33,BA.5.1.17,BA.5.1,BA.5.1.34,BA.5.1.3,BA.5.1.35,BA.5.1.23,BA.4.1.4,BA.4.1,BA.4.1.5,BA.5.2.1,BF.18,BF.6,BF.4,BF.39,BA.5.2,B.6.6,B.1.1.529,BE.1.1,BA.5.1.5,BF.38,BF.8,BA.5.1.24,BA.5.1.22,BA.5.3.4,BA.5.3,BF.19,BF.2,BF.7.21,BF.7,BF.7.1,BF.7.23,XE,XBU,BE.1.1.1,BE.1.1.2,BA.5.1.8,BA.5.1.6,BA.5.1.26,BA.5.1.20,BA.5.1.37,BA.5.1.1,BA.5.5,XBD,BA.5.11,BF.23,BF.7.7,BF.7.24,BF.7.10,BF.31,BF.26,BF.32,XBL,XBL.2,BA.2.75.10,BA.2.75.7,BQ.1.17,BQ.1.33,BQ.2,BQ.1,BQ.1.7,BQ.1.14,BQ.1.31,BQ.1.1,BQ.1.1.70,BQ.1.1.32,DT.3,BQ.1.1.2,BQ.1.1.1,BQ.1.1.45,BQ.1.1.74,BQ.1.1.53,BQ.1.1.47,BQ.1.1.66,BQ.1.1.31,BQ.1.1.67,BQ.1.1.9,BQ.1.1.19,BF.11.4,BF.11,XBB.2,XBB,XBB.1,XBB.1.3,XBB.2.7,BA.2.16,XAU,XQ,XN,BA.2.9.5,BA.2.9.3,BA.2.9.2,BA.2.30,BA.2.27,BA.2.5,XM,XAP,BF.41,BF.40,BA.5.1.16,BA.5.1.12,XAM,BF.7.12,BF.7.8,BF.7.4,BA.1.1.15,BA.1.8,BA.1.1.11,BA.1.1.7,BA.1.1.10,BA.1.1.3,XAS,BA.5.1.28,BA.5.1.11,BA.5.1.10,BA.5.5.1,BA.4.1.2,B.1.617.2,BA.1.17.2,BA.1.3,BA.1.14,BA.1.14.2,AY.43.3,AY.43.8,BA.1.1.12,BA.1.1.8,BA.1.1.9,BA.1.1.2,AY.43,B.1.205,XBT,BA.5.1.30,CA.1,BF.17,CM.2,CM.9,BA.5.2.20,BA.5.2.8,BF.7.27,BF.7.16,BF.7.5,BA.2.3,BN.1.2.3,BQ.1.20,BQ.1.24,BQ.1.1.24,BQ.1.1.52,EA.1,BQ.1.1.64,BQ.1.1.40,BQ.1.23,BQ.1.1.17,BQ.1.1.27,BF.11.5,BA.5.1.21,BT.2,BA.2.12,XAJ,BF.3,XAG,BA.2.10,BA.2.34,BA.2.10.2,BA.2.28,BA.2.31,BA.2.52,BA.2.7,BA.2.3.2,BA.2.3.6,BA.2.3.9,BA.2.3.12,BA.1.17,BD.1,B.1.162,XU,BQ.1.1.5,BN.1.3.4,BF.7.6,XBB.1.28.1,FW.2,FW.1,XBB.1.28,XBB.1.4,XBB.2.8,XBB.1.38,BN.1.3.3,BF.7.3,BF.7.18,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,0.08,,0.08,0.08,0.08,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.07,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.07,,,,,,,,,,,,,,,,0.05,freyja-1,freyja
3,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,0.04,0.04,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,0.02,,,0.13,,,,,,0.16,0.06,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja-3,freyja
5,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja-5,freyja
7,,,,,,,,,,,,,,,,0.03,,,,0.03,,,,,0.03,0.03,0.03,0.03,,0.03,,,0.03,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,0.03,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja-7,freyja
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.04,0.02,,,,,,,,,,,,,,0.0,freyja-9,freyja
12,,,0.06,0.06,,0.06,,,,,,,,,,0.08,,,,,,,,,,0.04,0.04,,0.04,0.04,,0.04,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,0.08,0.06,0.06,0.06,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,freyja-12,freyja
14,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.08,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja-14,freyja
16,,,0.03,0.03,,0.03,,,,,,0.03,,,0.03,0.03,,,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,0.01,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.03,0.03,,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,0.02,freyja-16,freyja
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja-18,freyja
20,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja-20,freyja
