timepoint,BA.2.16,BA.2.9.6,BA.2.9.5,BA.2.9,BA.1.1.15,BA.1.5,BA.1.18,BA.1.12,BA.1.1,BA.1.13.1,BA.1.8,BA.1.1.11,BA.1.1.7,BA.1.1.10,BA.1.9,BA.1.1.3,BA.1,BA.1.13,XAP,BC.1,BA.1.1.1,B.1.1.529,XN,BA.2.23,B.1.617.2,BA.1.19,BA.1.17,BA.1.4,BA.1.6,BD.1,BA.1.17.2,AY.43,XE,BA.2.87,BA.2.9.2,BA.5.2,BF.14,BA.5,BA.5.5,BE.1.1,BF.12,BF.5,BA.5.2.8,BA.5.3.1,BF.6,BF.18,BF.39,BA.5.2.1,BF.4,BA.4.8,BE.1.1.2,CC.1,BA.5.3,BF.7.27,BF.7,BF.7.18,BF.7.6,BF.7.7,BF.7.1,XAR,BE.1.1.1,BA.5.1.17,BA.5.1.8,BA.5.1.23,BA.5.1.35,BA.5.1.6,BA.5.1.1,BA.5.1.34,BA.5.1.14,BA.5.1.26,BA.5.1.3,BA.5.1.20,BA.5.1,BA.5.1.37,XBD,BA.5.11,BF.7.2,BF.23,BF.8,BF.7.23,BF.7.10,BF.7.24,BE.1,BA.1.14,BA.2.65,BA.2.26,BA.2,BA.2.56,BA.2.4,BA.2.24,BA.2.29,BA.2.72,BA.2.62,BA.2.40,BA.2.64,BA.2.32,BA.2.8,BA.2.25,BA.2.81,BA.2.51,BA.2.13,BA.2.45,BA.2.9.4,BA.2.40.1,BA.2.69,BA.2.6,BA.1.21,BA.1.7,BA.2.3.11,BA.2.3.14,BA.2.3.1,XG,BF.38,BA.5.1.5,BA.5.1.22,BA.5.1.24,XAZ,BA.2.75,BF.2,BF.7.21,XAU,XQ,XAS,XAJ,XAH,BA.5.1.16,BF.3,BF.41,BF.26,CM.8,CM.5,BA.2.3.20,BA.5.9,BN.1.10,BN.1.7,BN.1.5,BN.1,BA.5.1.2,BA.5.1.30,BA.5.1.12,XAV,BA.5.3.3,BA.5.1.9,BN.1.3,BF.5.5,BA.2.75.5,BA.2.75.6,BN.5,BE.1.2,BA.2.12,BA.4,BA.5.1.33,BQ.2,BF.38.1,BN.1.3.3,BF.7.3,BF.7.8,BF.7.12,BA.2.10.2,BA.2.10,XAT,BA.4.1,BA.4.1.4,BA.2.3.2,BF.17,BA.2.12.1,BF.1,BA.4.1.5,BA.5.1.15,XBT,BY.1.1,BA.5.1.11,CM.9,CM.2,BF.7.4,BA.2.75.10,BA.2.75.7,BQ.1.1.5,BN.1.3.4,XBW,XBB.1.29,XCG,BF.31,BF.11,BF.11.4,XBB.1.3,XAM,BF.19,BF.32,XBL,XBL.2,BQ.1.17,BQ.1.33,BQ.1.31,BQ.1.14,BQ.1.7,BQ.1,DT.3,BQ.1.1,BQ.1.1.46,BQ.1.1.70,BQ.1.1.32,BQ.1.1.1,BQ.1.1.66,BQ.1.1.31,BQ.1.1.2,BQ.1.1.45,BQ.1.1.53,BQ.1.1.44,BQ.1.1.47,BQ.1.1.67,BQ.1.1.74,BQ.1.1.9,BQ.1.1.19,BA.2.52,BA.2.28,BA.2.31,BA.2.3,BA.2.27,BA.2.34,BA.2.7,BA.2.3.9,BA.2.3.12,BA.2.3.6,BA.1.1.12,BA.1.14.1,BA.1.1.6,B.1.162,XU,BA.5.1.28,BA.5.1.10,BA.5.5.1,BA.4.1.2,B.1.529,XBS,BF.7.5,BF.7.16,BQ.1.20,BQ.1.9,BQ.1.24,BF.11.5,BQ.1.1.40,BQ.1.23,BQ.1.1.24,BQ.1.1.27,EA.1,BQ.1.1.64,BQ.1.1.77,BQ.1.1.17,BQ.1.1.52,BT.2,BA.5.1.21,BF.40,BA.1.14.2,BA.1.3,AY.43.3,AY.43.8,BA.1.1.8,BA.1.1.9,BA.1.1.2,BA.2.9.3,BA.2.61,BA.2.30,BA.2.5,XM,others,sample_name,tool_name
1,,,,,,,0.08,,0.08,,,,,,,,0.08,,,,,,,,0.17,0.08,0.08,0.08,0.08,0.07,0.07,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.5.3-1,freyja_v1.5.3
3,,,,,0.02,0.04,,,0.02,,,0.02,0.02,,,,0.04,0.04,,,,,,,0.16,,,,0.04,,0.06,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.03,0.03,0.02,0.02,0.02,,,,,,0.07,freyja_v1.5.3-3,freyja_v1.5.3
5,,0.02,,0.02,,0.02,0.02,0.02,0.02,0.02,,,,,0.02,,0.02,0.02,,0.02,0.02,0.02,,,,0.02,,0.02,0.02,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-5,freyja_v1.5.3
7,0.51,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-7,freyja_v1.5.3
9,,,,,,,,0.04,0.04,,,0.04,0.04,,0.04,,0.04,,,,0.04,0.03,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-9,freyja_v1.5.3
12,,,0.08,0.08,,,0.03,0.03,0.03,,,,,,,,0.03,0.03,,,0.03,,,0.02,,,,,0.03,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.04,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.04,0.04,0.04,0.02,0.06,freyja_v1.5.3-12,freyja_v1.5.3
14,0.32,,0.04,0.04,,,,,0.07,,,,,,,,,,,,0.07,,,0.09,,,,,,,,,,0.32,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-14,freyja_v1.5.3
16,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,0.03,,,,0.03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,0.01,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,freyja_v1.5.3-16,freyja_v1.5.3
18,0.86,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-18,freyja_v1.5.3
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-20,freyja_v1.5.3
