timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,0.08,,0.09,,,0.83,virpool-1,virpool
3,,0.04,,,,0.96,virpool-3,virpool
5,0.48,,,,,0.52,virpool-5,virpool
7,0.03,0.08,,,,0.89,virpool-7,virpool
9,,0.22,0.09,,,0.7,virpool-9,virpool
12,0.26,,,,,0.74,virpool-12,virpool
14,,,,,,1.0,virpool-14,virpool
16,0.02,,,,0.09,0.89,virpool-16,virpool
18,,,0.51,,,0.49,virpool-18,virpool
20,,0.15,,0.07,,0.79,virpool-20,virpool
23,0.2,,,0.16,0.35,0.29,virpool-23,virpool
25,0.32,,,,,0.68,virpool-25,virpool
27,,,0.59,,,0.41,virpool-27,virpool
29,0.02,,,,,0.98,virpool-29,virpool
31,0.04,,0.05,,0.3,0.62,virpool-31,virpool
34,,,,,,1.0,virpool-34,virpool
36,,,,,,1.0,virpool-36,virpool
38,,,,,,1.0,virpool-38,virpool
40,0.06,,,,0.04,0.9,virpool-40,virpool
42,0.14,,,,,0.86,virpool-42,virpool
45,,,,,,1.0,virpool-45,virpool
47,0.01,,,,,0.99,virpool-47,virpool
49,,,0.41,,,0.59,virpool-49,virpool
51,,,,,,1.0,virpool-51,virpool
