timepoint,BA.1.18,BF.5,BA.5.9,XAG,BA.5.1.4,XAR,BA.2.28,BN.1.3.5,BE.10,BF.7.17,DJ.1.1,BW.1.1.1,XBJ.2,XBN,CM.10,DL.1,CL.1.1,BQ.1.1.47,BE.1,BA.5.1.28,DM.1,CP.2,BM.5,CV.1,DE.2,BR.1.2,EQ.1,BR.3,DC.1,B.1.36.22,BE.6,BA.5.2.32,CB.1,B.1.1.431,BA.2.9.7,BG.5,BF.23,BA.5.3,BA.2.60,BA.2.73,BA.2.71,BA.5.2.28,BA.2.40.1,BA.1.17,BA.2.3.14,BA.2.53,BA.1.1.18,BA.1.15.1,BA.2.3.12,BA.2.44,XAB,BA.2.72,BA.1.10,BA.2.3.9,BA.2.23.1,BA.2.15,XJ,BA.2.9,BA.2.47,BA.2.8,BA.2.25,BA.5.1.31,BA.5.1.8,BA.5.7,BA.5.1.7,B.1.525,BK.1,P.3,XBB.1.24,XBB.2.3.5,XBB.1.28,XBB.3.4,XBB.2.3.6,BQ.1.2.2,XBB.1.33,XBB.1.19.1,XBB.1.5.23,BQ.1.25.1,CH.1.1.26,XBS,BQ.1.1.49,CH.1.1.6,CM.6.1,BF.41.1,BF.14,BA.5.1.26,BA.5.1.11,BA.5.2.19,BA.5.1.1,BQ.1.26.2,BR.5,BN.1.3.7,XBB.2.2,CT.1,BQ.1.1.26,BQ.1.1.15,BA.1.1.14,CU.1,BA.5.2.39,BE.11,BA.5.6.4,BQ.1.16,BA.2.38.4,BA.5.1.18,BV.1,XZ,BA.1.20,BA.2.57,BA.1.19,BA.1.1.15,BA.1.17.2,BA.1.17.1,XP,BA.1.9,BA.1.4,BA.1.21,BA.1.1.6,BA.1.16,BA.1.1.1,BA.2,BA.1.13,BA.2.10,BA.1.6,XBB.2.3.8,CH.1.1.7,BA.2.40,BE.1.3,BA.2.19,BU.2,BN.1.3.3,CP.3,BS.1,BN.1.2.1,BQ.1.12,BL.2,BF.22,BA.5.2.59,BF.7.5,BA.2.75.10,BA.5.2.26,BF.4,BA.4.3,BA.4.1.1,BA.2.3.6,BA.4.1.2,BA.2.3.10,BA.2.9.4,BA.2.39,BA.2.16,BF.18,B.1.1.286,B.1.1.420,FD.4,XBT,BQ.1.1.30,BQ.1.1.38,CH.1.1.9,BF.26,BF.24,BA.5.1.16,BE.1.4.1,BA.5.1.5,B.1.258.7,BQ.1.1.21,BF.11.3,BA.5.2.53,BA.5.6.1,BA.2.20,BA.1.15.3,BA.2.9.2,XG,BA.1,BA.1.22,BN.1.3.10,FY.3,FY.2,FR.1,FN.1,BY.1.1,CN.2,CM.8.1.4,B.1.44,BA.5.1.25,AY.5.3,BA.5.3.4,AY.124.1,AY.43.3,BA.1.1.17,BA.1.21.1,B.1.1.165,BD.1,BA.5.1.15,BA.5.1.30,XAZ,CM.4,BF.7.9,BQ.1.2.1,BM.4.1.1,BF.7.24,BF.7.1,BF.2,BA.2.9.1,BF.17,B.1.1.222,EL.1,FE.1.2,BF.7.14.5,CM.5.1,BA.5.2.34,BF.38,BF.7.6,BA.5.2.4,BF.12,BE.1.4.4,BA.5.2.20,BE.1.4,BM.2.1,BQ.1.33,CM.7,BF.11.2,BQ.1.15,BQ.1,BA.5.1.3,BF.1,BF.3.1,BV.2,BF.29,GA.2,BQ.1.27,BA.5.5.1,B.1.1.294,FA.2,BF.16,BA.2.30,Q.6,BA.2.62,BA.1.5,DT.2,EJ.2,BQ.1.1.23,BF.7.13.1,BQ.1.2,BQ.1.1.4,BA.5.2.52,B.1.280,EV.1,BA.5.2.45,B.1.491,BF.21,BF.11.4,CP.8,BA.4.6.4,XAJ,BR.2.1,EF.1.1,ER.1,XBB,BQ.1.1.18,BQ.1.1.64,BF.7.18,BF.7.4,B.1.1.44,XBB.2.5,CN.1,XBF.9,BF.13,BM.3,XBC.1.2.1,XBB.1.11,CK.1.2,XBB.1.5.30,B.1.1.410,CC.1,BA.5.2.23,BE.12,C.35,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,0.03,0.03,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.32,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,vlq-1,vlq
3,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.03,,0.04,0.02,0.03,0.03,0.01,0.01,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,0.01,,,0.05,0.04,0.01,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq-3,vlq
5,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,0.02,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.02,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,0.49,vlq-5,vlq
7,0.02,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.02,0.05,,0.02,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,0.03,,,0.01,0.03,,,0.02,,,0.02,,0.02,0.01,,,0.01,0.01,,,,,0.07,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,vlq-7,vlq
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.05,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,0.01,,0.01,,,,,,0.01,,0.02,0.01,,0.02,0.02,0.01,,,,,0.19,0.06,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,vlq-9,vlq
12,0.01,,,0.01,0.01,,,,,,,0.01,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.05,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.01,,,,0.01,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,0.01,,,,,0.02,,,,,,0.06,,0.02,,,0.01,,,,,0.02,0.18,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,vlq-12,vlq
14,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,0.02,,,,,,,,,0.02,,0.01,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.02,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.02,,,,0.05,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,vlq-14,vlq
16,,,0.01,,,,,,,,0.02,,,,,,,,,,,,0.02,,,,,,,,,,0.01,,,,0.01,,,,0.02,,0.02,,0.02,,,,,0.13,,,,0.02,0.02,,0.01,0.04,,,0.02,,,0.01,0.01,,0.01,,0.01,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,vlq-16,vlq
18,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,,0.04,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,vlq-18,vlq
20,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.01,,,,,,,,,,0.03,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,0.01,0.03,,,0.02,,,,,0.02,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,vlq-20,vlq
