timepoint,BA.5.9,B.1.618,XAG,BA.5.1.4,BA.2.19,BQ.1.1.62,BS.1.1,BM.2.1,BF.7.17,BQ.1.33,CM.7,CM.8.1,XBJ.2,DL.1,BQ.1.10.3,BQ.1.1.47,DM.1,BQ.1.1.21,BM.5,CV.1,BM.2,BA.5.2.54,BQ.1.15,BE.11,BQ.1.14,BA.5.6.4,XBD,BF.7.9,B.1.36.22,BF.13,BA.5.2.32,BF.7.10,BT.2,BF.7.22,BA.5.1.18,BG.5,BF.23,BA.5.2.1,BA.1.17.2,BA.1.20,BF.1,BA.2.53,BA.2.9.4,BA.1.1.18,BA.1.1.4,BA.2.8,BA.2.9,BZ.1,BA.5.1.8,BF.14,B.1.1.44,BK.1,P.3,B.1.1,XBB.1.28,XBB.1.36,BQ.1.2.2,GA.2,FN.1,CM.5.2,XCA,BQ.1.27,BN.1.3.10,XBS,ER.1.1,BQ.1.1.38,XBM,BF.41.1,BF.26,BF.24,BA.5.1.11,BA.5.2.19,BF.12,BA.5.1.1,BJ.1,BA.2.28,BQ.1.9,BE.10,DJ.1.1,BN.1.3.3,BF.11.3,BF.7.13.1,BA.5.2.39,EE.2,BQ.1.2.1,BQ.1.12,BA.5.2.53,B.1.1.431,BF.7.24,BF.7.1,BA.2.9.7,XZ,BA.5.3,BD.1,BA.4.3,BA.5.2.28,BA.1.10,BF.7.5,BF.15,FT.1,EK.4,BY.1.1,CN.2,BQ.1.1.64,XBF.9,CH.1.1.7,CH.1.1.14,BF.7.6,B.1.1.529,BQ.1.26.2,BA.5.1.28,BA.5.10.1,BF.11.4,BA.5.11,BF.11.5,BA.2.75.4,BA.5.3.1,BA.2.10.3,BA.1.17,BA.1.19,BA.1.1,AY.59,BA.1.15,B.1.1.302,BA.5.5.3,XBB.1.5.54,FK.1.2,BF.10,BN.1.4.3,BE.4.1.1,EQ.1,BR.3,BN.1,BA.4.6.4,BA.5.1.29,BA.5.6.1,XAL,BA.2.20,BA.1,BA.1.18,BA.1.16,BA.1.1.15,BA.1.15.3,BA.2.3.9,BA.2.3.5,BA.1.1.17,XV,BA.2.2.1,BA.1.1.6,BA.1.1.13,BA.1.1.1,BA.1.15.1,BA.1.1.14,BA.1.16.1,P.6,B.1.219,XBB.2.3.5,CH.1.1.22,XBK.1,XBF.7,BN.1.10,CM.6.1,BA.5.1.33,XM,BA.1.1.2,XAK,BA.2.76,BQ.1.30,FA.2,EF.1.1,BQ.1.1.20,BQ.1.1.18,BQ.1.1,BA.5.2.29,DV.5,EV.1,XBB.1.5.40,DN.1.1.2,DT.2,BQ.1.1.65,BQ.1.11.1,BF.7.19,BF.7.4,BA.5.1.38,BE.1,BA.5.1.23,BA.2.12.1,BA.2.16,XL,BA.5.1.7,C.17,EG.2,XBB.1.16,EU.1.1,EP.2,BA.5.1.26,AY.74,XBB,CU.1,BA.2.38.4,BA.2.60,BA.2.52,BA.2.15,XJ,BA.1.4,BA.1.1.3,B.1.466,BA.2.38.2,BA.2.40,BF.21,BA.4.1.5,CL.1.2,XBB.2.2,BA.4.6.2,BA.2.3.14,BA.2.44,BA.2.68,XH,XE,BA.1.6,BC.2,L.2,BQ.1.7,BL.4,BF.22,BA.5.8,BF.4,BA.4.1.2,BA.2.72,BF.18,BF.29,XBB.1.5.50,B.1.1.147,BF.36,BA.2.80,XBN,BE.1.2,BE.1.1.2,AY.85,AY.114,BA.5.2.59,AY.34.2,B.1.617.2,AY.121.1,BA.1.1.16,BA.1.21,BA.1.22,BG.4,BE.1.4.1,BG.6,BA.2.18,BA.2.9.2,FL.6,BE.1.4,BA.2.62,B.1.1.82,P.2,EK.2.1,EK.3,B.1.160.21,CH.1,BA.5.2.37,BA.2.3.16,B.1.568,BE.1.1,BE.1.2.1,BQ.1.3.2,BA.5.2.48,DS.3,BN.2.1,AY.43.9,XF,BA.2.7,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,,,0.01,,,,,,,,,,,,,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.01,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,0.04,,,,,,,,,,,,,,,,,,0.03,0.08,0.02,,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.03,0.02,,,,,,,,,,,,,,,,,,0.02,0.03,,0.01,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,vlq_vd04ad36-1,vlq_vd04ad36
12,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,0.02,,,,,,0.03,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,vlq_vd04ad36-12,vlq_vd04ad36
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.03,,,,,0.01,,,,,,,,,,,,,,,0.04,0.01,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.02,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.03,,,,,,,0.01,0.01,,0.02,0.01,0.01,,0.01,,,,,,,0.05,,,,0.44,vlq_vd04ad36-14,vlq_vd04ad36
16,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,0.02,,,,,,,,,0.03,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.03,0.57,vlq_vd04ad36-16,vlq_vd04ad36
18,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.04,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,0.01,,,,0.02,,,,0.01,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.03,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.05,,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,vlq_vd04ad36-18,vlq_vd04ad36
20,,,0.01,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.03,,,0.01,0.13,,,,,,,,,,0.01,,,,,,,,,,,,0.52,vlq_vd04ad36-20,vlq_vd04ad36
23,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.02,,,0.01,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.01,,,,,,,,,,0.04,,,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.6,vlq_vd04ad36-23,vlq_vd04ad36
25,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,0.02,,,,,,,0.02,,,,0.01,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,0.02,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.09,0.01,,,0.01,,,,,,,,,,,,,,,,0.61,vlq_vd04ad36-25,vlq_vd04ad36
27,,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,,,,,,0.03,,,,,,,0.05,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.43,vlq_vd04ad36-27,vlq_vd04ad36
29,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,0.11,,0.01,,,,,0.01,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,,,,,,,,,,0.01,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.54,vlq_vd04ad36-29,vlq_vd04ad36
