timepoint,BA.5.11,BA.5.9,XBS,BN.1.3.3,BA.2.37,BA.2.73,BA.2.76,DS.3,CB.1,BA.2.79,BF.7.9,BF.14,BA.5.10,XAJ,BF.3,BF.4,BF.41,BF.18,BA.5.2.1,CH.1.1.27,BF.7,BF.7.15,BF.7.12,BF.7.1,BF.7.7,BF.7.24,BF.7.21,B.1.1.487,BA.5.2.20,BQ.1,BQ.1.7,BQ.1.15,BQ.1.5,BA.2.3.2,BA.5.3,BE.11,BA.5.3.1,BA.5.3.3,BA.2.3,BQ.1.1.55,BQ.1.1.45,BQ.1.1.37,BQ.1.1.11,BQ.1.1.31,BQ.1.1.56,BQ.1.1,BQ.1.23,BQ.1.1.34,XW,BA.5.2,BE.1.1,BA.5,BA.5.3.2,BA.5.1,BA.5.1.8,BA.5.1.28,BA.5.1.3,BA.5.1.24,BA.5.1.22,BE.3,BF.1,BF.12,BF.38,BE.1,BE.1.2,B.1.1.529,BA.2.15,BA.1.1,XN,BA.2.23,BA.1.9,BA.1.5,BA.1.6,B.1.617.2,BA.2.3.10,BA.2,BA.1.12,BA.1.1.2,BA.1.1.9,BA.1.1.7,BA.1.1.11,BA.1.1.13,BA.1.13.1,BA.1.13,BA.1.18,BA.1.1.12,BA.1.4,XAF,B.6.6,BA.2.16,BA.1.1.1,XF,BA.2.44,BA.2.69,BA.2.9.6,BA.2.9.5,BA.2.45,BA.2.56,BA.2.9,BA.2.52,BA.2.29,BA.2.12,BA.2.34,BQ.1.1.25,BR.4,BA.5.5,BF.7.5,BF.11,BF.7.16,BF.7.20,BQ.1.2.1,XAS,BQ.1.3.2,BQ.1.31,BQ.1.33,BQ.1.3,BQ.1.2,BF.7.27,DT.3,BQ.1.1.53,BQ.1.1.66,BQ.1.1.47,BQ.1.1.67,BQ.1.1.74,BQ.1.1.9,BQ.1.1.16,BQ.1.1.69,BQ.1.1.32,BA.2.19,BA.2.7,BA.2.12.1,BA.2.65,BC.2,XQ,BA.4,BA.5.5.3,BA.5.1.6,BA.5.1.17,BA.5.1.12,BF.6,BF.31,BF.39,BA.5.2.2,BA.5.2.4,BA.5.2.9,BA.5.2.26,BA.4.8,BE.1.1.2,BA.5.1.23,BA.2.9.2,BA.2.32,BA.2.24,BA.2.1,BA.2.27,BA.2.49,BA.2.20,BA.2.11,BA.2.30,BA.4.1.2,BF.19,XAV,BA.5.1.21,BA.2.75,BA.2.75.10,BF.5,CM.10,BF.26,CM.1,CM.9,BA.2.3.20,BA.5.2.45,BA.2.23.1,BF.34,BM.1.1.3,BA.5.2.57,DL.1,BA.2.75.5,BN.2,BN.4,BN.5,XBJ.2,XBJ,BN.1.3.5,BN.1.3,BF.5.5,BA.5.1.34,BF.2,BF.8,BF.36,BN.1.3.4,BF.11.3,XBB.1.29,BF.7.4,BQ.1.1.14,BQ.1.27,BQ.1.1.64,DT.1,BQ.1.1.1,DT.2,CW.1,BQ.1.1.38,CZ.1,CZ.2,EW.2,BQ.1.1.6,CH.1,BA.5.1.35,BA.1.17.2,AY.43,XP,BA.1.14.1,BA.1.14,BA.1.19,BA.1.1.10,BA.1.1.15,BF.7.13,BA.5.1.16,XBN,BQ.1.17,BA.5.2.28,BA.5.2.22,BA.5.2.55,BA.5.2.3,BA.5.2.21,BA.5.2.44,XAA,BA.2.53,BF.24,XAD,BA.1,BE.1.2.1,BA.1.3,AY.114,BA.1.17,XE,BA.1.1.18,BA.2.9.3,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.12,,0.18,,,,,,0.02,0.02,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,0.12,,,0.02,,,,,,,,,,,,,,,,,0.12,0.07,0.07,0.03,0.02,,0.02,freyja-1,freyja
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.1,0.03,,,,0.03,,0.16,,,,,0.03,0.03,0.03,,0.03,0.03,0.03,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,0.05,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja-3,freyja
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.18,0.06,0.06,0.06,0.06,0.06,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja-5,freyja
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,0.02,0.02,,,,,,0.53,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,freyja-7,freyja
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.06,0.05,0.05,,,,,,,,0.08,0.08,,,0.05,,0.08,,,,0.26,0.08,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,freyja-9,freyja
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,0.7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja-12,freyja
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.13,,,,,,,,0.04,freyja-14,freyja
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.19,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,freyja-16,freyja
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.05,,,,,,,,,,,0.05,freyja-18,freyja
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,0.04,,,,0.04,0.05,0.05,0.04,0.04,0.05,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.04,,,,,,,,,,,,,,,,,,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja-20,freyja
