timepoint,XBD,BA.2.23.1,BA.2.23,BF.14,BA.2.76,BA.5.3.2,BA.5.3.1,BA.5.3,BA.5,BE.11,BA.5.3.3,BE.1.2,CT.1,BA.5.9,BA.5.2.57,DL.1,CV.2,BM.1.1.3,BN.2,BN.4,BA.2.75.5,BN.5,BE.1,BF.5,BF.5.5,BA.5.1.17,BA.5.1.12,BA.5.1.3,BA.5.1,BA.5.1.34,BF.30,BA.5.2.26,BF.39,BA.5.2.1,BF.12,BF.8,BF.18,BF.6,BF.41,BF.4,BF.2,BF.3,BA.5.2,BQ.1.1.25,BR.4,BF.7.5,BA.5.5,BF.11,BF.7.7,BF.7.15,BF.7.1,BF.7.20,BF.7,BF.7.16,BF.7.12,BF.7.18,BF.35,XAS,BQ.1.7,BQ.1.3,BQ.1.3.2,BQ.1.33,BQ.1.5,BQ.1.2,BQ.1,BQ.1.15,BQ.1.31,XAJ,BF.7.27,BF.7.13,CH.1,XW,BA.5.1.16,BA.5.1.23,BA.5.1.24,BA.5.1.22,XBN,BQ.1.17,BA.5.2.44,BA.5.2.55,BA.5.2.22,BA.5.2.3,BA.5.2.28,BA.5.2.21,BA.2.75,BA.2.16,BA.1.1.11,BA.1.1,BA.1.1.1,BA.1.1.12,BA.1.1.7,B.1.1.529,BA.1,BA.1.5,BA.1.9,BA.1.13,B.1.219,B.11,BA.2.56,BA.2.29,BA.2.9.6,BA.2.13,BA.2.9.5,BA.2.45,BA.2.69,BA.2.9,BA.2.6,BA.2.51,BA.2.52,BA.2.34,BA.2.12,BA.2.62,XF,BN.1.3.4,BF.11.3,BF.31,BF.7.17,XBB.1.29,BF.7.4,BA.2.10,BA.2.10.1,XAR,XR,BA.5.1.35,BA.5.1.28,BA.5.2.2,BA.5.2.9,BA.5.2.4,BA.2.12.1,BE.1.1,BA.4.8,CC.1,BA.1.13.1,BA.1.4,BA.1.18,BA.1.12,BA.1.1.13,BA.1.1.9,BA.1.1.2,XAF,BA.2.87,BA.2.15,BA.1.6,XN,B.1.617.2,BA.2.3,BA.2.3.2,BA.2.3.10,BA.2.3.19,XT,XAA,BA.4.1.2,BA.2.53,BA.2.79,DH.1,XAV,BA.2.11,BF.19,BF.27,BF.38,CB.1,BA.5.1.21,BA.2,BA.1.17.2,BA.1.3,BA.1.14,AY.114,BA.1.17,XE,BA.1.1.18,BA.1.1.15,BC.2,AY.43,XQ,BA.4,BA.5.1.6,XAZ,BE.3,BF.38.1,BA.2.9.3,BA.1.19,BE.1.2.1,BF.1,BA.5.11,BA.2.9.2,BA.2.32,BA.2.1,BA.2.24,BA.2.49,BA.2.20,BA.2.27,BA.2.65,BA.2.30,BA.2.75.10,CM.10,BA.5.2.20,BF.26,BA.2.3.20,CM.1,CM.9,BA.5.2.45,BA.5.5.3,BA.5.1.8,BF.36,BF.7.24,XBZ,XBS,BN.1.3.3,DS.3,BF.7.9,CH.1.1.27,XAT,BE.6,BE.7,BF.7.21,B.1.1.487,BF.24,XAD,BA.2.33,BA.2.18,BA.2.72,BA.1.1.10,XP,BA.1.14.1,BA.1.1.5,BA.2.19,BA.2.7,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,,0.02,,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,0.11,0.09,0.09,0.07,0.07,0.03,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-1,freyja_v1.5.3
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,0.02,0.04,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.03,,0.03,,,0.02,,,0.1,,,,0.16,,,,,,,,,,,,,,,,,,,0.08,,0.03,,,,,0.02,,0.08,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,0.05,0.03,0.02,,,0.04,freyja_v1.5.3-3,freyja_v1.5.3
5,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,0.22,0.22,0.04,0.04,0.03,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-5,freyja_v1.5.3
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,0.24,,,,,0.01,,,0.01,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.03,,0.01,,,,,,,,,,,,,,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-7,freyja_v1.5.3
9,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.08,0.08,0.08,0.08,0.08,0.05,0.04,0.04,0.04,0.04,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,freyja_v1.5.3-9,freyja_v1.5.3
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,0.02,0.02,,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja_v1.5.3-12,freyja_v1.5.3
14,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.04,,,0.04,0.04,0.04,,0.04,0.04,0.04,,,,0.04,0.02,,,,,,,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.04,0.04,0.04,,,,,,,0.16,freyja_v1.5.3-14,freyja_v1.5.3
16,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.19,0.09,freyja_v1.5.3-16,freyja_v1.5.3
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,0.01,,,,,0.15,0.08,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.5.3-18,freyja_v1.5.3
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,0.04,0.04,0.05,,0.05,0.04,0.04,0.05,,,0.04,0.04,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.04,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.5.3-20,freyja_v1.5.3
