timepoint,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.2,BA.2.3,BA.2.9,BA.2.3.20,BA.2.75.5,BA.4.6,BA.5,BA.5.1,BA.5.1.3,BA.5.2,BA.5.2.1,BA.5.2.27,BA.5.2.58,BA.5.2.6,BA.5.9,BE.1.1,BF.14,BF.5,BF.7,BL.1,BM.1.1.3,BN.1,BN.1.3,BR.3,CM.5,B.1.1.529,BA.2.12.1,BA.2.13,BA.2.56,BA.4,BA.4.1,BA.5.1.22,BA.5.1.23,BA.5.5,BE.1,BE.1.4,BF.1,BA.2.36,BA.5.3,BF.12,AY.43,AY.46.6,B.1.617.2,BA.1.18,BA.1.20,BA.5.2.20,BF.11,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,CH.1.1,XBB.1,BA.4.1.2,BA.2.75.2,BA.5.1.30,BA.5.1.5,BA.2.75.1,BE.1.1.2,BQ.1.1.23,XBF,BF.11.3,BF.7.19,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,XBB,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,XBB.2,BN.2,BA.5.2.26,BA.5.2.3,BA.5.1.2,BM.1.1,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.19,0.16,,,0.09,0.11,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,0.18,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-1,simulation,Ex21_02_realTimecourse_simul-1,2021-12-29,1503.4409591010935,4517.204479675495,40.55111527271511,60
3,0.22,0.22,,,,0.08,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.03,0.17,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-3,simulation,Ex21_02_realTimecourse_simul-3,2022-01-12,1466.2160987191921,4483.196867319802,32.752566632110494,60
5,0.11,0.17,0.02,,0.01,0.03,0.5,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex21_02_realTimecourse_simul-5,2022-01-26,1502.459485670334,4194.707611157545,39.81874728288132,59.9993
7,0.06,0.23,0.02,0.01,0.02,0.03,0.52,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex21_02_realTimecourse_simul-7,2022-02-09,1504.5795739557905,3365.522274993807,43.14951677089255,60
9,0.09,0.33,0.05,0.01,0.01,0.06,0.29,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex21_02_realTimecourse_simul-9,2022-02-23,1505.9069658562687,5225.995456642489,37.10330067217336,59.9999
12,0.02,0.19,0.02,,,,0.4,,0.33,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex21_02_realTimecourse_simul-12,2022-03-16,1507.4856368926194,3774.5132481026435,39.63816339497709,59.9999
14,,0.14,0.01,,,,0.64,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex21_02_realTimecourse_simul-14,2022-03-30,1489.8778049025182,5240.452547295714,39.260274888807146,60
16,,0.04,0.01,,,,0.67,0.03,0.21,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex21_02_realTimecourse_simul-16,2022-04-13,1504.4341036016453,4480.075560145211,42.52750560144467,60
18,,0.01,,,,,0.64,0.01,0.22,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-18,simulation,Ex21_02_realTimecourse_simul-18,2022-04-27,1498.108785071732,4387.732504255299,33.357857071196875,59.9991
20,,,,,,,0.61,0.03,0.19,,,,,,,,,,,,,,,,,,,,,,,,0.11,,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-20,simulation,Ex21_02_realTimecourse_simul-20,2022-05-11,1505.568270742066,3835.8807116057665,37.53803966157242,59.9999
