timepoint,AY.4,B.1.617.2,BA.1,BA.2,BA.2.9,BA.5,BA.5.2.1,BF.14,BF.7,BQ.1,others,sample_name,tool_name
1,,0.27,0.72,,,,,,,,0.01,vaquero_v24d9211-1,vaquero_v24d9211
3,0.15,0.14,0.66,,,,,,,,0.05,vaquero_v24d9211-3,vaquero_v24d9211
5,,,,0.78,,,,,,,0.22,vaquero_v24d9211-5,vaquero_v24d9211
7,,,0.37,0.51,0.12,,,,,,0.0,vaquero_v24d9211-7,vaquero_v24d9211
9,,,0.78,,,,,,,,0.22,vaquero_v24d9211-9,vaquero_v24d9211
16,,,,0.96,,,,,,,0.04,vaquero_v24d9211-16,vaquero_v24d9211
27,,,,,,,0.96,,,,0.04,vaquero_v24d9211-27,vaquero_v24d9211
31,,,,0.1,,0.52,0.24,0.14,,,0.0,vaquero_v24d9211-31,vaquero_v24d9211
34,,,,,,0.57,0.27,0.14,,,0.02,vaquero_v24d9211-34,vaquero_v24d9211
49,,,,0.16,,,0.26,,0.18,0.39,0.0,vaquero_v24d9211-49,vaquero_v24d9211
