timepoint,BA.5.6,BA.5.9,XAG,BA.5.1.4,B.1.1.529,BA.2.28,BQ.1.9,BM.2.1,BQ.1.1.47,BQ.1.1.21,BE.11,BN.1,B.1.36.22,B.1.227,BA.5.2.14,B.1.1.431,BA.5.1.18,BA.2.9.7,BF.23,BA.2.13.1,BA.5.3,BD.1,BA.5.3.1,BA.2.60,BA.2.3.6,BA.2.20,BA.2.12.1,BA.1.17.2,BA.1,BA.1.20,BA.1.18,C.1.2,BA.1.16,BA.1.1.15,BA.2.3.10,BA.4.1,BA.2.53,BA.2.9.4,BA.1.19,BA.1.1,B.1.351.3,BA.1.1.4,BA.2.67,BA.2.68,BA.1.8,AY.7.2,AY.39.2,XAD,BA.1.10,XP,AY.25,BA.2.8,BA.1.1.11,BA.1.21.1,BA.2.39,BA.1.5,BA.1.1.7,BA.1.1.13,BA.1.1.14,BA.1.22,BA.1.15,BC.2,AY.57,XL,C.1,BK.1,B.1.1.243,B.1.525,P.3,B.1.177.64,XBB.2.3.5,FY.4,XBB.1.28,XBB.1.25,GA.2,BY.1.1,XCA,BQ.1.27,CN.2,BQ.1.1.64,XBS,XBB.1.5.11,CR.1.3,XBC.1.2.1,CH.1.1.7,CM.6.1,XBB.1.11,BL.5,BA.5.1.25,BA.2.19,BE.1.4,BU.2,BN.1.3.5,CM.8.1,BQ.1.10.3,CT.1,DM.1,CP.3,XBB,BE.4.1.1,DE.2,CU.1,BR.3,BA.5.2.39,DC.1,BA.5.6.4,BQ.1.2.1,BA.5.2.53,BF.22,BF.7.24,BA.5.2.59,BA.5.1.29,BF.4,BA.4.3,BF.1,BA.2.21,AY.35,AY.34,BA.5.1.31,BQ.1.28,BA.5.7,BF.14,P.6,B.1.1.435,C.17,B.1.1.286,B.1.1.420,B.1.221.4,B.1.177.83,XBB.1.16,DV.4,XBB.1.5.57,EP.2,XBF.7,CH.1.1.9,BA.5.1.5,BA.5.1.26,BF.12,BF.39,XAR,BF.5,BQ.1.1.62,BQ.1.33,BQ.1.1.27,DL.1,BF.31.1,BN.1.3.3,BE.7,BA.5.1.28,CR.1,BQ.1.1.72,BM.5,BF.11.3,BQ.1.1.23,BN.1.2.1,BQ.1.3.1,BF.7.13.1,BQ.1.15,BF.16,CQ.1.1,BF.11.5,BA.5.2.57,BA.5.2.25,BM.1.1.3,BA.2.75.10,XU,BF.3.1,BF.7.4.2,B.1.1.10,B.1.1.519,BQ.1.2.2,DJ.1.3,BF.41.1,BF.26,BF.7.6,BF.24,BF.20,BE.1.4.1,BE.3,BA.2.80,BQ.1.26.2,BQ.1.14,XAW,BQ.1.8,BA.5.11,BA.5.2.1,BA.2.18,BA.5.1.3,FN.1,EW.1,BN.1.3.10,BQ.1.1.65,CH.1.1.12,ER.1.1,BQ.1.1.30,CM.5.1,BF.38,BA.5.1.1,BF.10,BF.36,BE.1.1,BW.1.1.1,BQ.1.12,BQ.1.5,BF.13,BA.5.6.1,BA.4.8,BA.4.1.1,BA.4.1.2,BA.2.10.3,XBB.2.3.6,EG.2,XBT,CC.1,BE.1.4.4,CH.1.1.25,BA.5.10.1,BM.3,B.1.1.425,BA.5.2.28,BA.1.17,BA.1.1.18,AY.41,BA.1.1.17,XJ,XV,BA.2.2.1,BA.1.1.3,BA.2.47,BA.1.6,BN.1.10,BA.5.2.34,XM,BA.4.1.5,DQ.1,BA.5.2.26,BA.5.1.23,BA.2.9,XBB.2.3.8,EV.1,BF.27,XAJ,BA.5.2.32,B.1.1.133,BA.5.2.43,B.1.1.487,AY.62,XBB.1.5.22,FK.1.2,CH.1.1.6,BQ.1.1.29,XBN,BF.7.11,FY.3,FT.1,XBB.1.5.19,ED.1,BQ.1.1.38,XBB.1.38,BA.5.2.7,B.1.640,BF.31,AT.1,CM.8.1.2,BE.6,BE.5,BQ.1.16,BA.2.30,FL.4,BA.2.9.2,BA.2.3.16,BG.6,BQ.1.1.68,BF.7,FA.2,BA.2.12.2,BA.2.65,B.1.177.33,DT.2,XBU,BA.5.2.20,BA.5.2.3,BA.5.8,AY.43.8,AY.43.4,others,sample_name,tool_name
1,,,,,0.05,,,,,,,,,,,,,0.01,,,,,,,,,,0.14,,,0.14,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,vlq_vd04ad36-1,vlq_vd04ad36
12,,,0.02,,0.03,,,,,,,,,0.02,,,,0.02,,0.02,,,,,,,,,,,,0.02,,0.01,,,,,,0.02,0.02,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,,,,,,0.02,,,,0.01,,,,0.01,,,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,0.01,,,,,,,,,,,,,0.07,0.02,,,,,0.02,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,vlq_vd04ad36-12,vlq_vd04ad36
14,,,0.02,,0.02,,,,,,,,,,,,,,,,,,0.01,,0.02,0.02,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,0.09,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,vlq_vd04ad36-14,vlq_vd04ad36
16,,0.02,,,,0.03,,,,0.02,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,0.01,0.04,,,0.02,,,,,,0.53,vlq_vd04ad36-16,vlq_vd04ad36
18,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.02,,,,0.02,,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,0.01,,0.01,0.03,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.01,,,,,0.04,0.03,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,,,,,,,0.11,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.48,vlq_vd04ad36-18,vlq_vd04ad36
20,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,0.03,0.01,0.07,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.62,vlq_vd04ad36-20,vlq_vd04ad36
23,,,,,,,,,,0.01,,,,,,,,0.01,,0.01,0.03,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.06,,,,,,,,,,,,,,,,0.63,vlq_vd04ad36-23,vlq_vd04ad36
25,0.02,,,0.04,,0.02,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.03,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,0.02,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,0.01,,0.02,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,vlq_vd04ad36-25,vlq_vd04ad36
27,,,,,,,,,,,,,,,,,,0.02,0.04,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,0.01,,,,,,0.03,,,,,0.02,,0.02,,0.02,,0.01,,,,,,,0.02,,,,,0.07,,0.01,,,,,0.01,0.01,,,0.02,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,vlq_vd04ad36-27,vlq_vd04ad36
29,,,,0.02,,,,,0.02,0.03,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,0.01,,,,0.03,,,,,0.02,0.02,0.02,,,0.03,,,,,0.01,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,vlq_vd04ad36-29,vlq_vd04ad36
