timepoint,A.23.1,AV.1,B.1.1.7,B.1,B.1.1,B.1.1.318,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.427,B.1.525,P.1,B.1.617.1,C.37,P.3,others,sample_name,tool_name
1,,,0.02,,0.51,,,,,,0.35,,,,,0.1,,0.02,lcs-1,lcs
12,,0.1,0.13,,0.38,,0.09,,0.13,,0.09,,,,,0.08,,0.02,lcs-12,lcs
14,,0.19,0.18,,0.33,,,0.03,,,0.1,,0.02,0.01,,0.13,,0.01,lcs-14,lcs
16,,,,,0.16,,,0.42,0.3,,0.02,,,0.02,,0.06,,0.02,lcs-16,lcs
18,,0.35,,,0.26,,,,,,,,,0.12,,0.24,,0.03,lcs-18,lcs
20,,0.24,,,0.17,,,,,,,,,0.03,,0.52,,0.03,lcs-20,lcs
23,,,,0.59,0.17,,,,0.03,,,,,0.14,,0.05,,0.02,lcs-23,lcs
25,,,0.11,,0.51,0.06,,,,0.22,0.04,,,,0.01,,0.02,0.04,lcs-25,lcs
27,0.01,,0.15,,0.23,,,,,0.3,0.25,,,,,0.04,,0.01,lcs-27,lcs
29,,0.11,0.1,,0.62,,,,,0.08,0.05,,,0.01,,0.01,,0.02,lcs-29,lcs
3,,0.27,0.02,,0.31,,0.07,0.03,,,0.23,,0.05,,,0.02,,0.01,lcs-3,lcs
31,,0.02,,,0.31,0.24,0.01,,,,,,,,,0.38,,0.03,lcs-31,lcs
34,,0.26,,,0.34,,,,0.01,0.24,0.01,,,0.07,,0.04,,0.03,lcs-34,lcs
36,0.02,0.35,,,0.19,,,,0.04,0.14,,0.06,,,,,0.19,0.01,lcs-36,lcs
38,,0.14,0.19,,0.51,,,,0.03,,,,,0.03,,0.05,0.01,0.03,lcs-38,lcs
40,,0.14,0.1,,0.4,0.08,0.01,,0.04,,0.07,,,0.1,,0.04,,0.01,lcs-40,lcs
42,0.02,0.26,,,0.07,,0.04,0.15,0.01,0.06,0.03,,,,,0.34,,0.02,lcs-42,lcs
45,,0.34,,,0.2,,,,,0.06,0.01,,,,,0.37,,0.01,lcs-45,lcs
47,,0.28,0.01,,0.42,,,,,0.05,0.02,0.01,,,,0.19,0.02,0.01,lcs-47,lcs
49,,0.25,,,0.52,,,,,0.01,,,,0.01,,0.16,0.02,0.02,lcs-49,lcs
5,,0.03,0.07,,0.52,,,,0.11,,0.14,,0.02,0.02,,0.08,,0.02,lcs-5,lcs
51,,0.04,,,0.31,,0.06,,,0.23,0.07,0.11,,,,0.16,,0.03,lcs-51,lcs
7,0.02,0.02,0.17,,0.57,0.02,,0.01,0.14,0.02,,,,,,,0.01,0.02,lcs-7,lcs
9,,,0.14,,0.46,,,0.21,,,0.04,,0.06,,,0.04,0.02,0.02,lcs-9,lcs
