timepoint,AY.4,B.1.617.2,BA.1,BA.2,BA.2.75,BA.5,BA.5.1,BA.5.2.1,BF.14,BF.7,BN.1,BQ.1,CH.1.1,others,sample_name,tool_name
1,0.2,0.08,,,,,,,,,,,,0.72,vaquero_v24d9211-1,vaquero_v24d9211
3,0.2,,,,,,,,,,,,,0.8,vaquero_v24d9211-3,vaquero_v24d9211
5,,,0.35,0.61,,,,,,,,,,0.03,vaquero_v24d9211-5,vaquero_v24d9211
9,,,0.58,0.39,,,,,,,,,,0.03,vaquero_v24d9211-9,vaquero_v24d9211
12,,,0.24,0.7,,,,,,,,,,0.06,vaquero_v24d9211-12,vaquero_v24d9211
14,,,0.15,0.83,,,,,,,,,,0.01,vaquero_v24d9211-14,vaquero_v24d9211
25,,,,0.23,,0.26,,0.36,,,,0.15,,0.0,vaquero_v24d9211-25,vaquero_v24d9211
27,,,,0.09,,0.63,,0.28,,,,,,0.0,vaquero_v24d9211-27,vaquero_v24d9211
29,,,,0.11,,0.68,,0.21,,,,,,0.0,vaquero_v24d9211-29,vaquero_v24d9211
31,,,,0.13,,0.22,0.25,0.24,0.15,,,,,0.01,vaquero_v24d9211-31,vaquero_v24d9211
34,,,,,,0.14,0.35,0.35,0.14,,,,,0.02,vaquero_v24d9211-34,vaquero_v24d9211
36,,,,,,0.65,,0.2,0.14,,,,,0.01,vaquero_v24d9211-36,vaquero_v24d9211
40,,,,0.27,,0.33,,0.38,,,,,,0.02,vaquero_v24d9211-40,vaquero_v24d9211
42,,,,0.15,0.05,0.16,,0.49,,,0.14,,,0.01,vaquero_v24d9211-42,vaquero_v24d9211
45,,,,,,,,0.69,0.14,0.13,,,,0.03,vaquero_v24d9211-45,vaquero_v24d9211
47,,,,0.22,,0.35,,0.18,,0.11,,0.13,,0.0,vaquero_v24d9211-47,vaquero_v24d9211
49,,,,,,0.62,,0.37,,,,,,0.01,vaquero_v24d9211-49,vaquero_v24d9211
51,,,,,,0.48,,0.28,,,,,0.24,0.0,vaquero_v24d9211-51,vaquero_v24d9211
