timepoint,B.1.617.2,BA.1,BA.2,BA.2.3.20,BA.5,BA.5.1,BA.5.2,BA.5.3,BE.1,BF.7,BN.1,BQ.1,others,sample_name,tool_name
1,0.26,,,,,,,,,,,,0.74,vaquero_v93e7db3-1,vaquero_v93e7db3
5,,0.35,0.61,,,,,,,,,,0.03,vaquero_v93e7db3-5,vaquero_v93e7db3
9,,0.58,0.39,,,,,,,,,,0.03,vaquero_v93e7db3-9,vaquero_v93e7db3
12,,0.7,,,,,,,,,,,0.3,vaquero_v93e7db3-12,vaquero_v93e7db3
14,,0.69,,,,,,,,,,,0.31,vaquero_v93e7db3-14,vaquero_v93e7db3
25,,,0.2,,0.27,,,0.36,0.17,,,,0.0,vaquero_v93e7db3-25,vaquero_v93e7db3
27,,,0.09,,0.73,,,,0.18,,,,0.0,vaquero_v93e7db3-27,vaquero_v93e7db3
34,,,,,0.24,0.44,,0.15,0.15,,,,0.02,vaquero_v93e7db3-34,vaquero_v93e7db3
36,,,,,0.99,,,,,,,,0.01,vaquero_v93e7db3-36,vaquero_v93e7db3
42,,,,0.52,,,,,,,0.3,,0.18,vaquero_v93e7db3-42,vaquero_v93e7db3
45,,,,,0.3,,0.5,,,0.2,,,0.0,vaquero_v93e7db3-45,vaquero_v93e7db3
47,,,,,,,,,,0.51,,0.24,0.25,vaquero_v93e7db3-47,vaquero_v93e7db3
51,,,0.16,,0.41,,,0.01,0.42,,,,0.0,vaquero_v93e7db3-51,vaquero_v93e7db3
