timepoint,BA.2.80,XAG,BA.5.1.4,XAR,BA.2.28,BQ.1.9,BU.2,CH.1.1.25,XBN,XBB.2.2,BQ.1.1.47,BN.1.3.3,CT.1,BE.1,BE.7,DM.1,BQ.1.1.21,BQ.1.1.72,CP.3,BM.5,CV.1,BF.11.3,BQ.1.1.23,BQ.1.1.10,XBB,BQ.1.1.7,DE.2,CU.1,BN.1.2.1,BR.3,BQ.1.2,BE.11,DC.1,B.1.1.425,BQ.1.5,BA.5.6.4,BQ.1.2.1,BQ.1.12,B.1.227,BA.5.2.14,BF.13,BF.30,BA.5.1.18,BA.2.75.10,BA.5.6.1,BA.4.8,XU,BF.23,BA.5.3.4,BA.5.3,BA.4.1.1,BA.2.10.3,C.1.2,XAH,B.1.351.3,BA.2.67,XAB,AY.39.2,BA.2.9,BA.2.39,BA.2.8,BF.3.1,BA.5.1.31,BF.7.4.2,BQ.1.28,BA.5.7,AT.1,B.1.1.10,P.6,B.1.1.243,C.17,B.1.1.286,B.1.1.420,B.1.177.64,XBB.2.3.5,EV.1,XBB.2.3.6,FT.1,XBB.1.25,BY.1.1,XBB.1.5.57,CN.2,BQ.1.1.64,XBT,XBB.1.5.11,BQ.1.1.65,BN.1.10,ER.1.1,CH.1.1.7,BQ.1.1.38,CH.1.1.9,CM.6.1,CM.5.1,BF.41.1,BF.14,BA.5.2.44,BF.26,BF.7.6,BA.5.1.25,BE.1.4.1,B.1.1.529,BN.1.3.5,BW.1.1.1,BA.5.1.28,BA.1.1.14,BN.1,B.1.36.22,BA.5.2.53,BA.5.2.36,BA.5.2.32,B.1.1.431,BF.7.24,BA.2.9.7,BA.2.13.1,BA.5.3.1,BA.2.73,BA.5.3.2,BA.2.12.1,BA.1.20,BA.5.2.28,BA.1.17,BA.1.1.18,BA.1.15.1,BA.1.1.15,BA.2.68,BA.1.1.4,BA.1.17.2,BA.1.10,XP,AY.41,XJ,XV,BA.1.16,B.1.1.218,B.1.1.435,P.3,B.1.221.4,B.1.177.83,EG.2,DV.4,BQ.1.27,CR.1.3,B.1.1.133,BA.5.9,BA.2.19,XBB.1.5.1,BM.2.1,CM.7,CM.8.1,BQ.1.3.1,BM.3,BF.16,BL.2,BA.5.2.29,BA.4.3,BA.4.1,BA.2.3.6,BA.4.1.2,BA.2.20,BA.2.30,BA.2.3.10,AY.7.1,B.1.640,AY.25,BA.2.47,C.1,FY.3,XBB.1.5.22,GA.2,XBS,XBB.1.5,XBB.1.38,XBB.1.11,BL.5,XBP,DL.1,BA.5.2.43,BE.4.1.1,BF.7.13.1,BQ.1.14,B.1.1.487,CQ.1.1,BA.5.2.25,BM.1.1.3,BA.2.60,BA.1.21,AY.57,BA.5.1.8,B.1.525,BN.1.3.10,XBB.1.28,FK.1.2,EW.1,CH.1.1.26,CH.1.1.6,BF.27,BF.10,BA.1.18,BQ.1.33,BA.1.1.11,AY.7.2,BA.1.1.17,BA.1.5,BA.1.6,XBB.2.3.8,DY.1,BF.5,BQ.1.1.62,BQ.1.1.27,BF.31.1,CR.1,BQ.1.15,XBD,B.1.1.519,BQ.1.2.2,DJ.1.3,BF.24,BF.20,CM.8.1.2,BQ.1.10.3,BE.6,BA.5.2.26,BE.5,BA.1,BA.2.18,BK.1,XCA,XBB.1.5.19,BA.5.2.34,BF.39,BA.5.1.1,BA.5.1.5,BQ.1.1.29,DQ.1,XAW,BQ.1.16,BF.7.11,BA.5.1.29,ED.1,BQ.1.1.30,BQ.1.1.68,BF.38,BA.5.2.19,BE.1.4.4,BH.1,BA.5.8,BF.4,BF.1,DT.2,BA.5.2.20,BF.22,BA.5.2.59,BA.5.1.3,CH.3,XAY.2.1,BA.5.1.26,BF.31,BE.1.1.2,BA.5.10.1,CM.5,BF.12,BA.5.2.21,BF.36,BQ.1.26.2,BA.2.21,DY.2,BA.4.1.5,BA.2.9.4,BA.2.3.16,BA.2.9.2,DN.1.1.3,B.1.177.33,XBU,FL.4,AY.46.5,AY.43.8,BA.1.1.7,AY.43.4,AY.43,BE.1.4,BF.1.1,BE.4,AY.35,XAD,BA.1.22,XAJ,BA.1.1.1,BD.1,XM,XL,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,0.01,,0.02,0.04,,0.02,,,0.13,0.01,,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,vlq-1,vlq
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.05,,,,0.02,0.1,0.03,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.03,,0.07,0.02,0.01,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,0.02,0.02,0.02,0.01,,,,,,,,,,,,0.39,vlq-3,vlq
5,,,,,0.04,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,0.01,0.04,0.01,,,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.05,,,0.03,0.01,,0.04,0.57,vlq-5,vlq
7,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,0.03,,0.03,,,,,,0.02,,,,,,,,,0.02,,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,,,,0.02,,,,,,,,,,,,,0.02,,,,,,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,vlq-7,vlq
9,,0.01,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.02,0.01,0.01,,0.07,,,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.15,0.03,0.03,,0.44,vlq-9,vlq
12,,0.02,,,,,,,,0.03,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.02,0.02,0.02,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,0.02,0.02,,0.02,,,0.01,,,,,0.01,,,,,,,0.07,0.04,,0.01,,,,,0.01,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,vlq-12,vlq
14,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.04,,,,,,0.01,,,,0.01,,,,,,0.02,,0.01,,,,,,,,,0.03,,,,,,,0.02,,,,,,0.1,,,0.01,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,vlq-14,vlq
16,,,,,0.03,,,,,,0.01,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,0.14,0.01,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,0.02,,,,,,,,,,,,,,,,,,0.51,vlq-16,vlq
18,,0.01,,,0.02,,0.02,,,,,,0.02,,,,0.01,,0.02,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,0.04,,,0.03,,,,0.02,,,,,,,,,,,,,,,,,0.01,,,,0.02,0.02,,,,,,,0.02,0.01,,,,,,,,,,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,0.45,vlq-18,vlq
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,0.01,,0.01,,0.09,,0.01,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.01,,0.01,,,,,,,,,0.03,0.02,0.01,,0.02,,,,0.02,,,,,,0.01,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,vlq-20,vlq
