timepoint,XBD,XBM,C.37.1,C.37,BF.17,B.1.1.529,BA.4.8,BA.5,BA.5.8,BA.5.5.2,BA.5.1.20,BA.5.1.1,BA.5.1.19,BA.5.1.7,BA.5.1.37,BA.5.1.27,BK.1,BA.5.1.8,BA.5.1.10,BA.5.1.26,BA.5.1.6,BA.5.1,BA.5.1.12,BA.5.1.24,BA.5.1.17,BA.5.1.22,BA.5.7,BA.5.2,BA.5.3.3,BA.5.3.2,BA.5.3.4,BA.5.9,BA.5.5,BA.5.3,BA.5.1.34,BA.5.1.23,BW.1.1.2,BA.5.3.5,BA.5.1.28,DH.1,BA.5.6,BA.5.1.2,BA.5.11,BA.5.1.15,BA.5.1.16,BA.5.1.3,BA.5.1.30,BW.1.1.1,BA.5.1.32,BA.5.6.4,BW.1.2,BW.1.1,BF.24,BW.1,BA.5.6.2,BA.5.6.3,B.1.1.263,B.1.1.45,B.1.1.161,BF.14,BQ.1.5,BQ.1.1.15,DM.1,XAZ,BA.5.1.9,BA.5.5.3,XAS,BA.5.1.11,BF.1,DE.2,XAK,A.5,B.4.5,B.43,A.7,B.4.7,B.60,B.4,B.42,B.10,B.57,B.52,B.46,B.47,B.6,B.19,B.26,B.27,B.1.14,B.20,B.15,A,B.45,B.53,B.40,A.2,B.4.6,B.3.1,B.31,B.28,B.30,B.3,B.29,B.41,B.61,A.12,A.11,A.2.3,A.2.2,A.24,A.25,B,XG,XU,XL,XQ,XR,XAG,XAM,CC.1,BE.1.1.2,BE.1.2,BE.1.1,BE.1,BE.1.2.1,DW.1,BA.4.6.2,XBT,XAQ,XAF,BA.2.16,BA.2.19,BA.2.15,BA.2.23,BA.2,XAE,XAD,XAA,XW,XAH,XAP,XM,BA.5.12,XV,XE,XY,BA.5.10,BA.2.23.1,XBZ,BA.5.10.1,BA.1.17.2,BA.1.1.16,BA.1.23,BA.1.1.14,BA.1.1.13,BA.1.1.11,BA.1.1.12,BA.1.1.8,BA.1.1.15,BA.1.1.7,BA.1.1.18,BA.1.1.2,BA.1.14.2,BA.1.21.1,BA.1.21,BA.1.5,XP,BA.1,BA.1.12,BA.1.7,BA.1.6,BA.1.1.17,BA.1.18,BA.1.9,BA.1.14,BA.1.13,BA.1.17,BA.1.1,BA.1.1.1,BC.1,XZ,B.12,B.51,B.11,B.5,B.55,B.18,BQ.1.1.54,XS,XAB,B.4.4,A.26,A.3,A.1,B.6.6,XH,C.23,AY.113,XAL,B.1.131,BA.1.1.10,BA.1.1.4,BA.1.13.1,BA.1.20,BA.1.1.9,BA.1.10,BA.1.3,BA.1.16,BA.1.14.1,AP.1,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.08,0.01,,,,,,,,,,,,0.42,freyja_v1.4.3-1,freyja_v1.4.3
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,freyja_v1.4.3-3,freyja_v1.4.3
5,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,0.22,,,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.02,,,,,,,,,,,,,,,0.06,freyja_v1.4.3-5,freyja_v1.4.3
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.4.3-7,freyja_v1.4.3
9,,,,,,0.01,,0.01,0.01,,,,,,,,,,,,,,,,,,0.01,,0.01,0.01,,0.01,0.01,0.01,,,0.01,0.01,,,0.01,,0.01,,,,,,,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,,0.01,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,,,,,0.01,,,,0.01,,,,0.01,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.08,freyja_v1.4.3-9,freyja_v1.4.3
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,,,,,,0.03,0.03,,,0.03,0.03,0.08,,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.08,,,0.08,,,,,,,,,,,0.06,0.22,freyja_v1.4.3-12,freyja_v1.4.3
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.4.3-14,freyja_v1.4.3
16,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.19,,0.19,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-16,freyja_v1.4.3
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,freyja_v1.4.3-18,freyja_v1.4.3
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,freyja_v1.4.3-20,freyja_v1.4.3
