timepoint,BA.2,BA.2.3.20,BA.2.75.5,BA.4.6,BA.5,BA.5.1,BA.5.1.3,BA.5.2,BA.5.2.1,BA.5.2.27,BA.5.2.58,BA.5.2.6,BA.5.9,BE.1.1,BF.14,BF.5,BF.7,BL.1,BM.1.1.3,BN.1,BN.1.3,BR.3,CM.5,BA.1.1,BA.1.1.1,BA.2.12.1,BA.2.3,BA.2.9,B.1.1.529,BA.1,BA.2.36,BA.2.56,BA.4,BA.5.1.22,BA.5.3,BE.1,BE.1.4,BA.5.1.10,BF.11.3,BF.7.22,BF.7.24,BF.7.4,BF.7.5,BF.7.6,BN.1.2,BN.1.3.1,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,BQ.1.5,CH.1.1,XBB,XBB.1,XBF,BA.2.75.1,BA.4.1,BA.5.1.23,BE.1.1.2,BQ.1.1.23,BA.5.1.2,BA.5.2.20,BA.5.2.26,BA.5.2.3,BM.1.1,BA.5.1.5,BN.2,BF.7.19,BF.7.9,BN.1.3.3,BQ.1.1.7,BQ.1.10,AY.43,AY.46.6,B.1.617.2,BA.1.17.2,BA.1.18,BA.1.20,BA.4.1.2,BF.11,BA.1.17,BF.1,BA.5.5,BF.12,BA.1.15,BA.2.13,XBB.2,BA.2.75.2,BA.5.1.30,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.03,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,0.18,0.11,0.16,,,,0.09,,,,,,,,,simul-1,simulation,Ex22_01_realTimecourse_simul-1,2021-12-29,1501.6383640437414,7876.121875265526,9.587666789285356,59.9999
3,0.15,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.03,0.17,0.08,0.03,0.02,,,,,,,,,,,,simul-3,simulation,Ex22_01_realTimecourse_simul-3,2022-01-12,1513.4631976724743,10813.533625890781,10.671170116710698,59.9995
5,0.5,,,,,,,,,,,,,,,,,,,,,,,0.17,0.02,,0.05,0.07,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,,0.01,,,,,,,,,simul-5,simulation,Ex22_01_realTimecourse_simul-5,2022-01-26,1477.6252215496772,13678.427605913308,6.066280975152995,59.9999
7,0.52,,,,,,,,,,,,,,,,,,,,,,,0.23,0.02,,0.02,0.1,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.02,,,,0.01,,,,,simul-7,simulation,Ex22_01_realTimecourse_simul-7,2022-02-09,1487.3256529445207,7971.008766374653,10.503962813095676,60
9,0.29,,,,,,,,,,,,,,,,,,,,,,,0.33,0.05,,0.02,0.1,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.02,,,,0.01,,,,0.01,,,,,simul-9,simulation,Ex22_01_realTimecourse_simul-9,2022-02-23,1457.127947028726,9216.563880259002,9.300070227067518,60
12,0.4,,,,,,,,,,,,,,,,,,,,,,,0.19,0.02,,,0.33,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex22_01_realTimecourse_simul-12,2022-03-16,1499.9672273684914,9680.891863329349,9.473965822827141,59.9999
14,0.64,,,,,,,,,,,,,,,,,,,,,,,0.14,0.01,,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex22_01_realTimecourse_simul-14,2022-03-30,1500.3170584891147,8011.440811879448,11.06912349931445,60
16,0.67,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,0.04,0.03,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex22_01_realTimecourse_simul-16,2022-04-13,1477.4581480119052,8566.729027487583,10.019061632612113,60
18,0.64,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,0.02,0.01,0.22,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,simul-18,simulation,Ex22_01_realTimecourse_simul-18,2022-04-27,1491.4941644651037,9785.698644568065,7.470822325519179,60
20,0.61,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.03,0.19,,,,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,simul-20,simulation,Ex22_01_realTimecourse_simul-20,2022-05-11,1511.516603685249,8510.308937463613,7.099622111493831,60
