timepoint,A.23.1,AV.1,B.1.1.7,B.1,B.1.1,B.1.1.318,B.1.177,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.427,B.1.525,P.1,B.1.526,B.1.617.1,C.37,P.3,P.2,others,sample_name,tool_name
1,,0.09,,,,,,,0.02,0.02,0.09,0.26,,,0.42,,0.05,0.04,,,0.01,lcs-1,lcs
12,,0.33,,0.14,0.14,,,,,,0.14,,,,,0.14,,,,,0.09,lcs-12,lcs
14,,0.17,,,0.72,,,,0.04,,,,,,,,,0.06,,,0.01,lcs-14,lcs
16,0.01,,,0.35,0.35,,,,,,,,,0.03,,,,0.02,,,0.25,lcs-16,lcs
18,,0.03,0.13,,,,,,,0.82,,,,,,,,,,,0.03,lcs-18,lcs
20,,,,,,,,,,,,0.98,,,,,,0.02,,,0.0,lcs-20,lcs
23,,,,,,,,,,0.01,0.97,,,,,,,,,,0.01,lcs-23,lcs
25,,,,,0.81,,,,,0.08,,,,,,,0.02,0.07,0.02,,0.01,lcs-25,lcs
27,,,,,0.85,,,,,0.06,,,,,0.01,,,0.07,,,0.0,lcs-27,lcs
29,,,,,,,0.29,,0.01,,,,,,,,0.02,0.67,,,0.01,lcs-29,lcs
3,,,,,,,0.75,,,,,0.21,,,,,,,0.03,,0.02,lcs-3,lcs
31,,,,,0.83,,,,,,,,,,,,,0.13,0.04,,0.01,lcs-31,lcs
34,,0.02,,,,,,,,,0.96,,,,,,,0.02,,,0.0,lcs-34,lcs
36,,0.04,,,0.31,,,,,,,,,,,,,,0.13,0.31,0.22,lcs-36,lcs
38,,,0.04,0.11,0.11,,,,,,,,,,,,,0.66,,,0.07,lcs-38,lcs
40,,,,,0.98,,,,,,,,,,,,,0.01,,,0.0,lcs-40,lcs
42,,,,,,0.08,,0.05,,0.6,,,,,0.14,,,0.08,0.05,,0.01,lcs-42,lcs
45,,,,,,,,0.49,,,,,,,,,,0.49,0.02,,0.0,lcs-45,lcs
47,,0.25,,,,,,,,0.65,,,,,,,,0.02,0.08,,0.0,lcs-47,lcs
49,,0.26,,,,,,,,,0.12,,,,,0.57,,0.05,,,0.01,lcs-49,lcs
5,,,,0.16,0.16,,,,0.1,,0.16,,0.16,,,,,,,0.16,0.1,lcs-5,lcs
51,,,0.34,,0.16,,,,,,,0.16,,,,,,0.09,0.23,,0.01,lcs-51,lcs
7,,,,,0.3,0.6,,,,,,,,,,0.02,,0.07,,,0.02,lcs-7,lcs
9,,,,0.83,0.03,,,,,,,,,,,,,0.11,0.02,,0.01,lcs-9,lcs
