timepoint,,A.23.1,AV.1,AY.4.2,B.1.1.318,B.1.1.529,B.1.1.7,B.1.351,B.1.617.1,B.1.617.2,B.1.617.3,B.1.621,B.1.623,BA.1,BA.2,BA.2.75,BA.2.86,BA.3,BA.4,BA.4.6,BA.5,BQ.1,C.36.3,C.37,CH.1.1,EG.5.1,JN.1,P.1,P.2,P.3,XBB,XBB.1.16,XBB.1.5,XD,XE,others,sample_name,tool_name
1,,,,,,0.49,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,0.0,lollipop-1,lollipop
3,,,,,,,,,0.04,0.18,0.07,,,0.51,,,,,,,,,,,,,0.02,,,,,,,,0.05,0.14,lollipop-3,lollipop
5,,,,,,0.79,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,0.0,lollipop-5,lollipop
7,,,,,,0.94,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,0.0,lollipop-7,lollipop
9,,,0.04,,,0.91,,,,,,0.03,,,,,,,,,,,,,,,,,,0.02,,,,,,0.01,lollipop-9,lollipop
12,,,,,,0.62,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,0.0,lollipop-12,lollipop
14,,,,,,0.58,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,0.0,lollipop-14,lollipop
16,0.06,,,0.06,0.05,0.06,,,0.06,,,,,0.06,0.06,,0.06,0.05,,0.06,,0.06,,0.06,0.06,,0.06,,,,,,0.06,,,0.08,lollipop-16,lollipop
18,,,,,,0.95,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.03,lollipop-18,lollipop
20,,,,,,0.75,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,0.0,lollipop-20,lollipop
23,,,,,,0.9,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,0.0,lollipop-23,lollipop
25,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.01,lollipop-25,lollipop
27,0.04,,,0.04,0.04,0.04,0.04,,0.02,0.02,,,,,0.04,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,0.04,0.04,0.04,0.04,,0.04,0.04,0.04,0.04,0.04,0.04,0.07,lollipop-27,lollipop
29,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,lollipop-29,lollipop
31,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,0.0,lollipop-31,lollipop
34,0.02,0.02,0.02,0.02,0.02,0.5,0.02,0.02,,,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,,0.02,,0.1,0.02,,0.02,0.02,lollipop-34,lollipop
36,0.03,0.03,,0.03,,,0.03,,,,,0.03,,,0.49,,0.03,0.03,0.03,0.03,0.03,0.03,,,0.04,0.03,,,0.03,0.03,0.03,,0.03,,0.03,0.04,lollipop-36,lollipop
38,,,,,,0.98,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,,0.0,lollipop-38,lollipop
40,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.0,lollipop-40,lollipop
42,,,,,0.21,0.5,0.21,,,,,,,,,,,,0.04,,0.04,,,,,,,,,,,,,,,0.0,lollipop-42,lollipop
45,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.0,lollipop-45,lollipop
47,,,,,,0.98,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,lollipop-47,lollipop
49,,,,,,0.32,,,,,,,,,0.06,,,,,,,,,0.03,,,,,,,,0.35,,0.24,,0.0,lollipop-49,lollipop
51,,,,,,0.97,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.0,lollipop-51,lollipop
