timepoint,,A.23.1,AV.1,AY.4.2,B.1.1.318,B.1.1.529,B.1.1.7,B.1.351,B.1.617.1,B.1.617.2,B.1.617.3,B.1.621,B.1.623,BA.1,BA.2,BA.2.75,BA.2.86,BA.3,BA.4,BA.4.6,BA.5,BQ.1,C.36.3,C.37,CH.1.1,EG.5.1,JN.1,P.1,P.2,P.3,XBB,XBB.1.16,XBB.1.5,XD,XE,others,sample_name,tool_name
1,,,,,,0.49,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-1,lollipop_v0.3.0
3,,,,,,,,,0.04,0.18,0.07,,,0.51,,,,,,,,,,,,,0.02,,,,,,,,0.05,0.14,lollipop_v0.3.0-3,lollipop_v0.3.0
5,,,,,,0.79,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-5,lollipop_v0.3.0
7,,,,,,0.94,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-7,lollipop_v0.3.0
9,,,0.04,,,0.91,,,,,,0.03,,,,,,,,,,,,,,,,,,0.02,,,,,,0.01,lollipop_v0.3.0-9,lollipop_v0.3.0
12,,,,,,0.62,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-12,lollipop_v0.3.0
14,,,,,,0.58,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-14,lollipop_v0.3.0
16,0.06,,,0.06,0.05,0.06,,,0.06,,,,,0.06,0.06,,0.06,0.05,,0.06,,0.06,,0.06,0.06,,0.06,,,,,,0.06,,,0.08,lollipop_v0.3.0-16,lollipop_v0.3.0
18,,,,,,0.95,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.03,lollipop_v0.3.0-18,lollipop_v0.3.0
20,,,,,,0.75,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-20,lollipop_v0.3.0
23,,,,,,0.9,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-23,lollipop_v0.3.0
25,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.01,lollipop_v0.3.0-25,lollipop_v0.3.0
27,0.04,,,0.04,0.04,0.04,0.04,,0.02,0.02,,,,,0.04,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,0.04,0.04,0.04,0.04,,0.04,0.04,0.04,0.04,0.04,0.04,0.07,lollipop_v0.3.0-27,lollipop_v0.3.0
29,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,lollipop_v0.3.0-29,lollipop_v0.3.0
31,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,0.0,lollipop_v0.3.0-31,lollipop_v0.3.0
34,0.02,0.02,0.02,0.02,0.02,0.5,0.02,0.02,,,,0.02,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.02,,0.02,,0.1,0.02,,0.02,0.02,lollipop_v0.3.0-34,lollipop_v0.3.0
36,0.03,0.03,,0.03,,,0.03,,,,,0.03,,,0.49,,0.03,0.03,0.03,0.03,0.03,0.03,,,0.04,0.03,,,0.03,0.03,0.03,,0.03,,0.03,0.04,lollipop_v0.3.0-36,lollipop_v0.3.0
38,,,,,,0.98,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,,0.0,lollipop_v0.3.0-38,lollipop_v0.3.0
40,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.0,lollipop_v0.3.0-40,lollipop_v0.3.0
42,,,,,0.21,0.5,0.21,,,,,,,,,,,,0.04,,0.04,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-42,lollipop_v0.3.0
45,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.0,lollipop_v0.3.0-45,lollipop_v0.3.0
47,,,,,,0.98,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,lollipop_v0.3.0-47,lollipop_v0.3.0
49,,,,,,0.32,,,,,,,,,0.06,,,,,,,,,0.03,,,,,,,,0.35,,0.24,,0.0,lollipop_v0.3.0-49,lollipop_v0.3.0
51,,,,,,0.97,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.0,lollipop_v0.3.0-51,lollipop_v0.3.0
