timepoint,AV.1,B.1.1.7,B.1,B.1.1,B.1.1.318,B.1.177,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.427,B.1.525,P.1,B.1.526,B.1.617.1,C.37,P.3,P.2,others,sample_name,tool_name
1,,,,0.12,,,,0.17,,,0.65,,,,,,0.04,,,0.02,lcs_vcfc2f02-1,lcs_vcfc2f02
12,,,,0.04,0.15,,,0.1,0.69,,,,,0.01,,,,,,0.01,lcs_vcfc2f02-12,lcs_vcfc2f02
14,0.04,,,,,,,0.08,0.42,,,,,,,,0.02,0.42,,0.01,lcs_vcfc2f02-14,lcs_vcfc2f02
16,0.11,0.03,0.14,0.14,,,,0.16,,,,,0.03,,,0.17,,,0.14,0.09,lcs_vcfc2f02-16,lcs_vcfc2f02
18,,,0.21,0.21,,,,,,0.21,,0.21,,,,,,,,0.14,lcs_vcfc2f02-18,lcs_vcfc2f02
20,0.25,0.01,,,,,0.73,,,,,,,,,,,,,0.01,lcs_vcfc2f02-20,lcs_vcfc2f02
23,,,,0.41,,,0.02,0.31,,,,,,,,,0.25,,,0.01,lcs_vcfc2f02-23,lcs_vcfc2f02
25,,,0.08,0.08,0.02,0.08,,,0.02,,,,,,,,0.66,,,0.05,lcs_vcfc2f02-25,lcs_vcfc2f02
27,0.96,,,,,,,0.03,,,,,,,,,,,,0.01,lcs_vcfc2f02-27,lcs_vcfc2f02
29,0.09,,,,0.9,,,,,,,,,,,,,,,0.01,lcs_vcfc2f02-29,lcs_vcfc2f02
3,,0.39,,,,,,,,0.01,0.59,,,,,,,,,0.01,lcs_vcfc2f02-3,lcs_vcfc2f02
31,,,,,,,,,0.03,,0.96,,,,,,,,,0.01,lcs_vcfc2f02-31,lcs_vcfc2f02
34,,,,,,,,,,,0.93,,,,,,0.02,0.03,,0.02,lcs_vcfc2f02-34,lcs_vcfc2f02
36,0.01,0.98,,,,,,,,,,,,,,,,,,0.01,lcs_vcfc2f02-36,lcs_vcfc2f02
38,,,,,,,,,,,,,,,,,,0.99,,0.01,lcs_vcfc2f02-38,lcs_vcfc2f02
40,0.27,,,,,,0.27,,0.03,,,,,,,,0.27,0.17,,0.0,lcs_vcfc2f02-40,lcs_vcfc2f02
42,,,,0.3,0.02,,,,,,,,,,,,0.67,,,0.02,lcs_vcfc2f02-42,lcs_vcfc2f02
45,,,,,,,,,,,,0.02,,,,,0.96,,,0.01,lcs_vcfc2f02-45,lcs_vcfc2f02
47,,,0.11,0.11,,,0.13,0.13,,,0.12,,,,0.13,0.13,0.13,,,0.02,lcs_vcfc2f02-47,lcs_vcfc2f02
49,0.31,,0.05,0.05,,,,,0.06,,,,,,0.5,,,,,0.04,lcs_vcfc2f02-49,lcs_vcfc2f02
5,,0.02,,,0.52,,0.05,,,,0.02,,0.26,,,0.1,,0.03,,0.01,lcs_vcfc2f02-5,lcs_vcfc2f02
51,,,,,,,,,,,,0.01,,,0.02,,0.96,,,0.01,lcs_vcfc2f02-51,lcs_vcfc2f02
7,0.96,,,,,,,,0.03,,,,,,,,0.01,,,0.0,lcs_vcfc2f02-7,lcs_vcfc2f02
9,,,0.01,0.94,,,,,,,,,,,,,0.03,,,0.01,lcs_vcfc2f02-9,lcs_vcfc2f02
