timepoint,XAG,BA.2.19,XBB.1.29,CH.1.1.25,CM.8.1,BQ.1.13.1,BN.1.2.3,BQ.1.1.47,BQ.1.1.21,BF.11.2,BN.1.4,BR.1.2,DC.1,BQ.1.13,BA.5.6.4,CA.3,BF.16,BQ.1.1.3,BA.2.10.4,BT.2,BA.5.2.59,BA.5.3,BA.2.41,XY,BA.4.1,BA.2.67,BA.5.1.31,BQ.1.28,B.1.1.176,A,XBB.1.36,XBL.1,FD.4,DY.3,BN.1.2.5,XBQ,XBB.1.5.19,ER.1.1,CH.1.1.6,BQ.1.1.38,BF.26,XAR,BS.1.1,BM.2.1,BM.2,CA.7,BN.1.2.1,BM.1.1.1,BN.1,B.1.36.22,B.1.1.431,BA.2.75.3,BA.4.5,BF.23,BD.1,BA.2.60,BA.2.54,BA.1.1.15,BA.2.9.4,BA.2.44,XAB,BA.1.10,XP,BA.2.3.15,BA.3,BA.2.25,P.3,XBB.2.3.5,CH.1.1.22,XBK.1,BA.5.9,CM.8.1.2,BN.1.1,DL.1,XAW,BH.1,BA.5.11,BA.2.75.4,XZ,BA.5.2.1,BA.1.17.2,BA.1,BA.1.20,BA.1.18,BA.1.17,AY.71,BA.1.1.18,BA.2.68,AY.4.1,BA.1.9,BA.1.1.11,BA.1.15,B.1.177.84,XBB.1.24,XBB.1.28,FV.1,XBB.1.22,BN.1.3.10,EH.1,CH.1.1.9,B.1.44,BA.2.32,BE.1.4,B.1.1.529,BQ.1.30,BE.9,EQ.1,BE.11,BE.4.2,DB.2,BA.5.2.36,BA.4.1.1,BF.14,BK.1,XBB.2.3.11,XBB.1.5.40,XBB.1.5.8,BF.39,BA.5.1.4,BA.4.1.5,BA.2.28,BQ.1.26.2,BN.1.3.5,BW.1.1.1,XBB.1.4.1,BE.7,BA.4.6.3,BA.5.2.39,BF.11.5,BA.5.1.18,XAL,BA.1.24,BA.2.3.14,BA.2.57,BA.2.3.9,BA.3.1,BA.1.1.3,BA.1.1.16,B.1.1.528,FL.6,XBB.1.9.3,EK.4,BY.1.1,FK.1.2,CN.2,BQ.1.1.64,XBT,BA.2.3.22,XBB.1.35,CM.5.1,BF.20,BA.5.1.25,BE.3,BU.2,XBN,BF.7.19.1,BA.5.1.28,BQ.1.1.72,BA.5.10.1,DE.2,BQ.1.1.57,BQ.1.3.1,BR.3,BQ.1.15,BQ.1.8,BF.13,BA.5.6.3,BA.2.21,BA.1.16,BA.2.3.10,AY.106,BA.2.8,BA.1.1.13,BF.17,B.1.439,B.1.258.17,FY.3,EY.1,ED.1,BQ.1.1.54,XBB.1.38,CM.6.1,BQ.1.1.68,BF.38,BF.24,BF.10,BQ.1.33,EF.1.1,BQ.1.23,BQ.1.6,BU.3,CK.2.1.1,BA.5.2.53,BV.1,XAN,BA.4.3,BA.4.1.2,BA.2.17,BA.2.3.13,BA.2.72,XJ,AY.62,BA.5.1.3,BF.18,BA.5.1.8,B.1.160.28,B.1.160.11,XBB.1.16.4,XBB.1.16.1,FN.1,XBF.1.1,XBB.1.5.54,EK.3,XBB.1.5.33,DU.1,BA.2.38.2,BA.5.1.11,BA.5.2.21,B.1.621,BQ.1.7,BQ.1.19,BF.7.13.1,B.1.1.267,BA.2.9.7,BA.2.73,AY.30,B.1.626,AY.122.1,AY.46.5,XG,AK.1,P.1.14,AK.2,B.1.1.435,C.17,AH.2,XBC.1.1,EJ.2,B.1.332,BF.21,BE.1.3,XBJ.2,DM.1,BM.5,CU.1,BQ.1.14,XBD,BQ.1,BE.6,AY.25,AY.44,BA.1.1.14,B.1.480,P.6,XBB.2.3.6,FC.1,XBF.7,BQ.1.1.65,BE.13,BN.1.8,BA.5.1.5,BA.5.2.4,BA.5.2.30,BF.36,CJ.1,BA.5.2.54,BQ.1.3.2,B.1.367,BA.1.16.1,B.1.575.2,B.1.1.217,B.1.280,B.1.491,AY.74,BQ.1.1.11,B.1.208,BQ.1.2.1,BQ.1.12,B.28,B.1.466.1,B.1.1.434,B.1.160.25,B.1.1,A.28,XBB.2.3.8,BQ.1.2.2,CH.1.1.7,CH.1.1.14,BA.2.75,BQ.1.1.62,BF.11.3,B.1.78,BF.34,CS.1,B.1.409,BF.7.24,B.1.91,BA.1.19,B.1.640,AY.7.2,C.1,B.4,B.1.177.83,B.1.177.33,B.1.177.21,BA.2.62,B.1.1.115,BF.29,BF.7.6,BE.1.4.1,BQ.1.9,BF.32,BQ.1.21,BL.4,BA.5.2.29,BA.5.8,BA.2.63,B.1.617.2,XD,BA.1.4,AY.11,AY.43.4,BA.1.3,BF.8,CP.6,BN.1.3.6,BQ.1.26,BG.5,BA.4.2,BF.7.15,CM.5.2,XV,XBB.1.5.11,CM.10,B.1.617.3,AY.23,BV.2,A.27,EG.2,B.1.240.1,XM,B.1.177.48,AY.118,AY.4.2,G.1,B.1.1.243,B.1.596,B.1.1.220,AY.41,BB.1,BA.5.1.7,B.1.1.451,BF.27,BA.2.39,XBB.1.5.69,XBB.1.5.23,CH.1,BM.1,BF.1,CP.3,BA.4.1.10,BA.2.75.10,CH.1.1.23,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.02,,,,0.26,,0.02,0.03,,0.06,,,,0.03,,0.02,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.03,,,,,,,,,,,,,,0.02,0.01,,0.01,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-1,vlq_vd04ad36
12,,0.01,,,,,,,,0.01,,0.03,,,,,,0.02,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,0.02,0.01,0.02,0.01,0.01,,,,,,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,vlq_vd04ad36-12,vlq_vd04ad36
14,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,0.03,,,,,,,,,0.03,,,,,0.01,,,,,0.03,,,,,,,,,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.02,,,0.07,0.07,,,,0.02,0.03,0.02,,,0.03,,,,0.01,,,0.02,,0.01,,,0.02,,,0.01,,0.03,0.03,,,,0.01,,0.02,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-14,vlq_vd04ad36
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.01,,,,,,,0.01,,,,,0.01,0.03,0.76,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,vlq_vd04ad36-16,vlq_vd04ad36
18,0.01,,,,,,,,,,,,,0.03,,,,,,,0.03,0.01,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,0.01,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.03,0.03,,0.02,,,,0.02,,0.01,0.01,,,0.02,,,,,0.01,0.01,0.01,0.01,,,0.01,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,vlq_vd04ad36-18,vlq_vd04ad36
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.5,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,0.02,,,,,,,,0.27,vlq_vd04ad36-20,vlq_vd04ad36
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.01,,,,,,,,,,,,,,,,,,,,,0.08,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,0.03,,0.02,0.01,,,,,,,,,0.01,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,0.01,0.02,0.31,vlq_vd04ad36-23,vlq_vd04ad36
25,,,0.01,0.02,,,,,,,,,,,,0.02,,,,,,0.01,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.05,0.02,0.03,0.02,,,,,0.02,,0.22,0.25,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,vlq_vd04ad36-25,vlq_vd04ad36
27,,,,,,,,0.02,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.04,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.02,,,0.01,,0.02,,,0.03,,0.03,,0.04,,,0.02,,,0.02,,,,,,,0.02,0.03,,,0.02,0.02,,,,,0.03,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,0.02,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,vlq_vd04ad36-27,vlq_vd04ad36
29,,,,,,,,0.03,0.04,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,,,,0.02,,,,0.03,,0.01,,,,0.02,,,,0.01,0.03,,,,0.03,,,0.03,0.02,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.02,,,0.03,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.02,,,,,0.37,vlq_vd04ad36-29,vlq_vd04ad36
