timepoint,BA.5.5.3,XAQ,XM,XV,XJ,XP,BA.1.15.3,BA.1.1.1,BA.1.20,BA.1.17.2,BA.1.3,BA.1.21.1,BA.1.18,BA.1.1,BA.1.17,BA.1.16,BA.1.9,BA.1.19,BA.1.21,BA.1.5,BA.1.6,BA.1.4,BA.1.7,BA.1.12,BA.1,B.1.1.529,BA.1.8,BA.1.23,BA.1.15,BA.1.1.2,BA.1.16.1,BC.2,BA.1.1.3,BA.1.15.1,BA.1.15.2,BA.1.1.18,BA.1.1.14,BA.1.1.9,BA.1.1.7,BA.1.1.10,BA.1.1.15,BA.1.1.12,BA.1.1.11,BA.1.1.6,XF,XAL,BA.3.1,BA.2.19,BA.2.15,XAS,XW,BA.3,XAF,BA.1.14.2,BA.1.14,BA.1.14.1,BA.1.13,BA.1.10,BA.1.13.1,XS,BA.1.1.16,BA.1.1.5,BA.1.1.17,BA.1.1.8,BA.1.1.4,XBB.1.5.8,BE.1.4.4,BE.1.2.1,DW.1,BE.1.3,BE.1.4.1,BE.1.2,BE.1.1,BE.1.4,BE.1,BA.5.2.4,BF.1,BF.17,XBT,BA.5.2,XAU,BA.4.1.1,BA.4.1.5,BA.4.1.9,BA.4.1.4,BA.4.1.6,BA.4.4,XQ,BA.4.8,BA.4.1,XN,XR,BA.4,BA.4.1.8,BA.5.3.4,BA.4.6,BA.4.5,BA.4.1.2,BA.5.9,BA.4.1.10,BA.4.3,BA.2.23,BA.2.43,BA.2.16,BA.5.6.3,BA.5.1.37,BA.5.1.18,BA.5.10.1,BA.5.3.5,BE.13,BE.3,BA.5.1.28,BA.5.11,CS.1,BA.5.10,XAY.1,XAY.3,XAY.2,XAY.1.1,XAY,XBQ,XBK,XBK.1,BF.14,XAB,XAA,BA.2.23.1,XBZ,BA.4.1.3,BA.4.2,XBB.1.5.41,XCA,BA.5.2.9,BA.5.2.23,BA.5.2.10,BA.5.2.26,B.1.617.2,AY.48,BA.1.17.1,B.1.1.207,B.1.1.351,XH,BA.5.1.20,DE.2,DF.1,DF.1.1,XY,XE,AY.43.8,AY.43.2,AY.43.4,AY.43.3,AY.43.7,AY.43.1,AY.43.6,others,sample_name,tool_name
1,,,,,,,,,0.03,0.03,,0.03,0.03,,0.03,,0.03,0.03,0.03,0.03,0.03,,0.03,,0.03,,0.03,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.03,,,,,,,,,,,,,,,,,0.33,freyja_v1.4.3-1,freyja_v1.4.3
3,,0.01,0.01,,,0.01,0.01,,,0.01,,,0.01,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,,,0.01,,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,,,,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.34,freyja_v1.4.3-3,freyja_v1.4.3
5,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,freyja_v1.4.3-5,freyja_v1.4.3
7,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,0.09,0.09,,,,,,,,0.27,freyja_v1.4.3-7,freyja_v1.4.3
9,,,0.04,0.04,,0.01,,0.01,0.01,,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,,0.01,0.01,0.01,,,,0.01,,0.01,0.01,0.01,,0.01,0.01,,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-9,freyja_v1.4.3
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.47,,,,,,,,,,,,,,,0.05,freyja_v1.4.3-12,freyja_v1.4.3
14,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-14,freyja_v1.4.3
16,,0.23,0.23,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,freyja_v1.4.3-16,freyja_v1.4.3
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,0.11,,,0.11,0.11,,,,,,0.08,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-18,freyja_v1.4.3
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,0.05,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,freyja_v1.4.3-20,freyja_v1.4.3
23,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,,,0.02,0.02,,0.02,0.02,,,0.03,0.02,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,0.02,,,,,0.02,,,,,,,,,0.45,freyja_v1.4.3-23,freyja_v1.4.3
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,freyja_v1.4.3-25,freyja_v1.4.3
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.4.3-27,freyja_v1.4.3
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.04,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,,,,,,,,,0.02,0.02,,,,,,,,,,0.71,freyja_v1.4.3-29,freyja_v1.4.3
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.11,0.11,0.11,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,freyja_v1.4.3-31,freyja_v1.4.3
34,,,,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,0.11,,,,,,,,0.43,freyja_v1.4.3-34,freyja_v1.4.3
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,freyja_v1.4.3-36,freyja_v1.4.3
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,freyja_v1.4.3-38,freyja_v1.4.3
40,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,freyja_v1.4.3-40,freyja_v1.4.3
42,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.1,,,,,,,,,0.61,freyja_v1.4.3-42,freyja_v1.4.3
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.4.3-45,freyja_v1.4.3
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,0.03,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,freyja_v1.4.3-47,freyja_v1.4.3
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,0.03,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,0.69,freyja_v1.4.3-49,freyja_v1.4.3
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,0.93,freyja_v1.4.3-51,freyja_v1.4.3
