timepoint,B.1.417,P.4,AU.3,AU.2,BA.3,BA.3.1,XAQ,XM,XV,XJ,B.1.1.67,CU.1,XK,XAS,XAL,BA.2.19,BA.2.15,XW,XAF,XS,BA.1.13,BA.1.14.1,BA.1.3,BA.1.21.1,BA.1.1,BA.1.12,BA.1.19,BA.1.16,BA.1.14,BA.1.22,BA.1.9,BA.1.21,BA.1.5,BA.1.6,BA.1.4,BA.1.7,BA.1.10,BA.1,BA.1.14.2,BA.1.2,BA.1.20,BA.1.1.9,XP,BA.1.16.1,BC.2,BA.1.1.16,BA.1.1.5,BA.1.1.17,BA.1.1.4,BA.1.1.2,BA.1.1.7,XF,BA.1.1.10,BA.1.1.8,BA.1.1.12,BA.1.1.11,BA.1.1.18,BA.1.13.1,BA.1.23,BA.1.1.1,BA.1.8,XBB.1.5.8,DW.1,BE.1.4.4,BE.1.2.1,BE.1.3,BE.1.4.1,BE.1.4,BE.1.2,BE.1.1,BE.1,BA.5.2.4,BF.17,BF.1,XBT,BA.5.2,B.1.1.529,BA.5.2.26,BE.3,BA.5.2.10,BA.5.2.23,XAY,XBK.1,XBQ,XBK,BA.5.11,BF.14,XAU,XR,XAR,XQ,XN,XAB,XAA,BA.2.23.1,BA.2.23,BA.4.1.2,XAK,XAE,MC.32.1,XBZ,BA.5.9,BA.5.10.1,BA.5.10,CS.1,BA.4.1.4,BA.4.1.6,BA.4.2,BA.4.6,BA.4.1.3,BA.5.6.3,BA.4.1.10,BA.4.1.5,BA.4.1.9,BA.4.3,BA.4.1.1,BA.4.1,BA.4,BA.4.8,BA.5.1.28,XBW,XCA,BA.5.2.9,BA.5.3.4,BE.13,B.1.617,AY.48,B.1.617.2,BA.1.17,BA.1.17.2,BA.1.18,BA.1.17.1,BA.1.1.15,BA.1.1.3,B.1.529,B.1.1.351,B.1.1.207,B.1.177.88,BA.5.3.5,BA.5.1.37,BA.5.1.20,XH,XAC,BA.2.16,BA.2.87,XAT,XAP,XZ,XAD,XT,DF.1.1,DE.2,XBD,BA.5.1.18,DF.1,XY,XBB.1.5.41,GU.1,XE,BA.1.1.6,BA.1.1.14,BA.1.15,BA.1.24,BA.1.15.1,BA.1.15.3,BA.1.15.2,AY.43.8,AY.43.2,AY.43.4,AY.43.3,AY.43.7,AY.43.1,AY.43.6,GS.6,XAH,AZ.5,AZ.6,AZ.3,B.1.1.318,AZ.4,XBV,BA.4.1.8,BA.4.4,BA.4.5,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,0.02,,,0.02,,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,0.02,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.04,0.04,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,freyja_v1.5.3-1,freyja_v1.5.3
3,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,0.01,0.01,0.01,,0.01,,0.01,,0.01,0.01,,0.01,0.01,0.01,0.01,,,0.01,0.01,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,0.23,freyja_v1.5.3-3,freyja_v1.5.3
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.07,,,,,0.63,freyja_v1.5.3-5,freyja_v1.5.3
7,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.05,,,0.05,0.05,0.05,0.05,0.05,,,,,,0.09,,,0.09,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.27,freyja_v1.5.3-7,freyja_v1.5.3
9,,,,,0.04,0.04,,0.04,0.04,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-9,freyja_v1.5.3
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-12,freyja_v1.5.3
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,freyja_v1.5.3-14,freyja_v1.5.3
16,,,,,,,0.22,0.22,0.22,0.22,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-16,freyja_v1.5.3
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-18,freyja_v1.5.3
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,freyja_v1.5.3-20,freyja_v1.5.3
