timepoint,BA.2,BA.2.12.1,BA.2.56,BA.4,BA.4.1,BA.5,BA.5.1,BA.5.1.22,BA.5.2,BA.5.2.1,BA.5.5,BE.1,BE.1.1,BE.1.4,BF.1,BF.12,BF.14,BA.1.1,BA.1.1.1,BA.2.3,BA.2.9,BA.2.75.1,BA.4.6,BA.5.1.2,BA.5.1.23,BA.5.2.20,BA.5.2.26,BA.5.2.27,BA.5.2.3,BA.5.9,BE.1.1.2,BF.5,BF.7,BM.1.1,BA.4.1.2,BA.5.3,BA.5.1.5,BN.2,BA.2.3.20,BA.2.75.5,BA.5.1.3,BA.5.2.58,BA.5.2.6,BL.1,BM.1.1.3,BN.1,BN.1.3,BR.3,CM.5,AY.43,AY.46.6,B.1.617.2,BA.1,BA.1.17,BA.1.17.2,BA.1.18,BF.11,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,CH.1.1,XBB.1,B.1.1.529,BA.1.15,BA.5.1.10,BF.11.3,BF.7.22,BF.7.24,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,BQ.1.5,XBB,XBF,BA.1.20,XBB.2,BA.2.75.2,BA.5.1.30,BF.7.19,BQ.1.1.7,BQ.1.10,BA.2.36,BQ.1.1.23,BA.2.13,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.03,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,0.18,0.19,0.09,0.11,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-1,simulation,Ex22_02_realTimecourse_simul-1,2021-12-29,1499.9804033040164,8696.178790439963,12.122529512089088,59.9998
3,0.15,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.03,0.17,0.22,,0.08,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,simul-3,simulation,Ex22_02_realTimecourse_simul-3,2022-01-12,1485.9009129518777,9973.420898622953,8.694779787981139,59.9999
5,0.5,,,,,,,,,,,,,,,,,0.17,0.02,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.11,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex22_02_realTimecourse_simul-5,2022-01-26,1469.5040965789385,13166.657892013562,8.256696652509781,60
7,0.52,,,,,,,,,,,,,,,,,0.23,0.02,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.02,0.03,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex22_02_realTimecourse_simul-7,2022-02-09,1512.84459753202,13157.38397165974,3.6852489716750827,60
9,0.29,,,,,,,,,,,,,,,,,0.33,0.05,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.01,0.06,0.02,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex22_02_realTimecourse_simul-9,2022-02-23,1505.6104738654985,12200.793402149044,5.975989031200883,60
12,0.4,,,,,,,,,,,,,,,,,0.19,0.02,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex22_02_realTimecourse_simul-12,2022-03-16,1462.3572216834432,10010.808650220068,8.079456910677859,59.9995
14,0.64,,,,,,,,,,,,,,,,,0.14,0.01,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex22_02_realTimecourse_simul-14,2022-03-30,1502.0468514864729,7688.530910006291,6.026151222285389,60
16,0.67,0.04,,,,,,,,,,,,,,,,0.04,0.01,0.03,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex22_02_realTimecourse_simul-16,2022-04-13,1463.6060930341437,12436.95866074798,5.945891716550179,60
18,0.64,0.02,,,,,0.01,,,,,,,,,,,0.01,,0.01,0.22,,,,,,,,,,,,,,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-18,simulation,Ex22_02_realTimecourse_simul-18,2022-04-27,1493.5961943617697,7852.568461670527,10.6878908470722,60
20,0.61,0.11,0.01,0.03,,,,,,,,,,,,,,,,0.03,0.19,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-20,simulation,Ex22_02_realTimecourse_simul-20,2022-05-11,1489.7176871885763,7336.218264118912,17.369494699528477,60
