timepoint,,A.23.1,AV.1,AY.4.2,B.1.1.318,B.1.1.529,B.1.1.7,B.1.525,B.1.617.2,B.1.617.3,B.1.621,B.1.623,BA.1,BA.2,BA.2.75,BA.2.86,BA.3,BA.4,BA.4.6,BA.5,C.36.3,C.37,CH.1.1,EG.5.1,JN.1,P.1,P.3,XBB,XBB.1.16,XBB.1.5,XD,XE,others,sample_name,tool_name
1,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,0.0,lollipop_v0.3.0-1,lollipop_v0.3.0
3,,,,,,0.74,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-3,lollipop_v0.3.0
5,,,,,0.25,,,,,,,,0.22,,,,0.02,,,,,,,,,,,,,,,0.51,0.0,lollipop_v0.3.0-5,lollipop_v0.3.0
7,,,,,,0.26,,,,,,,0.29,,,,,,,,,,,,,,,,,,0.45,,0.0,lollipop_v0.3.0-7,lollipop_v0.3.0
9,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.0,lollipop_v0.3.0-9,lollipop_v0.3.0
12,,,0.01,,0.03,0.85,0.03,,,,0.03,,,,,,,,,,,,,,,,,,,,0.03,,0.01,lollipop_v0.3.0-12,lollipop_v0.3.0
14,,,,,0.04,0.9,0.02,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,0.01,lollipop_v0.3.0-14,lollipop_v0.3.0
16,,,0.01,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.0,lollipop_v0.3.0-16,lollipop_v0.3.0
18,,,,,,0.96,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-18,lollipop_v0.3.0
20,,,,,,0.86,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-20,lollipop_v0.3.0
23,,,,,,0.66,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-23,lollipop_v0.3.0
25,,,,,,0.98,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-25,lollipop_v0.3.0
27,,,,,,0.82,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-27,lollipop_v0.3.0
29,,,,,0.06,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-29,lollipop_v0.3.0
31,,,,,,0.94,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,0.02,lollipop_v0.3.0-31,lollipop_v0.3.0
34,,,,,,0.95,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-34,lollipop_v0.3.0
36,,,,,,0.94,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.04,lollipop_v0.3.0-36,lollipop_v0.3.0
38,,,,,,0.91,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-38,lollipop_v0.3.0
40,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.09,0.03,0.04,lollipop_v0.3.0-40,lollipop_v0.3.0
42,,,,,,0.97,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-42,lollipop_v0.3.0
45,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,lollipop_v0.3.0-45,lollipop_v0.3.0
47,,,,,,,,,,,,,,,0.4,,,0.28,,0.28,,,,,,,,,,,0.02,,0.01,lollipop_v0.3.0-47,lollipop_v0.3.0
49,,,,,,0.98,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.0,lollipop_v0.3.0-49,lollipop_v0.3.0
51,,,,,,0.97,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.01,lollipop_v0.3.0-51,lollipop_v0.3.0
