timepoint,BF.5,BA.5.9,B.1.1.529,BU.2,BN.1.3.5,BW.1.1.1,BF.7.19.1,CT.1,BQ.1.1.11,BA.1.1.14,CU.1,BN.1,XAW,BQ.1.1.4,BA.5.2.53,B.1.409,BF.7.24,BA.5.2.29,BA.2.9.7,BA.1.17,BA.1.1.18,BA.1.15.1,BA.1.1.15,BA.2.17,AY.118,BA.1.4,BA.1.16,B.1.1.243,B.1.1.217,A,B.1.1.435,B.1.596,AD.2,B.1.177.83,B.1.280,XBB.2.3.5,EK.2,XBB.1.5.54,FK.1.2,BQ.1.1.64,BA.2.3.22,CH.1.1.7,CH.1.1.9,B.1.491,AY.43.4,BF.7,BF.38,BF.26,BF.7.6,BA.5.1.11,BA.5.2.21,BF.20,B.1.1.220,BA.5.1.4,BQ.1.33,CM.10,CP.6,BQ.1.1.41,BR.1.2,BQ.1.19,B.1.78,AY.28,DC.1,BE.4.2,DB.2,B.1.36.22,BE.6,BA.2.75.4,AY.4.14,BA.2.75.3,BF.23,BA.5.3.4,B.1.626,BA.1.10,AY.41,AY.4.1,BB.1,BF.17,BA.5.1.31,BA.5.1.7,P.1.1,BK.1,P.1.14,B.1.1.522,P.6,P.3,C.17,AH.2,B.1.1.451,XBB.2.3.8,XBB.1.37.1,CM.5.2,BQ.1.1.49,XBB.1.38,BF.14,BA.5.2.30,BF.39,BF.27,BF.21,BQ.1.30,CM.8.1.2,BE.9,BM.2.1,BN.1.1,DL.1,BE.1,BA.5.2.54,EQ.1,BE.11,BQ.1.14,CA.3,BF.16,BF.13,BA.2.10.4,BA.5.2.36,BA.4.1,AY.71,AY.106,BA.2.62,AY.4.3,XG,BA.3,BA.5.1.8,B.1.1.115,BF.29,B.1.1.176,BN.1.3.10,XBB.1.24,XBB.1.28,FV.1,CH.1.1.22,XBT,CH.1.1.26,DT.2,XBB.1.35,EJ.2,XBM,B.1.44,BF.24,BA.5.1.1,BF.36,XAR,BS.1.1,CA.7,BN.1.2.1,BA.4.5,BA.2.60,BA.2.54,BA.2.41,XY,BA.2.9.4,BA.2.44,XAB,BA.2.3.15,BA.2.25,BA.1.18,BA.2.28,BQ.1.9,BQ.1.1.47,BE.7,BA.5.1.28,BQ.1.1.21,BF.11.3,BM.2,BA.4.6.3,CH.1,BQ.1.5,BM.1,BA.5.1.18,XZ,BA.2.73,BA.1.20,BF.1,BA.2.57,BA.2.72,BA.3.1,BA.1.21,BA.1,BQ.1.28,FL.6,BQ.1.2.2,XBB.1.9.3,EK.4,BY.1.1,EK.3,CN.2,XBK.1,ED.1,BA.5.1.25,BE.3,AY.74,BT.2,BA.1.24,BA.1.1.11,BA.2.21,AY.7.1,AY.122.1,BA.2.63,BA.2.3.9,XP,AY.46.5,AY.43.8,BA.1.9,BA.1.1.16,BA.2,AY.11,XBF.7,BA.1.3,XAG,BA.2.19,XBB.1.29,CH.1.1.25,CM.8.1,BQ.1.13.1,BN.1.2.3,BN.1.4,BQ.1.13,BA.5.6.4,BQ.1.1.3,BA.5.2.59,BA.5.3,BA.2.67,XBB.1.36,XBL.1,FD.4,DY.3,BN.1.2.5,XBB.1.5.19,ER.1.1,CH.1.1.6,BQ.1.1.38,BQ.1.1.62,XBJ.2,BQ.1.23,CP.3,BA.5.10.1,BQ.1.1.57,BQ.1.3.1,CS.1,BQ.1.3.2,BH.1,BQ.1.2.1,BQ.1.12,BL.4,BA.2.75.5,BA.4.1.10,BA.2.75.10,BG.5,BA.4.3,BA.2.10.3,BA.2.10,EY.1,CH.1.1.23,BF.10,XBN,BQ.1.1.72,DE.2,BR.3,BQ.1.15,BA.2.3.14,BA.2.3.10,BF.3.1,B.1.439,FY.3,CM.6.1,BQ.1.1.68,BE.1.4,BA.4.1.1,BA.2.68,XBB.2.3.11,XBB.1.5.40,XBB.1.5.8,FL.4,BQ.1.6,BU.3,CK.2.1.1,BV.1,BG.2,BA.5.1.3,BA.4.1.2,XJ,BA.2.37,BF.18,B.1.160.28,B.1.160.11,XBB.1.16.4,XBB.1.5.63,DU.1,CH.1.1.14,BA.2.38.2,B.1.617.3,AY.23,XV,B.1.1.528,BV.2,B.1.480,B.1.466.1,B.1.1.218,A.27,EG.2,B.1.240.1,BA.2.75,XM,B.1.177.48,B.1.621,BQ.1.7,AY.30,AK.2,B.1.177.21,B.1.1.231,XBC.1.1,B.1.332,BF.34,BQ.1,B.1.640,AY.7,AY.7.2,AY.25,AK.1,B.28,C.1,B.4,B.1.177.33,A.28,BF.7.15,EH.1,BF.8,XBF,BN.1.3.6,BM.5,XBD,BA.2.78,XAL,XBB.1.22,XBB.1.5.33,XBB.1.5.11,CH.1.1.4,BE.1.3,AY.44,XBB.2.3.6,FC.1,BQ.1.1.65,BE.13,BN.1.8,BA.5.2.4,CJ.1,B.1.367,B.1.575.2,B.1.1.99,B.1.177.84,BN.1.7,XBB.2.8,BA.2.32,BF.32,BA.5.8,BA.2.39,XBB.1.5.69,XBB.1.5.23,BA.4.1.5,BQ.1.26.2,XBB.1.4.1,CM.5.1,B.1.208,B.1.1.434,B.1.160.25,XAN,BA.4.2,others,sample_name,tool_name
1,,,0.02,,,,,,,,,,,,,,,,,0.18,0.03,,,,,,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.01,,,0.01,,,,,,0.01,0.02,0.01,,0.01,,,,,,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.02,0.01,0.03,0.01,0.03,,,,,,,,,,,,,,,,,,0.36,vlq-1,vlq
3,,,,,,,,,,0.02,,,,,,,,,,,,,0.02,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.03,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,0.03,,,0.02,0.01,,0.03,0.01,0.01,0.01,,0.03,,0.04,,0.04,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,vlq-3,vlq
5,,,,,,,,,,,,,,,,,,,,0.07,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.02,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.01,0.02,0.06,0.02,0.01,0.01,,0.02,0.01,0.02,0.02,,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,vlq-5,vlq
7,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.02,,,,,,,,,,,0.15,0.14,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,0.02,0.03,,0.01,0.07,0.02,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,vlq-7,vlq
9,,,,,,,,,,,,,,,,,,,,0.41,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,0.14,vlq-9,vlq
12,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,0.02,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,0.01,0.01,,,,0.04,,,,,,,,0.02,,,,,0.03,,,,,,0.03,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,,0.41,vlq-12,vlq
14,,,,,,,,,,0.03,,0.03,,,,,,,,0.02,,0.02,0.03,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,0.01,,,,,,,,,,,,,0.01,0.03,,,,,0.02,,,,,,,0.01,0.02,,,,0.01,,,,0.02,,0.01,,,0.03,0.03,,,,,0.01,,,,0.02,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,0.02,0.03,0.02,,,,,,0.3,vlq-14,vlq
16,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,0.04,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,vlq-16,vlq
18,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.03,,,0.03,0.02,,,,,,,,,,,,,0.02,,,,,,,0.02,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,0.02,0.03,0.02,0.02,0.02,,,0.01,0.02,0.02,,,,0.01,0.01,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,vlq-18,vlq
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,0.02,,,,,,,,,,0.29,vlq-20,vlq
