timepoint,XAG,BA.5.1.4,B.1.1.529,BN.1.3.5,BW.1.1.1,CH.1.1.2,XBN,DL.1,XBB.1.4.1,CT.1,BE.7,BQ.1.1.21,CV.1,CD.2,BA.4.6.3,BA.5.2.62,BR.3,BA.5.2.39,CL.1,BF.11.4,BQ.1.2.1,BA.5.2.53,BQ.1.16,BA.5.2.14,BF.11.5,BA.5.2.32,BA.2.38.4,BL.4,BF.7.24,BA.5.2.29,BA.2.75.10,BA.5.8,BF.4,BA.5.2.1,BA.1.24,AY.30,BA.1.17.2,BA.1,BA.1.20,BA.2.3.14,BA.1.1.15,BA.2.57,BA.2.9.4,Q.6,AY.71,XAH,BA.1.19,BA.1.1.4,BA.2.52,BA.2.9.1,BA.1.10,BA.3.1,BA.1.1.3,BA.1.1.16,BA.1.1.11,BA.2.16,BA.1.6,BF.15,B.1.466.1,B.1.534,B.1.177.64,EL.1,XBB.2.3.5,FL.6,XBB.1.5.50,XBB.1.28.1,BA.5.5.3,FT.1,XBL.1,EK.4,XBB.1.5.2,BY.1.1,CN.2,BN.1.3.10,XBT,ED.1,CR.1.3,XBB.1.35,BA.5.2.63,B.1.1.178,BA.5.1.25,BE.3,BQ.1.1.28,CK.2,B.1.1.317,B.1.1.427,BN.3,BQ.1.1.10,BQ.1.5,BA.5.2.59,B.1.91,BA.2.9.7,BA.2.13.1,BA.2.3.6,BA.5.2.28,BA.1.14.2,BA.2.9,BA.2.39,BA.1.1.14,AZ.5,BF.14,A.30,B.1.1.404,B.1.1.430,B.1.1.301,B.1.1.222,B.1.1.435,C.17,B.1.1.286,B.1.1.420,B.1.1.219,B.1.177.83,B.1.1.415,FL.2.1,XBB.2.3.8,FV.1,FL.1.2,B.1.1.325,FN.1,XBB.1.16,DN.1.1.2,DV.4,XBB.1.5.57,EP.2,DT.1,B.1.1.394,CH.1.1.7,CH.1.1.9,B.1.1.31,D.4,BA.5.1.26,BA.5.2.24,B.1.1.220,BQ.1.1.47,CP.3,BF.11.3,B.1.1.425,BN.1,BA.5.6.4,BH.1,BA.5.1.18,XU,BA.2.73,B.1.626,AY.46.5,BA.1.13,B.1.1.83,B.1.1.198,B.1.1.253,B.1.1.10,B.1.1.141,B.1.160.25,AH.2,B.1.1.451,B.1.1.189,A.28,B.1.1.519,B.1.36.35,CH.1.1.12,B.1.1.421,B.1.1.231,AY.2,BA.5.2.10,BF.26,BF.7.6,BF.36,B.1.214.3,BA.2.28,BR.5,XBB.2.2,B.1.36.23,BQ.1.1.72,CH.1.1,BM.2,CU.1,BA.2.75.4,BA.2.10.4,BA.5.3,BD.1,AY.53,AY.75,BA.2.44,AY.25,AY.103,BF.3.1,B.1.36.16,B.1.480,P.6,P.1.12,B.1.1.204,B.1.218,B.1.1.379,XBB.1.16.2,EY.1,XBB.1.22.2,FK.1.2,BQ.1.27,CH.1.1.23,XBF.7,BN.1.10,BA.2.40,CM.8.1.2,CZ.2,DM.1,BQ.1.1.69,B.1.78,B.1.416,BF.1,BA.1.5,BA.1.1.13,B.1.1.422,AY.50,BQ.1.1.34,B.1.120,BF.24,BA.5.9,EA.2,BF.7.19.1,B.1.575,BN.1.2,BM.1.1.1,DC.1,DB.2,B.1.1.267,BF.23,BA.2.60,BA.2.54,AY.125.1,BF.17,BA.5.2.5,A.21,B.1.439,AK.2,B.1.575.1,B.1.221.4,B.1.160.30,B.1.258.17,EG.5,CH.1.1.20,XBC.1.1,BF.7.14.5,BQ.1.1.54,B.1.332,BF.38,BE.1.3,BA.2.19,BQ.1.33,CH.1.1.25,BQ.1.1.11,BF.11.2,BR.1.2,B.1.208,BQ.1.1.3,B.1.1.431,BA.2.41,BA.5.1.31,B.1.1.243,B.1.1.434,B.1.1.374,FD.1.1,XBF.7.1,XBB.1.5.52,XAY.2.2,CH.1.1.6,XAK,BN.1.2.1,B.1.471,B.1.160.23,AY.84,BF.20,B.1.398,EG.1.4,CM.10,AY.80,AY.4,AY.59,BB.1,XBB.2.3.11,XBB.1.5.40,B.1.362.1,BQ.1.1.17,XAW,B.1.227,BF.13,BA.5.2.57,B.1.640,AY.7,B.1.617.1,BA.1.1.8,B.1.387,C.1,AY.43.9,B.4,B.1.177.33,B.1.111,CM.6.1,XBC.1.2,XAR,XBB.1.14,BY.1.1.1,BN.3.1,BQ.1.1.23,B.1.1.279,CP.1.1,BL.3,BA.2.12.1,BA.1.18,BA.1.1.18,AY.122.2,B.1.632,B.1.177.65,B.1.160.8,B.1.523,EW.1,DY.3,BQ.1.1.64,XBF.9,XBR,BF.27,B.1.618,CH.1.1.28,FA.2,XBB.4,BA.5.1.28,BA.2.78,AY.4.1,FY.2,BA.5.2.19,BA.5.1.16,BJ.1,BF.21,BA.4.1.2,AY.122.4,C.19,FR.1,XBS,CH.1.1.27,XBB.1.17.2,B.1.1.100,BQ.1.13.1,CR.1,BA.4.6.2,BQ.1.1.13,BF.7.10,B.1.151,BA.5.2.6,B.1.1.5,B.1.1.61,B.1.596,XBB.2.3.1,BQ.1.1.60,BE.1.4.2,BA.5.12,BQ.2,BQ.1,BA.4.3,BF.7.13,XBB.1.38,BA.5.5.2,AT.1,B.1.36.1,EW.2,BQ.1.31,BA.5.5,BA.2.10.3,BA.5.2.48,BA.5.5.1,XBB.1.5.60,CP.2,BQ.1.23,BQ.1.11,BQ.1.1,BA.5.2.3,B.1.427,BA.5.11,BF.7.11,BA.2.3.10,BA.1.22,B.1.1.232,AD.2,B.1.1.395,B.1.460,BA.5.2.7,BQ.1.26.2,B.1.621.1,AY.4.6,XA,B.1.177,XBC.1.6,BQ.1.1.53,AY.123.1,BA.1.4,AY.39.1.2,AY.27,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.16,0.23,,,,,,0.04,,,,,,,,0.11,0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.08,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,0.02,0.03,0.01,0.02,0.11,vlq_vd04ad36-1,vlq_vd04ad36
12,0.01,,0.02,0.01,0.03,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,0.02,,,0.02,0.02,,,,,,,,0.01,,,,,0.01,,0.02,,,,,,,,0.01,,,,,,,,,,0.01,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.03,,,,,,,,,,,,0.5,vlq_vd04ad36-12,vlq_vd04ad36
14,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.02,,,,,,,0.02,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.03,0.03,,,,,0.03,0.02,,,,,,,,,0.03,0.01,0.01,0.02,0.01,0.02,0.01,,,,,0.26,vlq_vd04ad36-14,vlq_vd04ad36
16,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,,,,0.03,,,,,,,,,,,0.02,,,,0.01,,,0.01,0.48,0.02,0.02,0.01,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-16,vlq_vd04ad36
18,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.03,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,0.03,0.02,,,,0.02,,,0.06,,,,0.01,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-18,vlq_vd04ad36
20,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.02,,,,0.03,,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.03,,,,,,,,,,,0.02,0.02,0.02,0.01,0.03,0.01,,0.02,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,vlq_vd04ad36-20,vlq_vd04ad36
23,0.02,,0.01,,,0.02,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.01,0.03,0.03,,,,0.01,,0.01,,0.19,,,,,0.05,,0.02,,,,,0.01,,,,0.02,0.02,0.02,,0.02,,0.02,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-23,vlq_vd04ad36
25,,,,,,,,,,,,,,,0.04,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.02,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.02,,,,,0.03,,,,0.02,,0.02,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-25,vlq_vd04ad36
27,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.02,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,,,,,0.01,0.02,0.02,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-27,vlq_vd04ad36
29,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,vlq_vd04ad36-29,vlq_vd04ad36
