timepoint,A.23.1,AV.1,B.1.1.7,B.1,B.1.1,B.1.1.318,B.1.177,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.427,P.1,B.1.526,B.1.617.1,C.37,P.3,P.2,others,sample_name,tool_name
1,,,0.36,,,,,,,,,0.64,,,,,,,,0.0,lcs-1,lcs
12,,,0.03,,0.18,,0.04,,0.06,,,,,0.01,,0.05,0.61,,,0.01,lcs-12,lcs
14,,,0.05,0.1,0.1,,0.1,,0.06,0.1,0.1,,,,0.1,0.04,0.1,,0.1,0.05,lcs-14,lcs
16,,,,0.13,0.13,,0.13,,,,0.13,0.13,0.11,,0.13,,,0.03,,0.1,lcs-16,lcs
18,0.03,,,,,0.96,,,,,,,,,,,,,,0.01,lcs-18,lcs
20,0.1,0.24,,0.1,0.1,,,0.1,,0.1,0.1,,,,,,,,0.1,0.06,lcs-20,lcs
23,,0.37,,0.01,0.26,,,,,,,,,0.04,,,0.16,,,0.16,lcs-23,lcs
25,,,,,0.98,,,,,,,,,0.01,,,,,,0.01,lcs-25,lcs
27,,,0.03,,,,,0.19,,,,,,,,0.39,0.39,,,0.01,lcs-27,lcs
29,,,,,0.3,0.02,,,,,,,,,,,0.67,,,0.01,lcs-29,lcs
3,,,0.15,0.08,0.08,,,,0.14,0.14,,0.36,,,,,,,,0.04,lcs-3,lcs
31,,,,0.09,0.09,,0.09,,0.32,,,0.12,,,0.05,,,0.17,,0.05,lcs-31,lcs
34,,0.08,,,0.91,,,,,,,,,,,,,,,0.01,lcs-34,lcs
36,,,,,,,,,,,0.97,,0.02,,,,,,,0.01,lcs-36,lcs
38,,,,0.21,0.21,,,,,,,0.04,,,0.34,,0.07,,,0.13,lcs-38,lcs
40,,,,,,,,,,,,0.14,,,,,,0.85,,0.01,lcs-40,lcs
42,,,,,,0.41,,,,0.09,,,,,,,,0.5,,0.01,lcs-42,lcs
45,,,0.73,0.24,,,,0.01,,,,,,,,,,,,0.02,lcs-45,lcs
47,0.12,,,0.12,0.12,0.12,0.12,0.12,,,0.12,0.03,,,,0.02,,0.01,,0.09,lcs-47,lcs
49,,,,0.16,0.16,,0.16,,,,,0.16,0.16,,,,,0.09,,0.1,lcs-49,lcs
5,,0.16,,,,,,0.02,0.23,0.53,,,,,0.05,,,,,0.01,lcs-5,lcs
51,,,0.02,,0.39,,,,,,0.39,,,,,,0.19,,,0.02,lcs-51,lcs
7,,,,0.07,0.07,0.07,0.07,0.07,,0.07,0.07,,0.07,0.07,0.07,0.07,,0.07,0.07,0.05,lcs-7,lcs
9,,0.95,,,,,,,,,,,,0.03,,,,,,0.02,lcs-9,lcs
