timepoint,AV.1,B.1.1.7,B.1.1,B.1.617.3,B.1.621,B.1.623,B.1.617.2,P.1,B.1.526,C.37,P.3,others,sample_name,tool_name
1,0.11,0.01,0.36,0.03,,0.03,0.13,0.05,,0.25,0.01,0.02,lcs_vcfc2f02-1,lcs_vcfc2f02
107,0.1,0.01,0.42,,,0.05,0.11,0.02,,0.22,0.02,0.04,lcs_vcfc2f02-107,lcs_vcfc2f02
122,0.08,,0.45,0.02,,0.06,0.14,0.02,,0.18,0.04,0.03,lcs_vcfc2f02-122,lcs_vcfc2f02
137,0.05,0.01,0.51,0.03,0.06,0.01,0.08,0.01,,0.21,,0.02,lcs_vcfc2f02-137,lcs_vcfc2f02
153,0.14,0.01,0.37,0.04,,0.03,0.13,0.02,,0.21,0.02,0.02,lcs_vcfc2f02-153,lcs_vcfc2f02
16,0.07,,0.37,0.03,,0.03,0.12,0.03,,0.3,0.02,0.04,lcs_vcfc2f02-16,lcs_vcfc2f02
168,0.17,,0.37,0.03,,0.01,0.09,0.03,,0.24,0.03,0.03,lcs_vcfc2f02-168,lcs_vcfc2f02
183,0.09,0.02,0.41,,,0.08,0.12,0.02,,0.21,0.02,0.02,lcs_vcfc2f02-183,lcs_vcfc2f02
198,0.11,0.01,0.43,0.01,,0.05,0.11,0.05,,0.18,0.02,0.03,lcs_vcfc2f02-198,lcs_vcfc2f02
213,0.13,0.02,0.31,0.02,,0.04,0.15,0.02,,0.23,0.06,0.02,lcs_vcfc2f02-213,lcs_vcfc2f02
229,0.09,0.01,0.3,0.04,,0.02,0.12,0.03,0.05,0.3,0.03,0.03,lcs_vcfc2f02-229,lcs_vcfc2f02
244,0.1,,0.38,0.04,,0.04,0.15,0.02,,0.22,0.03,0.04,lcs_vcfc2f02-244,lcs_vcfc2f02
259,0.1,0.01,0.38,0.05,,0.03,0.09,0.02,,0.25,0.03,0.03,lcs_vcfc2f02-259,lcs_vcfc2f02
274,0.09,,0.42,0.03,,0.03,0.1,0.02,0.02,0.22,0.05,0.03,lcs_vcfc2f02-274,lcs_vcfc2f02
289,0.13,0.02,0.36,0.04,,0.02,0.13,0.02,,0.24,0.02,0.02,lcs_vcfc2f02-289,lcs_vcfc2f02
305,0.13,,0.43,0.02,,0.03,0.08,0.04,,0.23,0.03,0.02,lcs_vcfc2f02-305,lcs_vcfc2f02
31,0.18,,0.31,,,0.06,0.12,0.03,,0.24,0.02,0.04,lcs_vcfc2f02-31,lcs_vcfc2f02
320,0.09,0.01,0.41,,,0.03,0.09,0.04,,0.27,0.02,0.03,lcs_vcfc2f02-320,lcs_vcfc2f02
335,0.14,0.01,0.46,0.02,,0.03,0.07,0.04,,0.17,0.03,0.03,lcs_vcfc2f02-335,lcs_vcfc2f02
350,0.11,0.02,0.41,0.05,,0.02,0.09,0.02,,0.23,0.01,0.02,lcs_vcfc2f02-350,lcs_vcfc2f02
366,0.09,0.02,0.46,0.02,,0.07,0.07,0.02,,0.21,0.01,0.02,lcs_vcfc2f02-366,lcs_vcfc2f02
46,0.12,0.01,0.49,0.01,,0.01,0.14,0.02,,0.16,0.02,0.01,lcs_vcfc2f02-46,lcs_vcfc2f02
61,0.12,0.01,0.45,0.04,,0.02,0.11,0.02,,0.18,0.02,0.02,lcs_vcfc2f02-61,lcs_vcfc2f02
77,0.14,0.01,0.42,0.03,,0.04,0.1,0.01,,0.21,0.01,0.02,lcs_vcfc2f02-77,lcs_vcfc2f02
92,0.09,,0.53,,,0.03,0.1,0.02,,0.17,0.02,0.04,lcs_vcfc2f02-92,lcs_vcfc2f02
