timepoint,B.1.1.529,BM.2.1,XBB.1.29,XBB.2.5,XBB.2.2,XBB.1.4.1,XBB.1.9,XBB.1.15,XBB.1,B.1.36.22,BF.23,XBB.1.5.31,EL.1,FL.2.1,FL.2.2,XBB.2.3.5,XBB.2.3.11,XBB.1.28,XBB.3.4,FW.1,XBB.1.28.1,XBB.1.16.2,XBB.1.36,FY.2,XBB.2.3.2,FT.1,XBB.1.40,XBB.1.25,XBB.2.9,XBB.1.9.3,EG.2,FG.2,XBB.1.5.59,XBB.1.22,EK.4,GA.2,EU.1.1.1,XBB.1.5.43,XBB.1.5.23,FL.9,XBB.1.5.54,EU.1,FL.10,EK.3,XBB.1.5.62,FD.4,XBB.1.9.1,XBB.1.5.16,XBB.1.5.21,XBB.1.5.19,XBB.1.38,XBB.1.9.4,XBB,DE.2,XAN,XBB.1.5.22,FH.1,XBB.1.5.18,BN.1.1,BA.5.1.32,BA.5.2.39,XBB.2.3.3,XBB.2.3.7,XBB.2.3,AY.16.1,XBB.1.16.6,XBB.1.16,XBB.3.2,BQ.1.1.54,XBB.1.32,BE.4.1.1,B.1.544,BA.5.1.8,FL.8,EE.1,XBB.1.5.17,BA.5.3.5,AY.63,BA.2.2,B.1.177.83,BR.2,B.1.1.208,B.1.617,B.1.1.280,FD.2,FD.3,B.1.1.486,BA.4.2,B.1.1.145,AY.112.1,others,sample_name,tool_name
1,,,,,,,0.24,,,,,,,0.01,,,,,,,,,,,,,,0.01,,0.03,0.01,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-1,vlq_vd04ad36
107,0.01,,0.02,,,,,0.02,,,,,,,,,,,0.02,,,,,0.01,,0.01,,,,,,0.03,0.02,0.01,0.01,,,0.03,,,,,,0.01,0.02,,0.11,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,,,,,,,,,,0.01,,0.02,,,0.01,0.01,,,,,,,,,,0.01,,,,,,,0.01,,0.36,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.02,,,,,,,0.53,vlq_vd04ad36-122,vlq_vd04ad36
137,,,0.01,0.01,,,,,,,0.01,0.03,,,,,,,0.02,,,,,,,,,,,,,,0.01,,,,,0.05,,,,0.01,,,,0.02,,,0.01,0.01,0.02,,,,,0.04,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,,0.62,vlq_vd04ad36-137,vlq_vd04ad36
153,,0.02,,0.02,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.01,,,,,0.03,0.01,,0.01,,,,0.03,,,,0.02,,,,,,0.01,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,0.36,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.16,,,,,,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.4,vlq_vd04ad36-16,vlq_vd04ad36
168,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,0.01,,,,0.01,,,,,,0.31,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,0.02,,,,,,,,,,,,0.52,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,0.01,0.01,0.22,0.16,,,,,,,,,,,,,,,,0.02,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.51,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.01,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.35,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,0.52,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.61,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.33,vlq_vd04ad36-213,vlq_vd04ad36
229,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,0.36,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,0.02,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.67,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,0.26,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,,,,,,,,,,0.01,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.54,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,0.07,0.27,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.09,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,0.3,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,,0.04,0.35,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,0.04,,,0.01,,,,,,0.01,,,0.04,,,,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,0.37,vlq_vd04ad36-31,vlq_vd04ad36
320,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,0.73,,,,,,,,,,,,,,,,,,,,,,,,0.22,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,0.02,,,,,,,,0.17,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,0.02,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,0.02,,,,,,,,,0.25,vlq_vd04ad36-366,vlq_vd04ad36
46,,,,,,,0.21,,,,,,,,,,,,0.02,,,,,,,,,0.02,,0.09,,,,,,,,,,0.01,,,0.02,,,,0.16,,,,,0.03,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,0.41,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,,,,0.07,,,0.02,,,,,,,,,0.01,,0.02,,,,,,,,,0.12,,,,,,,,,,0.01,,,0.28,,,,0.08,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,,,,0.54,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-77,vlq_vd04ad36
92,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,,0.04,,0.01,,0.23,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,0.4,vlq_vd04ad36-92,vlq_vd04ad36
