timepoint,XBB.1.5.43,B,B.1,XBB.1.28,XBB.1.9,XBB.1.37,B.11,XBB.1.22,XBB,XBB.1.5.24,XBB.1,B.23,XBB.2.3.3,XBB.2.3.11,XBB.2.3,XBB.2.4,XBB.1.16.3,XBB.1.5,XBB.1.5.15,XBB.1.5.22,XBB.1.5.40,XBB.1.5.28,XBB.1.16,XBB.2.3.6,XBB.2.3.10,others,sample_name,tool_name
1,,0.02,,,0.97,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-1,freyja_v1.4.3
16,,0.02,,,0.97,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-16,freyja_v1.4.3
31,,0.02,,,0.97,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-31,freyja_v1.4.3
46,,0.02,0.01,,0.97,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-46,freyja_v1.4.3
61,,0.02,,,0.97,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-61,freyja_v1.4.3
77,,0.02,,,0.95,,,0.01,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-77,freyja_v1.4.3
92,,,,,0.8,,,0.01,,0.1,0.06,0.02,,,,,,,,,,,,,,0.01,freyja_v1.4.3-92,freyja_v1.4.3
107,0.76,0.02,,,0.19,0.02,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-107,freyja_v1.4.3
122,0.96,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-122,freyja_v1.4.3
137,,0.02,,,,0.01,,,0.02,,,,,,,,,0.38,0.28,0.26,0.01,0.01,,,,0.01,freyja_v1.4.3-137,freyja_v1.4.3
153,,0.02,0.01,0.01,,,,,,,,,,,,,,0.94,,,,,,,,0.01,freyja_v1.4.3-153,freyja_v1.4.3
168,0.97,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-168,freyja_v1.4.3
183,,0.02,,,,,,,,0.92,,,0.05,,,,,,,,,,,,,0.01,freyja_v1.4.3-183,freyja_v1.4.3
198,0.48,0.02,,,,,,,,,,,0.48,,,,,,,,,,,,,0.02,freyja_v1.4.3-198,freyja_v1.4.3
213,0.04,0.02,,,,,,,,,,,,,,0.01,,,,,,,,0.92,,0.02,freyja_v1.4.3-213,freyja_v1.4.3
229,,0.02,,,,,,,,,,,0.95,,0.01,,,,,,,,,,,0.01,freyja_v1.4.3-229,freyja_v1.4.3
244,,0.03,,,,,,,,,,,,0.01,,,,,,,,,,,0.96,0.0,freyja_v1.4.3-244,freyja_v1.4.3
259,,0.01,,,,,0.01,,,,,,0.95,0.02,,,,,,,,,,,,0.01,freyja_v1.4.3-259,freyja_v1.4.3
274,,0.01,,,,,,,,,,,0.95,0.01,,,,,,,,,,,,0.02,freyja_v1.4.3-274,freyja_v1.4.3
289,,0.02,,,,,,,,,,,0.84,0.02,,,0.08,,,,,,0.01,,,0.02,freyja_v1.4.3-289,freyja_v1.4.3
305,,0.02,,,,,,,,,,,0.26,,,,0.7,,,,,,,,,0.02,freyja_v1.4.3-305,freyja_v1.4.3
320,,0.03,,,,,,,,,,,,,,,0.95,,,,,,,,,0.02,freyja_v1.4.3-320,freyja_v1.4.3
335,,0.02,,,,,,,,,,,,,,,0.97,,,,,,,,,0.01,freyja_v1.4.3-335,freyja_v1.4.3
350,,0.02,,,,,,,,,,,,,,,0.97,,,,,,,,,0.01,freyja_v1.4.3-350,freyja_v1.4.3
366,,0.02,,,,,,,,,,,,,,,0.97,,,,,,,,,0.01,freyja_v1.4.3-366,freyja_v1.4.3
