timepoint,BA.2.80,FL.8,XBB.1.29,XBB.2.5,XBB.1.4.1,XBB.1.9,XBB.1.15,XBB,FL.2.1,XBB.2.3.5,XBB.2.3.8,XBB.1.28,XBB.3.4,XBB.2.3.6,XBB.1.16.2,FE.1.2,XBB.1.36,FY.1,XBB.2.3.2,FT.1,XBB.1.25,XBB.1.9.3,EG.2,XBB.1.5.59,XBB.1.22,EK.4,GA.2,EG.4,EU.1.1,XBB.1.5.23,FL.9,XBB.1.5.57,FL.10,EK.3,XBB.1.5.62,XBB.1.9.1,XBB.1.5.16,XBB.1.5.63,XBB.1.38,XBB.1.9.4,XBB.2.8,B.1.1.325,XBB.2.3.9,XBB.1.5.2,C.1.2,BA.2.3.4,XBB.2.3.11,XBB.2.3.3,XBB.2.3.7,XBB.2.3,XBB.1.32,C.16,XBB.1.5.31,EL.1,EG.5.1,FE.1,FG.2,XBB.1.5.43,XBB.1.5.38,EM.1,XBB.1.5.18,FU.1,XBB.1.16,FL.2.2,B.1.251,BY.1.2,BA.5.1.15,XBB.1.5.6,XBB.1.5.14,XBB.1.5.32,XBB.1.40,XBB.1,BA.5.10.1,BA.2.31,B.1.600,B.1.420,C.37.1,BA.2.3.14,CQ.1.1,B.1.1.280,B.1.1.71,BE.3,XBB.1.8,BQ.1.15,BN.6,BA.5.2.52,DA.1,BA.2.56,others,sample_name,tool_name
1,,,,,,0.51,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,0.01,,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-1,vlq_vd04ad36
107,,,0.01,,,,0.01,,0.01,,,0.02,0.02,,,,0.01,,,,,,,,,,,,0.01,0.01,,0.04,,,,0.14,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,vlq_vd04ad36-107,vlq_vd04ad36
122,,,0.02,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,0.1,,,,,,,,,,,0.16,,,,,,,,,,,,0.11,,,,,,,,,0.01,0.02,0.01,0.02,,,,,,,0.5,vlq_vd04ad36-122,vlq_vd04ad36
137,,,0.01,,,,,,,,,0.01,0.01,,,0.01,0.02,,,,,,,,,0.02,,,,,,,,,0.02,,,,0.01,,,,,,,,,,,,,,0.03,,,,,0.32,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.52,vlq_vd04ad36-137,vlq_vd04ad36
153,,,,0.01,,,,,,0.01,,0.01,,,,,,,,,,,,,0.01,,0.02,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,0.01,0.04,,0.01,,,,,,,,,,,,,,,,,,0.55,vlq_vd04ad36-153,vlq_vd04ad36
16,,0.07,,,,0.19,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.02,,0.37,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,vlq_vd04ad36-16,vlq_vd04ad36
168,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,0.01,0.01,0.02,,,,0.03,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,0.01,0.03,0.01,0.03,0.13,,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,vlq_vd04ad36-168,vlq_vd04ad36
183,,,0.01,,,,,,,,,,0.02,,,,,,,0.01,,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,0.29,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,0.5,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,0.01,,,0.01,,,,0.01,,,,,,,,,,,,,,0.01,0.04,0.34,,,0.04,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.49,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.01,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,vlq_vd04ad36-213,vlq_vd04ad36
