timepoint,XBB.1.16.3,B.55,XBB.2.3.3,XBB.1.16.4,B,XBB.1.16,B.1,XBB.2.3.11,XBB.1.5.43,XBB.1.18.1,XBB.1.9,XBB.1.37,B.1.377,XBB.2.3.10,XBB.1.5.24,XBB,XBB.2.4,XBB.1.17,XBB.2.3,XBB.1.16.1,others,sample_name,tool_name
1,,,,,0.03,,,,,,0.97,,,,,,,,,,0.0,freyja_v1.4.3-1,freyja_v1.4.3
16,,,,,0.02,,,,,,0.97,,,,,,,,,,0.01,freyja_v1.4.3-16,freyja_v1.4.3
31,,,,,0.03,,,,,,0.97,,,,,,,,,,0.01,freyja_v1.4.3-31,freyja_v1.4.3
46,,,,,0.02,,0.01,,,,0.97,,,,,,,,,,0.0,freyja_v1.4.3-46,freyja_v1.4.3
61,,,,,0.02,,,,,,0.97,,,,,,,,,,0.0,freyja_v1.4.3-61,freyja_v1.4.3
77,,,,,0.02,,,,,,0.96,,,,,0.01,,,,,0.01,freyja_v1.4.3-77,freyja_v1.4.3
92,,,,,0.02,,,,,,0.81,,,,,,0.15,,,,0.02,freyja_v1.4.3-92,freyja_v1.4.3
107,,,,,0.02,,,,0.76,,0.2,0.01,0.01,,,,,,,,0.0,freyja_v1.4.3-107,freyja_v1.4.3
122,,,,,0.02,,,,,0.97,,,,,,,,,,,0.0,freyja_v1.4.3-122,freyja_v1.4.3
137,,,,,0.02,,,,,,,,,,0.96,0.01,,,,,0.01,freyja_v1.4.3-137,freyja_v1.4.3
153,,,,,0.02,,,,,,,,,,0.96,,,0.01,,,0.01,freyja_v1.4.3-153,freyja_v1.4.3
168,,,,,0.02,,,,,0.97,,,,,,,,,,,0.0,freyja_v1.4.3-168,freyja_v1.4.3
183,,,0.04,,0.02,,,,0.91,,,,,,,,,,,,0.03,freyja_v1.4.3-183,freyja_v1.4.3
198,,,0.47,,0.02,,,,0.5,,,,,,,,,,,,0.01,freyja_v1.4.3-198,freyja_v1.4.3
213,,,0.89,,0.02,,,0.03,,,,,,,,0.04,,,,,0.01,freyja_v1.4.3-213,freyja_v1.4.3
229,,,0.94,,,,,0.02,,,,,,,,,,,0.01,,0.03,freyja_v1.4.3-229,freyja_v1.4.3
244,,,0.96,,0.03,,,0.01,,,,,,,,,,,,,0.0,freyja_v1.4.3-244,freyja_v1.4.3
259,,,0.94,,0.02,,,0.03,,,,,,,,,,,,,0.01,freyja_v1.4.3-259,freyja_v1.4.3
274,,,,,0.02,,,0.03,,,,,,0.94,,,,,,,0.02,freyja_v1.4.3-274,freyja_v1.4.3
289,,,0.87,0.08,0.02,0.01,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-289,freyja_v1.4.3
305,,,0.27,,0.02,0.01,,,,,,,,,,,,,,0.69,0.0,freyja_v1.4.3-305,freyja_v1.4.3
320,0.96,,,,0.02,,0.01,0.01,,,,,,,,,,,,,0.0,freyja_v1.4.3-320,freyja_v1.4.3
335,0.97,0.03,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-335,freyja_v1.4.3
350,0.97,,,,0.03,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-350,freyja_v1.4.3
366,0.97,,,,,,0.01,,,,,,,,,,,,,,0.02,freyja_v1.4.3-366,freyja_v1.4.3
