timepoint,XBB.1.29,XBB.2.5,XBB.2.2,XBB.1.9,XBB.1.15,BM.5,XBB,BF.23,EL.1,FL.2.1,XBB.2.3.5,XBB.2.3.11,XBB.1.28,XBB.3.4,XBB.2.3.6,FU.1,XBB.1.16.2,XBB.1.36,FT.1,XBB.1.25,XBB.1.9.3,XBL.1,XBB.1.5.40,XBB.1.22,EK.4,GA.2,EG.4,XBB.1.7,FL.9,FL.10,EK.3,XBB.1.5.62,XBB.1.5.63,XBB.1.38,XBB.1.9.4,BA.2.82,B.1.1.420,XBB.1.16.5,XBB.1.16,FQ.1,BF.41.1,BF.9,XBB.1.5.34,BR.2,XBB.1.3,AY.68,BA.2.67,FP.1,XBB.2.3.3,EK.2,XBB.1.5.59,EU.1.1.1,XBB.1.5.43,XBB.1.5.23,XBB.1.5.16,XBB.3.1,BA.1,C.19,XBB.1.5.50,XBS,B.1.231,BA.5.12,CA.6,BA.2.43,XBB.2.3.2,XBB.2.3.7,XBB.2.3,BA.2.71,BF.21,XBB.1,A.18,XBB.1.5.31,B.1.1.174,XBB.6,BN.1.10,B.1.281,FL.8,FF.1,XBB.1.9.1,BA.2.25.1,Q.6,L.2,B.1.1.161,XBB.1.5.47,B.1.463,BA.4.6.3,BQ.1.15,B.1.1.349,BQ.1.1.67,BN.1.3.8,B.1.1.4,others,sample_name,tool_name
1,,,,0.53,,,,,,,,,,,,,,,,,0.02,,,0.03,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,0.34,vlq_vd04ad36-1,vlq_vd04ad36
107,0.02,0.01,,,,,,,,,,,0.01,0.02,,,,,0.01,0.01,0.02,,,,,0.05,0.01,,,,,,,0.02,,,,,,,,,,,0.01,,,,,,0.01,,0.14,,0.02,,,,,,,,,,,,,,,,,,,0.01,,,,,0.09,,,,,,,,,,0.02,0.01,,0.5,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,0.49,vlq_vd04ad36-122,vlq_vd04ad36
137,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,0.6,vlq_vd04ad36-137,vlq_vd04ad36
153,0.01,,,,0.02,,,,,,,,,0.01,,,,,,,,,0.01,0.01,,,,,,,,0.01,,0.02,,,,,,,,,0.01,,,0.01,,0.02,,,,0.02,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,vlq_vd04ad36-153,vlq_vd04ad36
16,,0.01,,0.02,,,,,,,,,,,,,,,,,0.33,,,,,,,,0.01,0.05,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.08,,,,,,,,,,,,,0.36,vlq_vd04ad36-16,vlq_vd04ad36
168,,,,,,,,,,,,,0.01,0.01,,,,0.01,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.07,,,,,,,0.01,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,0.1,,,,,,,,0.46,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.32,0.01,,,,,,,,,,,,,0.01,,0.03,0.02,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,0.49,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,,,,,0.01,,0.01,,,0.01,0.01,,,,,,,,,,,,,,,,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.36,,,,,0.04,,,,,,,,,,,,,,,,,,,,0.5,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,0.37,vlq_vd04ad36-213,vlq_vd04ad36
