timepoint,XBB.1.5,XBB.2.3.13,B,B.11,B.1,XBB.2.3.11,XBB.1.16,XBB.1.9,B.1.540,XBB.2.3.3,XBB.2.3.4,XBB,XBB.2.3.10,XBB.1.5.43,XBB.1.45,XBB.1.32,B.56,XBB.1.18,XBB.1.4,others,sample_name,tool_name
1,,,0.02,0.01,,,,0.97,,,,,,,,,,,,0.0,freyja_v2.0.0-1,freyja_v2.0.0
16,,,0.02,,,,,0.97,,,,,,,,,,,,0.01,freyja_v2.0.0-16,freyja_v2.0.0
31,,,0.01,,,,,0.97,,,,,,,,,,,,0.01,freyja_v2.0.0-31,freyja_v2.0.0
46,,,0.02,,,,,0.97,,,,,,,,,,,,0.01,freyja_v2.0.0-46,freyja_v2.0.0
61,,,0.01,,0.01,,,0.97,,,,,,,,,,,,0.01,freyja_v2.0.0-61,freyja_v2.0.0
77,,,0.02,,,,,0.96,,,,,,,,,,,,0.02,freyja_v2.0.0-77,freyja_v2.0.0
92,0.15,,0.03,,,,,0.82,,,,,,,,,,,,0.01,freyja_v2.0.0-92,freyja_v2.0.0
107,0.78,,0.03,,,,,0.18,,,,,,,,,,,,0.01,freyja_v2.0.0-107,freyja_v2.0.0
122,0.9,,0.02,,,,,0.01,,,,,,,,,,0.06,,0.01,freyja_v2.0.0-122,freyja_v2.0.0
137,0.96,,0.02,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-137,freyja_v2.0.0
153,0.96,,0.02,,,,,,,,,,,,,,,0.01,,0.01,freyja_v2.0.0-153,freyja_v2.0.0
168,0.48,,0.02,,,,,,,,,,,0.48,0.01,,,,,0.01,freyja_v2.0.0-168,freyja_v2.0.0
183,0.93,0.03,0.01,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-183,freyja_v2.0.0
198,0.45,,0.02,,,0.03,,,,0.45,,,,,,,,,0.03,0.01,freyja_v2.0.0-198,freyja_v2.0.0
213,0.01,,0.03,,,0.03,,,,,,0.03,0.9,,,,,,,0.0,freyja_v2.0.0-213,freyja_v2.0.0
229,,,0.03,,,,,,,0.97,,,,,,,,,,0.0,freyja_v2.0.0-229,freyja_v2.0.0
244,,,0.03,,,0.05,,,,0.92,,,,,,,,,,0.0,freyja_v2.0.0-244,freyja_v2.0.0
259,,,,0.02,,0.07,,,,0.89,,,,,,,,,,0.02,freyja_v2.0.0-259,freyja_v2.0.0
274,,,0.02,,,,,,,,,,0.97,,,,,,,0.01,freyja_v2.0.0-274,freyja_v2.0.0
289,,,0.01,0.01,,0.02,0.1,,,0.84,,0.01,,,,,,,,0.01,freyja_v2.0.0-289,freyja_v2.0.0
305,,,0.02,,,,0.71,,,,0.26,,,,,,,,,0.01,freyja_v2.0.0-305,freyja_v2.0.0
320,,,0.01,,,,0.96,,,,,,,,,0.01,0.01,,,0.01,freyja_v2.0.0-320,freyja_v2.0.0
335,,,0.02,,,,0.97,,,,,,,,,,,,,0.01,freyja_v2.0.0-335,freyja_v2.0.0
350,,,0.03,,,,0.97,,,,,,,,,,,,,0.0,freyja_v2.0.0-350,freyja_v2.0.0
366,,,0.02,,,,0.97,,0.01,,,,,,,,,,,0.0,freyja_v2.0.0-366,freyja_v2.0.0
