timepoint,BQ.1,XBB,XBB.1.5,others,sample_name,tool_name
1,,0.97,,0.03,vaquero_v24d9211_oldref-1,vaquero_v24d9211_oldref
16,,0.97,,0.03,vaquero_v24d9211_oldref-16,vaquero_v24d9211_oldref
31,,0.97,,0.03,vaquero_v24d9211_oldref-31,vaquero_v24d9211_oldref
46,,0.47,0.53,0.0,vaquero_v24d9211_oldref-46,vaquero_v24d9211_oldref
61,,0.96,,0.04,vaquero_v24d9211_oldref-61,vaquero_v24d9211_oldref
77,,0.97,,0.03,vaquero_v24d9211_oldref-77,vaquero_v24d9211_oldref
92,,0.41,0.59,0.0,vaquero_v24d9211_oldref-92,vaquero_v24d9211_oldref
107,,0.12,0.88,0.0,vaquero_v24d9211_oldref-107,vaquero_v24d9211_oldref
122,,,0.97,0.03,vaquero_v24d9211_oldref-122,vaquero_v24d9211_oldref
137,,0.13,0.84,0.04,vaquero_v24d9211_oldref-137,vaquero_v24d9211_oldref
153,,,0.97,0.03,vaquero_v24d9211_oldref-153,vaquero_v24d9211_oldref
168,,,0.96,0.04,vaquero_v24d9211_oldref-168,vaquero_v24d9211_oldref
183,,0.03,0.94,0.03,vaquero_v24d9211_oldref-183,vaquero_v24d9211_oldref
198,,0.27,0.69,0.04,vaquero_v24d9211_oldref-198,vaquero_v24d9211_oldref
213,,0.97,,0.03,vaquero_v24d9211_oldref-213,vaquero_v24d9211_oldref
229,,0.97,,0.03,vaquero_v24d9211_oldref-229,vaquero_v24d9211_oldref
244,,0.97,,0.03,vaquero_v24d9211_oldref-244,vaquero_v24d9211_oldref
259,,0.97,,0.03,vaquero_v24d9211_oldref-259,vaquero_v24d9211_oldref
274,,0.97,,0.03,vaquero_v24d9211_oldref-274,vaquero_v24d9211_oldref
289,,0.97,,0.03,vaquero_v24d9211_oldref-289,vaquero_v24d9211_oldref
305,0.32,0.04,0.64,0.0,vaquero_v24d9211_oldref-305,vaquero_v24d9211_oldref
320,0.33,,0.67,0.0,vaquero_v24d9211_oldref-320,vaquero_v24d9211_oldref
335,0.35,,0.65,0.0,vaquero_v24d9211_oldref-335,vaquero_v24d9211_oldref
350,0.4,,0.6,0.0,vaquero_v24d9211_oldref-350,vaquero_v24d9211_oldref
366,0.38,,0.62,0.0,vaquero_v24d9211_oldref-366,vaquero_v24d9211_oldref
