timepoint,XBB,XBB.1,XBB.1.16,XBB.1.5,XBB.2.3,others,sample_name,tool_name
46,0.14,0.35,,0.51,,0.0,vaquero_v24d9211-46,vaquero_v24d9211
183,0.03,,,0.94,,0.03,vaquero_v24d9211-183,vaquero_v24d9211
198,0.46,,,,0.51,0.03,vaquero_v24d9211-198,vaquero_v24d9211
213,0.03,,,,0.94,0.03,vaquero_v24d9211-213,vaquero_v24d9211
229,,,,,0.97,0.03,vaquero_v24d9211-229,vaquero_v24d9211
244,,,,,0.97,0.03,vaquero_v24d9211-244,vaquero_v24d9211
259,,,,,0.96,0.04,vaquero_v24d9211-259,vaquero_v24d9211
274,,,,,0.97,0.03,vaquero_v24d9211-274,vaquero_v24d9211
289,0.11,,,,0.86,0.02,vaquero_v24d9211-289,vaquero_v24d9211
305,0.18,0.12,0.51,,0.19,0.0,vaquero_v24d9211-305,vaquero_v24d9211
320,0.25,0.25,0.5,,,0.0,vaquero_v24d9211-320,vaquero_v24d9211
335,0.4,0.1,0.51,,,0.0,vaquero_v24d9211-335,vaquero_v24d9211
350,0.15,0.32,0.52,,,0.0,vaquero_v24d9211-350,vaquero_v24d9211
366,0.23,0.24,0.53,,,0.0,vaquero_v24d9211-366,vaquero_v24d9211
