timepoint,BM.2.1,XBB.1.29,BR.5,AY.58,A.30,XBB.2.3.5,FY.4,XBB.2.3.11,XBB.1.28,XBB.2.3.6,XBB.1.16.2,XBB.1.36,FY.2,XBB.2.3.2,XBB.2.3.3,XBB.2.3.7,FT.1,XBB.1.25,XBB.1.5.69,XBB.1.5.40,XBB.1.22,EK.4,GA.2,EG.4,XBB.1.16,XBB.2.3.1,EU.1,XBB.2.3,XBB.1.5.62,XBB.1.5.63,XBB.1.5.19,B.1.120,BN.1.3.5,BF.23,AY.63,B.1.1,EL.1,XBB.3.4,XBB.1.5.59,XBB.1.34,FL.9,XBB.1.5.57,BF.6,XBB.1.9,XBB.2.8,XBB,BA.2.10.3,FL.2.1,XBB.1.9.3,XBB.1.5.23,EG.1.3,FL.10,EK.3,FD.4,XBB.1.9.1,XBB.1.5.16,XBB.1.38,XBB.1.9.4,BQ.1.1.66,XBB.2.5,BM.1.1.3,B.1.143,XBB.1.5.31,XBB.1.5.44,FZ.2,XBB.1.5.3,XBB.2.9,XBB.1.5.43,XBB.1.5.54,FH.1,XBB.1.5.21,XBB.1.5.18,BL.5,BA.5.2.40,B.1.1.355,B.1.1.10,XBB.1.5.10,BA.5.2.57,XBB.1.5.42,FD.3,BA.5.2.43,FL.8,BA.2.13.1,XBB.1.12,CH.2,BA.1.1.6,BA.5.2.13,BA.2.81,AY.85,CH.1.1.11,others,sample_name,tool_name
1,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.18,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,0.41,vlq_vd04ad36-1,vlq_vd04ad36
107,,,,,,0.01,,,0.02,,,,0.06,,,,,,,,0.02,,,0.01,,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,0.02,,,0.02,,,0.03,,,,,0.21,,,,,,0.04,0.01,,,,,,,,,,,,,,,,0.5,vlq_vd04ad36-107,vlq_vd04ad36
122,,0.01,,,,,,,0.01,,,0.01,,,,,0.01,,0.01,,,0.01,,,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,,,0.02,,,,0.01,,,,,,,0.06,0.02,,,,0.01,,0.24,,,,0.02,0.02,,,,,,,,,,,,,,,,,,0.5,vlq_vd04ad36-122,vlq_vd04ad36
137,,0.02,,,,,,,0.02,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,0.03,0.02,,,,,,,,,,,0.02,,,,,,,0.02,,,,,,,,,,0.02,0.32,,,0.03,,,,,,,,,,,,,,,,,,,,0.49,vlq_vd04ad36-137,vlq_vd04ad36
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,0.47,,,0.02,,,,,0.02,0.01,,,0.01,,,,,,,,,,,0.41,vlq_vd04ad36-153,vlq_vd04ad36
16,,,0.05,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.02,,,0.31,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.02,0.13,,,,,,,0.38,vlq_vd04ad36-16,vlq_vd04ad36
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,0.02,,,,,,0.3,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.52,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,0.01,,,,0.03,,0.01,,0.01,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,,,0.31,,,,,,,,,,,,,,,,,,,,,,,0.56,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,0.02,,,,,,,0.01,,,,,,,,,,0.01,0.01,,,,,0.35,,,,,,,,,,0.01,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,0.45,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,,,,0.02,0.03,,,,,,,,,,,0.01,,0.63,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,vlq_vd04ad36-213,vlq_vd04ad36
