timepoint,XBB.1.5.43,XBB.2.3,XBB.2.4,B,B.1,XBB.2.3.10,XBB.2.3.11,XBB.2.3.4,XBB.1,XBB.1.9,XBB.1.18.1,XBB.1.22,XBB.2.3.3,XBB.1.16.1,XBB.1.16.3,XBB.1.16,XBB.1.5.24,XBB.2.3.6,XBB.1.37,XBB,XBB.1.5.52,XBB.2.3.7,XBB.1.1,others,sample_name,tool_name
1,,,,0.02,,,,,,0.97,,,,,,,,,,,,,,0.01,freyja_v1.4.3-1,freyja_v1.4.3
16,,,,0.02,,,,,,0.97,,,,,,,,,,,,,,0.01,freyja_v1.4.3-16,freyja_v1.4.3
31,,,,0.02,,,,,,0.97,,,,,,,,,,,,,,0.01,freyja_v1.4.3-31,freyja_v1.4.3
46,,,,0.02,,,,,,0.97,,,,,,,,,,,,,,0.0,freyja_v1.4.3-46,freyja_v1.4.3
61,,,,0.02,,,,,,0.97,,,,,,,,,,,,,,0.01,freyja_v1.4.3-61,freyja_v1.4.3
77,,,,0.02,,,,,,0.96,,,,,,,,,,,,,,0.02,freyja_v1.4.3-77,freyja_v1.4.3
92,,,,0.02,,,,,,0.8,0.16,,,,,,,,,,,,,0.02,freyja_v1.4.3-92,freyja_v1.4.3
107,,,,0.03,,,,,,0.21,,,,,,,0.76,,,,,,,0.0,freyja_v1.4.3-107,freyja_v1.4.3
122,,,,0.02,,,,,,,,0.01,,,,,0.92,,0.04,,,,,0.0,freyja_v1.4.3-122,freyja_v1.4.3
137,,,0.91,0.03,,,,,,,,,,,,,,,,,0.07,,,0.0,freyja_v1.4.3-137,freyja_v1.4.3
153,,,,0.02,0.02,,,,,,,,,,,,0.96,,,,,,,0.01,freyja_v1.4.3-153,freyja_v1.4.3
168,0.97,,,0.02,0.01,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-168,freyja_v1.4.3
183,0.89,0.05,0.04,0.02,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-183,freyja_v1.4.3
198,0.44,,0.08,0.02,,,0.02,0.42,0.01,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-198,freyja_v1.4.3
213,,,,0.02,0.01,,0.07,0.85,,,,,,,,,,,,,,,0.05,0.0,freyja_v1.4.3-213,freyja_v1.4.3
229,,,,0.02,0.01,0.93,0.04,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-229,freyja_v1.4.3
244,,,,0.02,,,,,,,,,,,,,,,,,,0.97,,0.01,freyja_v1.4.3-244,freyja_v1.4.3
259,,,,0.01,,,0.01,,,,,,,,,,,0.95,,,,,,0.02,freyja_v1.4.3-259,freyja_v1.4.3
274,,,,0.01,,0.94,0.03,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-274,freyja_v1.4.3
289,,,,0.02,,,0.02,,,,,,0.85,0.09,,,,,,,,,,0.01,freyja_v1.4.3-289,freyja_v1.4.3
305,,,,0.02,,,0.01,,,,,,0.24,0.7,,0.01,,,,0.01,,,,0.01,freyja_v1.4.3-305,freyja_v1.4.3
320,,,,0.02,0.01,,,,,,,,,0.96,,,,,,,,,,0.01,freyja_v1.4.3-320,freyja_v1.4.3
335,,,,0.02,,,,,,,,,,0.97,,,,,,,,,,0.01,freyja_v1.4.3-335,freyja_v1.4.3
350,,,,0.02,,,,,,,,,,,0.97,,,,,,,,,0.0,freyja_v1.4.3-350,freyja_v1.4.3
366,,,,0.03,,,,,,,,,,,0.97,,,,,,,,,0.0,freyja_v1.4.3-366,freyja_v1.4.3
