timepoint,B.1.618,XBB.1.29,XBN,XBB.1.15,AT.1,XBB.2.3.5,XBB.2.3.11,XBB.1.28,XBB.3.4,XBB.2.3.6,FU.1,XBB.1.16.2,FE.1.2,XBB.1.36,XBB.1.37.1,XBB.2.3.2,XBB.2.3.3,XBB.2.3.7,XBB.1.25,XBB.1.5.59,GA.2,EG.4,XBB.1.16,XBB.1.5.23,XBB.2.3.1,XBB.2.3,XBB.1.5.62,XBB.1.5.16,XBB.1.5.52,BF.41.1,BA.5.1.25,XBB.2.5,XBB.1.39,FT.1,XBB.1.5.40,XBB.1.22,XBB.1.5.63,XBB.1.38,BQ.1.13,CQ.1.1,AG.1,EL.1,XBB.1.24.1,FY.4,EG.2,FL.9,XBB.1.5.51,XBB.1.5.57,BN.1.5.2,XBB.1.9,BA.2.61,BF.28,B.1.639,B.1.160.28,XBB.1.5.50,FY.2,XBB.1.9.3,XBB.1.22.2,XBB.1.9.4,BQ.1.1.72,FE.1,FL.10,XBB.1.9.1,XBB.2.4,XBB.1.8,AH.3,XBB.1.5.43,BN.1.3.7,BN.1.4.2,XCA,N.9,B.1.470,BW.1.1,B.1.164,B.1.177.6,XBB.1.16.1,XBB.1.5.3,FG.2,XBB.1.9.5,FL.8,BA.2.3.12,XBB.1.5.21,BA.2.3.11,CV.1,B.1.177.58,B.1.1.45,BA.5.10.1,BQ.1.3.2,XBB.1.5.14,AY.109,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-1,vlq_vd04ad36
107,,,0.01,,,,,,0.02,,,,,,0.02,,,,,0.01,,,,,,,0.01,,,,,0.01,,,0.01,0.01,0.01,,,,,,,,,,,,,,0.02,,,,,,,0.01,,0.05,0.01,,0.14,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,vlq_vd04ad36-107,vlq_vd04ad36
122,,0.01,,,,,,,0.02,,,,0.01,,,,,,,,,,,0.01,,,0.01,,,,,0.02,,,,0.02,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,0.03,0.05,,,0.51,vlq_vd04ad36-122,vlq_vd04ad36
137,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,0.04,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,0.47,vlq_vd04ad36-137,vlq_vd04ad36
153,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,0.03,,,,,0.01,,0.01,,0.02,0.02,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.04,,,,,,,,,,0.01,0.04,,,,,,,,,,,0.22,0.02,0.53,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.31,,,,,,,0.03,,,,,0.02,0.06,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,0.35,vlq_vd04ad36-16,vlq_vd04ad36
168,,0.01,,0.02,,,,,0.02,0.01,,,0.08,0.01,,,,,,,0.01,,,,,,0.01,,,,,,,,,0.02,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.18,,,,,,,,,,,,,,,,,,,,,,,,0.58,vlq_vd04ad36-168,vlq_vd04ad36
183,,0.01,,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.01,,,,,0.09,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,0.27,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,0.5,vlq_vd04ad36-183,vlq_vd04ad36
198,,0.02,,,,0.02,,,0.02,,,,,,,,0.04,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,0.04,,0.01,,,,,,,0.01,0.02,0.04,0.01,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,,,,,,,,,,,,,,,,,0.28,vlq_vd04ad36-213,vlq_vd04ad36
229,,,,,,0.01,0.01,,,,,,,,,0.01,,0.08,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,,,,,,,,,,,0.02,0.06,,,,0.01,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,0.01,,,0.01,,,,,,,0.01,,0.01,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.31,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,0.02,0.02,0.01,,,,,,0.09,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,vlq_vd04ad36-274,vlq_vd04ad36
289,0.03,,,,0.02,,0.02,,,,,,,,,,,0.02,,,,,0.04,,0.02,0.55,,,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,,0.01,0.01,,,,,,,,,,0.05,,,,,,0.65,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,,,,,0.02,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.34,,,,,,,,,0.02,,,0.21,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.37,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,,,,,0.02,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,,,,0.02,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,0.18,vlq_vd04ad36-335,vlq_vd04ad36
350,,0.01,,,,,,,,,0.01,0.02,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,0.04,,,,,,,,,,,,,,,0.23,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,,,,,,,,,0.03,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.04,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-366,vlq_vd04ad36
46,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.01,,,,,0.14,,,,,,,,,,,,0.32,0.06,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.41,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,0.01,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,,0.42,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,0.01,,,,0.61,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,vlq_vd04ad36-77,vlq_vd04ad36
92,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.26,,,,,,,0.17,0.01,,,,0.09,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.39,vlq_vd04ad36-92,vlq_vd04ad36
