timepoint,XBB.2.3.10,XBB.1.16,B,XBB.2.3.11,B.1,XBB.2.3.3,B.11,XBB.2.3.6,XBB.1.9,XBB.1.37,XBB.1.5,XBB,XBB.2,XBB.1,XBB.1.22,XBB.1.45,B.26,B.1.250,XBB.2.3.14,B.1.106,XBB.2.3.13,others,sample_name,tool_name
1,,,0.02,,,,,,0.97,,,,,,,,,,,,,0.0,freyja_v2.0.0-1,freyja_v2.0.0
16,,,,,,,,,0.97,,,,,,,,,,,0.01,,0.01,freyja_v2.0.0-16,freyja_v2.0.0
31,,,0.02,,,,,,0.97,,,,,,,,,,,,,0.0,freyja_v2.0.0-31,freyja_v2.0.0
46,,,,,,,,,0.97,,,,,,,,0.03,,,,,0.0,freyja_v2.0.0-46,freyja_v2.0.0
61,,,0.02,,,,,,0.97,,,,,,,,,,,,,0.0,freyja_v2.0.0-61,freyja_v2.0.0
77,,,0.03,,,,,,0.96,,,,,,,,,,,,,0.01,freyja_v2.0.0-77,freyja_v2.0.0
92,,,0.03,,,,,,0.79,,0.16,,,,0.01,,,,,,,0.0,freyja_v2.0.0-92,freyja_v2.0.0
107,,,,,,,0.01,,0.19,,0.73,0.01,0.01,0.01,,,,,,,,0.02,freyja_v2.0.0-107,freyja_v2.0.0
122,,,0.02,,,,,,,,0.95,,,,0.02,,,,,,,0.02,freyja_v2.0.0-122,freyja_v2.0.0
137,,,0.02,,,,,,,,0.96,,,,,,,,,,,0.02,freyja_v2.0.0-137,freyja_v2.0.0
153,,,0.02,,,,,,,,0.97,,,,,,,,,,,0.01,freyja_v2.0.0-153,freyja_v2.0.0
168,,,0.02,,,,,,,,0.96,,,,,0.01,,,,,,0.01,freyja_v2.0.0-168,freyja_v2.0.0
183,,,0.02,0.05,,,,,,0.08,0.85,,,,,,,,,,,0.01,freyja_v2.0.0-183,freyja_v2.0.0
198,0.48,,0.02,,,,,,,,0.48,,,,,,,,,,,0.02,freyja_v2.0.0-198,freyja_v2.0.0
213,,,0.02,,,0.92,,,,,0.03,,,,,,,,,,,0.03,freyja_v2.0.0-213,freyja_v2.0.0
229,,,0.01,0.02,0.01,,,,,,,,,,,,,,0.95,,,0.01,freyja_v2.0.0-229,freyja_v2.0.0
244,,,0.02,0.13,,,,,,,,,,,,,,,,,0.84,0.01,freyja_v2.0.0-244,freyja_v2.0.0
259,,,0.02,,0.01,0.96,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-259,freyja_v2.0.0
274,,,0.02,0.02,,,,0.95,,,,,,,,,,,,,,0.01,freyja_v2.0.0-274,freyja_v2.0.0
289,0.86,0.1,0.02,0.01,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-289,freyja_v2.0.0
305,,0.7,,,,0.26,0.01,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-305,freyja_v2.0.0
320,,0.96,,,,0.01,0.01,,,,,,,,,,,0.01,,,,0.01,freyja_v2.0.0-320,freyja_v2.0.0
335,,0.98,0.01,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-335,freyja_v2.0.0
350,,0.97,0.02,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-350,freyja_v2.0.0
366,,0.97,0.02,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-366,freyja_v2.0.0
