timepoint,XBB.1.5,XBB.2.3,others,XBB.1.16,XBB.1.9,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,,,0.02,,0.98,Ex24_03_nearQual_simul-1,2023-01-02,1483.75,1599.3,89.01,60.0,simulation-1,simulation
16,,,0.02,,0.98,Ex24_03_nearQual_simul-16,2023-01-17,1473.8,1793.77,91.43,60.0,simulation-16,simulation
31,,,0.02,,0.98,Ex24_03_nearQual_simul-31,2023-02-01,1466.56,1595.49,88.36,60.0,simulation-31,simulation
46,,,0.02,,0.98,Ex24_03_nearQual_simul-46,2023-02-16,1467.17,1508.23,91.55,60.0,simulation-46,simulation
61,,,0.02,,0.98,Ex24_03_nearQual_simul-61,2023-03-03,1477.93,1595.51,89.37,60.0,simulation-61,simulation
77,0.01,,0.02,,0.97,Ex24_03_nearQual_simul-77,2023-03-19,1484.97,1615.45,83.59,60.0,simulation-77,simulation
92,0.16,,0.02,,0.82,Ex24_03_nearQual_simul-92,2023-04-03,1473.58,1481.18,90.65,60.0,simulation-92,simulation
107,0.78,,0.02,,0.2,Ex24_03_nearQual_simul-107,2023-04-18,1464.03,1583.16,90.66,60.0,simulation-107,simulation
122,0.97,,0.02,,0.01,Ex24_03_nearQual_simul-122,2023-05-03,1485.39,1764.99,89.26,60.0,simulation-122,simulation
137,0.98,,0.02,,,Ex24_03_nearQual_simul-137,2023-05-18,1470.42,1315.67,92.76,60.0,simulation-137,simulation
153,0.98,,0.02,,,Ex24_03_nearQual_simul-153,2023-06-03,1462.87,1594.06,87.62,60.0,simulation-153,simulation
168,0.98,,0.02,,,Ex24_03_nearQual_simul-168,2023-06-18,1470.67,1808.45,87.26,60.0,simulation-168,simulation
183,0.93,0.05,0.02,,,Ex24_03_nearQual_simul-183,2023-07-03,1477.34,1386.73,86.29,60.0,simulation-183,simulation
198,0.49,0.49,0.02,,,Ex24_03_nearQual_simul-198,2023-07-18,1452.12,1394.46,89.76,60.0,simulation-198,simulation
213,0.05,0.93,0.02,,,Ex24_03_nearQual_simul-213,2023-08-02,1487.46,1509.57,89.17,60.0,simulation-213,simulation
229,,0.98,0.02,,,Ex24_03_nearQual_simul-229,2023-08-18,1487.5,1659.43,90.05,60.0,simulation-229,simulation
244,,0.98,0.02,,,Ex24_03_nearQual_simul-244,2023-09-02,1468.61,1589.52,91.36,60.0,simulation-244,simulation
259,,0.98,0.02,,,Ex24_03_nearQual_simul-259,2023-09-17,1482.3,1630.75,84.82,60.0,simulation-259,simulation
274,,0.97,0.03,,,Ex24_03_nearQual_simul-274,2023-10-02,1473.13,1551.32,91.7,60.0,simulation-274,simulation
289,,0.88,0.02,0.1,,Ex24_03_nearQual_simul-289,2023-10-17,1481.78,1667.66,85.56,60.0,simulation-289,simulation
305,,0.27,0.02,0.71,,Ex24_03_nearQual_simul-305,2023-11-02,1472.33,1860.29,84.79,60.0,simulation-305,simulation
320,,0.02,0.02,0.96,,Ex24_03_nearQual_simul-320,2023-11-17,1479.43,1598.73,88.16,60.0,simulation-320,simulation
335,,,0.02,0.98,,Ex24_03_nearQual_simul-335,2023-12-02,1489.52,1645.93,88.38,60.0,simulation-335,simulation
350,,,0.02,0.98,,Ex24_03_nearQual_simul-350,2023-12-17,1448.04,1870.2,86.34,60.0,simulation-350,simulation
366,,,0.02,0.98,,Ex24_03_nearQual_simul-366,2024-01-02,1471.92,1542.95,88.51,60.0,simulation-366,simulation
