timepoint,BA.1,BA.1.1,XBB,XBB.1,XBB.1.16,XBB.1.5,XBB.2.3,others,sample_name,tool_name
1,,,0.16,0.33,,0.51,,0.0,vaquero_v24d9211-1,vaquero_v24d9211
16,,,0.15,0.35,,0.5,,0.0,vaquero_v24d9211-16,vaquero_v24d9211
46,,,0.24,0.21,,0.55,,0.0,vaquero_v24d9211-46,vaquero_v24d9211
107,0.66,0.31,,,,,,0.03,vaquero_v24d9211-107,vaquero_v24d9211
122,,,,,,0.97,,0.03,vaquero_v24d9211-122,vaquero_v24d9211
137,,,,,,0.97,,0.03,vaquero_v24d9211-137,vaquero_v24d9211
168,,,,,,0.97,,0.03,vaquero_v24d9211-168,vaquero_v24d9211
198,,,0.46,,,,0.51,0.03,vaquero_v24d9211-198,vaquero_v24d9211
213,,,0.04,,,,0.93,0.03,vaquero_v24d9211-213,vaquero_v24d9211
229,,,,,,,0.97,0.03,vaquero_v24d9211-229,vaquero_v24d9211
244,,,,,,,0.97,0.03,vaquero_v24d9211-244,vaquero_v24d9211
259,,,,,,,0.97,0.03,vaquero_v24d9211-259,vaquero_v24d9211
274,,,,,,,0.97,0.03,vaquero_v24d9211-274,vaquero_v24d9211
289,,,0.02,0.02,0.09,,0.86,0.01,vaquero_v24d9211-289,vaquero_v24d9211
305,,,0.12,0.14,0.52,,0.22,0.0,vaquero_v24d9211-305,vaquero_v24d9211
320,,,0.27,0.23,0.51,,,0.0,vaquero_v24d9211-320,vaquero_v24d9211
335,,,0.16,0.33,0.51,,,0.0,vaquero_v24d9211-335,vaquero_v24d9211
350,,,0.16,0.33,0.5,,,0.0,vaquero_v24d9211-350,vaquero_v24d9211
366,,,,,0.98,,,0.02,vaquero_v24d9211-366,vaquero_v24d9211
