timepoint,XBB.1.9,others,XBB.1.5,XBB.2.3,XBB.1.16,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,0.98,0.02,,,,Ex25_02_nearQual_simul-1,2023-01-02,1462.0,1802.88,84.04,60.0,simulation-1,simulation
16,0.98,0.02,,,,Ex25_02_nearQual_simul-16,2023-01-17,1436.32,1661.49,86.8,60.0,simulation-16,simulation
31,0.98,0.02,,,,Ex25_02_nearQual_simul-31,2023-02-01,1490.6,2145.57,80.93,60.0,simulation-31,simulation
46,0.98,0.02,,,,Ex25_02_nearQual_simul-46,2023-02-16,1474.65,2006.2,87.27,60.0,simulation-46,simulation
61,0.98,0.02,,,,Ex25_02_nearQual_simul-61,2023-03-03,1473.42,1650.13,81.42,60.0,simulation-61,simulation
77,0.97,0.02,0.01,,,Ex25_02_nearQual_simul-77,2023-03-19,1475.96,2109.94,79.1,60.0,simulation-77,simulation
92,0.82,0.02,0.16,,,Ex25_02_nearQual_simul-92,2023-04-03,1463.53,1515.21,85.93,60.0,simulation-92,simulation
107,0.2,0.02,0.78,,,Ex25_02_nearQual_simul-107,2023-04-18,1451.94,1640.71,86.94,60.0,simulation-107,simulation
122,0.01,0.02,0.97,,,Ex25_02_nearQual_simul-122,2023-05-03,1472.95,1688.65,88.2,60.0,simulation-122,simulation
137,,0.02,0.98,,,Ex25_02_nearQual_simul-137,2023-05-18,1468.96,1494.18,82.61,60.0,simulation-137,simulation
153,,0.02,0.98,,,Ex25_02_nearQual_simul-153,2023-06-03,1357.28,1859.87,80.48,60.0,simulation-153,simulation
168,,0.02,0.98,,,Ex25_02_nearQual_simul-168,2023-06-18,1484.67,2004.97,80.78,60.0,simulation-168,simulation
183,,0.02,0.93,0.05,,Ex25_02_nearQual_simul-183,2023-07-03,1491.52,2039.79,84.76,60.0,simulation-183,simulation
198,,0.02,0.49,0.49,,Ex25_02_nearQual_simul-198,2023-07-18,1479.85,2028.93,82.85,60.0,simulation-198,simulation
213,,0.02,0.05,0.93,,Ex25_02_nearQual_simul-213,2023-08-02,1440.4,1823.22,85.53,60.0,simulation-213,simulation
229,,0.02,,0.98,,Ex25_02_nearQual_simul-229,2023-08-18,1463.67,1839.97,86.43,60.0,simulation-229,simulation
244,,0.02,,0.98,,Ex25_02_nearQual_simul-244,2023-09-02,1498.04,2000.78,85.93,60.0,simulation-244,simulation
259,,0.02,,0.98,,Ex25_02_nearQual_simul-259,2023-09-17,1440.22,1622.22,89.48,60.0,simulation-259,simulation
274,,0.03,,0.97,,Ex25_02_nearQual_simul-274,2023-10-02,1459.91,1799.79,83.66,60.0,simulation-274,simulation
289,,0.02,,0.88,0.1,Ex25_02_nearQual_simul-289,2023-10-17,1442.44,1681.26,83.96,60.0,simulation-289,simulation
305,,0.02,,0.27,0.71,Ex25_02_nearQual_simul-305,2023-11-02,1478.29,2080.87,83.68,60.0,simulation-305,simulation
320,,0.02,,0.02,0.96,Ex25_02_nearQual_simul-320,2023-11-17,1471.79,1825.0,83.92,60.0,simulation-320,simulation
335,,0.02,,,0.98,Ex25_02_nearQual_simul-335,2023-12-02,1459.67,1594.14,85.8,60.0,simulation-335,simulation
350,,0.02,,,0.98,Ex25_02_nearQual_simul-350,2023-12-17,1471.34,1482.02,87.33,60.0,simulation-350,simulation
366,,0.02,,,0.98,Ex25_02_nearQual_simul-366,2024-01-02,1454.57,1705.86,88.6,60.0,simulation-366,simulation
